Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31
Cash and cash equivalents,921000000.0,921000000.0,1046000000.0,1046000000.0,1208000000.0,1208000000.0,1110000000.0,1110000000.0,1720000000.0,1720000000.0,2143000000.0,2430000000.0,1366895000.0
Short-term investments,0.0,,33653000000.0,,46017000000.0,,52120000000.0,,56346000000.0,,65504000000.0,84699000000.0,54504073000.0
Cash and short-term investments,921000000.0,,34699000000.0,,47225000000.0,,53230000000.0,,58066000000.0,,67647000000.0,87129000000.0,55870968000.0
Receivables,21813000000.0,22302000000.0,10961000000.0,10961000000.0,7716000000.0,7737000000.0,1713000000.0,1713000000.0,5218000000.0,5457000000.0,1881000000.0,11818000000.0,762899000.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Total current assets,22734000000.0,,45660000000.0,,54941000000.0,,54943000000.0,,63284000000.0,,69528000000.0,98947000000.0,56633867000.0
Property Plant & Equipment Net,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Goodwill and Intangible Assets,0.0,526000000,551000000.0,551000000,554000000.0,554000000,0.0,0,0.0,0,0.0,0.0,0.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Tax assets,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Total non-current assets,86507000000.0,,24716000000.0,,1939000000.0,,2078000000.0,,4482000000.0,,6727000000.0,1506000000.0,1338430000.0
Total assets,1.09241e+11,109241000000.0,70376000000.0,70376000000.0,56880000000.0,56880000000.0,57021000000.0,57021000000.0,67766000000.0,67766000000.0,76255000000.0,1.00453e+11,57972297000.0
Payables,518000000.0,,299000000.0,,211000000.0,,61000000.0,,100000000.0,,492000000.0,132000000.0,40417000.0
Short-term debt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Total current liabilities,518000000.0,,299000000.0,,211000000.0,,61000000.0,,100000000.0,,492000000.0,132000000.0,40417000.0
Long-term debt,0.0,275000000.0,0.0,357000000.0,3037000000.0,3497000000.0,3753000000.0,4348000000.0,0.0,761000000.0,0.0,0.0,0.0
Total debt,0.0,275000000.0,0.0,357000000.0,3037000000.0,3497000000.0,3753000000.0,4348000000.0,0.0,761000000.0,0.0,0.0,0.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Tax Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Total non-current liabilities,0.0,,0.0,,3037000000.0,,3753000000.0,,0.0,,0.0,0.0,0.0
Total liabilities,99335000000.0,99335000000.0,61622000000.0,61622000000.0,49524000000.0,49524000000.0,49050000000.0,49050000000.0,58338000000.0,58338000000.0,67558000000.0,89557000000.0,51760494000.0
Other comprehensive income,14277000000,-943000000.0,11657000000,-345000000.0,10268000000,-397000000.0,10384000000,-66000000.0,10668000000,430000000.0,10573000000,9627000000,5937190000
Retained earnings (deficit),-3433000000.0,-3433000000.0,-2562000000.0,-2562000000.0,-2518000000.0,-2518000000.0,-2350000000.0,-2350000000.0,-1674000000.0,-1674000000.0,-497000000.0,-289000000.0,-37922000.0
Total shareholders equity,9906000000.0,9906000000.0,8754000000.0,8754000000.0,7356000000.0,7356000000.0,7971000000.0,7971000000.0,9428000000.0,9428000000.0,8697000000.0,10896000000.0,6211803000.0
Investments,0.0,,33653000000.0,,46017000000.0,,52120000000.0,,56346000000.0,,65504000000.0,84699000000.0,54504073000.0
Net Debt,-921000000.0,-646000000,-1046000000.0,-689000000,1829000000.0,2289000000,2643000000.0,3238000000,-1720000000.0,-959000000,-2143000000.0,-2430000000.0,-1366895000.0
Other Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
Other Liabilities,98817000000.0,0,61323000000.0,0,46276000000.0,0,45236000000.0,0,58238000000.0,0,67066000000.0,89425000000.0,51720077000.0
