date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2002-03-31_FY,2001-03-31_FY,2000-03-31_FY,1999-03-31_FY,1998-03-31_FY,1997-03-31_FY,1996-03-31_FY,1995-03-31_FY,1994-03-31_FY,1993-03-31_FY,1992-03-31_FY,1991-03-31_FY,1990-03-31_FY,1989-03-31_FY,1988-03-31_FY,1987-03-31_FY,1986-03-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,109600000.0,178900000.0,127700000.0,-170200000.0,126500000.0,186900000.0,221747000.0,203075000.0,189345000.0,194029000.0,146865000.0,117139000.0,105039000.0,64773000.0,63948000.0,39609000.0,28559000.0,21874000.0,10000000.0,17235000.0,10634000.0,9635000.0,15100000.0,15900000.0,13300000.0,10900000.0,8100000.0,5200000.0,1600000.0,5900000.0,4800000.0,4000000.0,2200000.0,1000000.0,200000.0,200000.0
,depreciationAndAmortization,85800000.0,87400000.0,81500000.0,86000000.0,82300000.0,63400000.0,59399000.0,44710000.0,36714000.0,40530000.0,19106000.0,16956000.0,13870000.0,6901000.0,4866000.0,3826000.0,3596000.0,3830000.0,2200000.0,1939000.0,2350000.0,2430000.0,2800000.0,2400000.0,1900000.0,1700000.0,1400000.0,1500000.0,1500000.0,2000000.0,1900000.0,900000.0,500000.0,400000.0,300000.0,200000.0
,deferredIncomeTax,-14400000.0,3300000.0,-3200000.0,13900000.0,-36000000.0,-7200000.0,10351000.0,-8243000.0,9665000.0,1641000.0,-7379000.0,7495000.0,545000.0,-3020000.0,4187000.0,-1446000.0,661000.0,3175000.0,-600000.0,-2163000.0,-743000.0,-2762000.0,-500000.0,400000.0,-400000.0,1100000.0,200000.0,-200000.0,-400000.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,-900000.0,23600000.0,8300000.0,21200000.0,19200000.0,17000000.0,15755000.0,16716000.0,14079000.0,11041000.0,8789000.0,6480000.0,14674000.0,0.0,0.0,0.0,0.0,0.0,363000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-52400000.0,-31200000.0,-182900000.0,-432100000.0,162100000.0,58311000.0,132503000.0,168907000.0,35994000.0,386702000.0,193147000.0,95132000.0,-13093000.0,64867000.0,56576000.0,131671000.0,74824000.0,24059000.0,2912000.0,3502000.0,1745000.0,4941000.0,9000000.0,11600000.0,8900000.0,12100000.0,6900000.0,-3100000.0,6700000.0,-2100000.0,0.0,13800000.0,2500000.0,400000.0,1100000.0,0.0
,accountsReceivables,1300300000.0,-164100000.0,-445200000.0,-366600000.0,-506800000.0,483200000.0,462517000.0,-328969000.0,97297000.0,-725986000.0,-329105000.0,-262912000.0,0.0,0.0,0.0,0.0,0.0,0.0,-46956000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,251000000.0,-61300000.0,-11800000.0,-43900000.0,-49500000.0,81400000.0,232258000.0,-77754000.0,-90847000.0,-222445000.0,-58924000.0,-93606000.0,74844000.0,-26780000.0,-37871000.0,4942000.0,-18293000.0,-17796000.0,-2925000.0,2790000.0,5409000.0,-5100000.0,-700000.0,900000.0,-1900000.0,-1000000.0,-900000.0,200000.0,-300000.0,-1100000.0,500000.0,0.0,-200000.0,0.0,0.0,0.0
,accountsPayables,-1223900000.0,143700000.0,171300000.0,451200000.0,423400000.0,-481500000.0,-585674000.0,385482000.0,-45179000.0,573600000.0,247408000.0,242611000.0,-531315000.0,0.0,0.0,0.0,0.0,19250000.0,49834000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,955300000.0,1007700000.0,1038900000.0,1221800000.0,1653900000.0,1491800000.0,1433489000.0,1300986000.0,1132079000.0,1096085000.0,709383000.0,516236000.0,421104000.0,434197000.0,369330000.0,312754000.0,181083000.0,106259000.0,82200000.0,79288000.0,75786000.0,74041000.0,69100000.0,60100000.0,48500000.0,39600000.0,27500000.0,20600000.0,23700000.0,17000000.0,19100000.0,19100000.0,5300000.0,2800000.0,2400000.0,1300000.0
,otherNonCashItems,2100000.0,11000000.0,-3300000.0,24400000.0,3400000.0,3200000.0,-12322000.0,4384000.0,1874000.0,1596000.0,4736000.0,5604000.0,17916000.0,13510000.0,10849000.0,740000.0,362000.0,925000.0,2300000.0,1750000.0,-9658000.0,0.0,200000.0,0.0,-600000.0,-100000.0,-200000.0,0.0,2300000.0,0.0,-200000.0,0.0,100000.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,604100000.0,228800000.0,-182500000.0,205200000.0,205200000.0,447500000.0,141160000.0,264302000.0,145791000.0,-142536000.0,-35698000.0,77921000.0,393452000.0,-77927000.0,67884000.0,-4026000.0,-28785000.0,26730000.0,6200000.0,35961000.0,18324000.0,11002000.0,6500000.0,12900000.0,3700000.0,3700000.0,9300000.0,11100000.0,-100000.0,7400000.0,10100000.0,0.0,1000000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16581000.0,-20031000.0,-4615000.0,-2398000.0,0.0,-2800000.0,-1436000.0,-2684000.0,-1860000.0,-5700000.0,-3500000.0,-3200000.0,-1400000.0,-2200000.0,-3100000.0,-3900000.0,-4700000.0,-2900000.0,0.0,-1000000.0,0.0,0.0,0.0
,acquisitionsNet,131000000.0,31000000.0,-21000000.0,-121000000.0,-431000000.0,-97000000.0,-274000000.0,-77000000.0,-218000000.0,-123000000.0,-178000000.0,-52000000.0,-93000000.0,-55000000.0,-3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
