date,,2021-01-02_FY,2019-12-28_FY,2018-12-29_FY,2017-12-30_FY,2016-12-31_FY,2016-01-02_FY,2015-01-03_FY,2013-12-28_FY,2012-12-29_FY,2011-12-31_FY,2011-01-01_FY,2010-01-02_FY,2008-12-27_FY,2007-12-29_FY,2006-12-30_FY,2005-12-31_FY,2005-01-01_FY,2003-12-27_FY,2002-12-28_FY,2001-12-29_FY,2000-12-30_FY,2000-01-01_FY,1999-01-02_FY,1997-12-27_FY,1996-12-28_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,555000000.0,303600000.0,467400000.0,281800000.0,320700000.0,274300000.0,248900000.0,215800000.0,215400000.0,190100000.0,316900000.0,-746700000.0,266100000.0,303500000.0,367200000.0,226400000.0,279700000.0,267900000.0,257200000.0,243200000.0,283500000.0,215400000.0,223300000.0,204800000.0,175900000.0,143700000.0,109400000.0,84400000.0,80100000.0,63000000.0,5900000.0
,depreciationAndAmortization,154000000.0,179000000.0,181000000.0,178700000.0,180100000.0,188300000.0,201600000.0,204600000.0,220600000.0,246500000.0,247600000.0,267300000.0,278400000.0,234600000.0,197900000.0,201500000.0,188200000.0,179300000.0,152800000.0,156000000.0,156900000.0,150400000.0,127200000.0,116800000.0,113400000.0,107900000.0,102500000.0,95400000.0,93900000.0,92300000.0,90100000.0
,deferredIncomeTax,9000000.0,-216900000.0,-32700000.0,151600000.0,0.0,12900000.0,-18200000.0,54100000.0,-1300000.0,0.0,-48200000.0,-91000000.0,-114200000.0,-37500000.0,-10800000.0,-12600000.0,93100000.0,-5200000.0,22200000.0,3000000.0,11800000.0,-15300000.0,13800000.0,18400000.0,800000.0,-17600000.0,13800000.0,-22800000.0,-13300000.0,-6600000.0,4700000.0
,stockBasedCompensation,24000000.0,34500000.0,34300000.0,30200000.0,27200000.0,26300000.0,28300000.0,34000000.0,38900000.0,39600000.0,35000000.0,25000000.0,29000000.0,21000000.0,24000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,403200000.0,-217200000.0,37900000.0,365600000.0,-415800000.0,-7200000.0,-214200000.0,200500000.0,-234500000.0,451600000.0,254600000.0,-6900000.0,291700000.0,-375900000.0,-76100000.0,-122400000.0,210200000.0,25500000.0,-111800000.0,-150500000.0,76100000.0,-32100000.0,-25900000.0,53000000.0,-17000000.0,4800000.0,-18800000.0,-81000000.0,-3400000.0,-72800000.0,-96200000.0
,accountsReceivables,14000000.0,-42200000.0,-62500000.0,-141200000.0,-88200000.0,-135900000.0,-40900000.0,-110800000.0,-106700000.0,-43600000.0,-87000000.0,95000000.0,57000000.0,1000000.0,-2000000.0,0.0,-1000000.0,-40000000.0,-164300000.0,11400000.0,-38100000.0,-87600000.0,2900000.0,-9200000.0,-4400000.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-6000000.0,-18100000.0,-70500000.0,-14900000.0,-19600000.0,-34400000.0,-33000000.0,-75900000.0,-800000.0,-22200000.0,-35000000.0,133000000.0,16000000.0,-5000000.0,-15000000.0,-11700000.0,-1000000.0,-37000000.0,-76200000.0,4100000.0,8300000.0,-49200000.0,-500000.0,14300000.0,-21200000.0,-18500000.0,-19200000.0,32400000.0,24600000.0,45900000.0,-2900000.0
,accountsPayables,-68000000.0,46400000.0,43600000.0,83400000.0,31600000.0,65500000.0,-62800000.0,108200000.0,68000000.0,31300000.0,76000000.0,-52000000.0,-15000000.0,-87000000.0,8000000.0,0.0,26000000.0,46000000.0,-124600000.0,10000000.0,-9600000.0,-47000000.0,-24500000.0,-14600000.0,-60800000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,490000000.0,86800000.0,304000000.0,266100000.0,-99500000.0,316300000.0,323500000.0,537700000.0,337200000.0,571700000.0,120100000.0,-134500000.0,-127600000.0,-419300000.0,-43400000.0,32700000.0,155100000.0,-55100000.0,-80600000.0,31200000.0,181700000.0,105600000.0,137700000.0,163600000.0,110600000.0,127600000.0,122800000.0,141600000.0,222600000.0,226000000.0,298800000.0
,otherNonCashItems,0.0,565600000.0,234000000.0,121300000.0,46200000.0,135100000.0,109800000.0,32700000.0,118900000.0,36100000.0,103700000.0,959600000.0,62400000.0,50200000.0,9800000.0,0.0,11900000.0,-17400000.0,20700000.0,-300000.0,0.0,65000000.0,0.0,0.0,-2100000.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,751000000.0,746500000.0,457900000.0,645700000.0,585300000.0,473700000.0,374200000.0,320100000.0,513400000.0,422700000.0,486700000.0,569000000.0,539700000.0,499400000.0,510800000.0,441600000.0,516900000.0,334900000.0,522800000.0,375500000.0,409900000.0,435200000.0,422800000.0,368400000.0,304000000.0,187900000.0,265000000.0,239200000.0,167800000.0,230500000.0,89700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-201000000.0,-219400000.0,-226700000.0,-190500000.0,-176900000.0,-135800000.0,-147900000.0,-129200000.0,-95000000.0,-105000000.0,-83000000.0,-72000000.0,-191600000.0,-254800000.0,-195300000.0,-188300000.0,-200700000.0,-224200000.0,-171900000.0,-185700000.0,-198300000.0,-177700000.0,-159700000.0,-177300000.0,-187600000.0,-190300000.0,-163300000.0,-100600000.0,-87800000.0,-122500000.0,-149000000.0
,acquisitionsNet,-350000000.0,-6000000.0,-3000000.0,-319000000.0,-237000000.0,-237000000.0,0.0,481000000.0,0.0,0.0,0.0,0.0,-131000000.0,-1292000000.0,6000000.0,-3000000.0,-3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,5000000.0,-237700000.0,-392900000.0,-129700000.0,-100000.0,-232300000.0,-355500000.0,-283500000.0,-235200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
