date,,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-698352000.0,-664230000.0,-93384000.0,-79837000.0,-168492000.0,-40367000.0,-53719000.0,1000.0,1000.0,36285000.0,-46870000.0,78711000.0,144909000.0,70580000.0,-75336000.0,34753000.0,51655000.0,-53582000.0,-692172000.0,-650845000.0
,depreciationAndAmortization,134307000.0,174906000.0,172095000.0,184238000.0,194294000.0,211167000.0,165594000.0,121552000.0,126404000.0,122265000.0,124280000.0,124042000.0,104506000.0,91474000.0,83301000.0,78134000.0,56917000.0,73545000.0,93196000.0,124617000.0
,deferredIncomeTax,164694000.0,-310338000.0,46632000.0,35615000.0,36650000.0,12380000.0,553000.0,21446000.0,10876000.0,20793000.0,-9148000.0,-1976000.0,50286000.0,45981000.0,-8500000.0,-17608000.0,12263000.0,0.0,0.0,71496000.0
,stockBasedCompensation,17249000.0,16425000.0,20636000.0,16643000.0,11183000.0,10852000.0,12819000.0,10714000.0,9905000.0,12637000.0,31222000.0,18557000.0,9470000.0,7217000.0,5828000.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-27590000.0,121123000.0,-143112000.0,128492000.0,-34128000.0,54076000.0,-191271000.0,-19703000.0,-197556000.0,88543000.0,-23990000.0,24993000.0,81993000.0,68300000.0,0.0,152354000.0,67913000.0,110688000.0,273078000.0,185926000.0
,accountsReceivables,-20896000.0,-59031000.0,-8577000.0,-74378000.0,52271000.0,-58705000.0,-144830000.0,-45232000.0,-29247000.0,-46610000.0,-97292000.0,-141220000.0,-70555000.0,2541000.0,-52977000.0,0.0,0.0,0.0,0.0,0.0
,inventory,22854000.0,-24226000.0,54493000.0,-25960000.0,4262000.0,-29382000.0,-802000.0,-14294000.0,-17386000.0,-11489000.0,18123000.0,-10713000.0,-3509000.0,5368000.0,19403000.0,-11303000.0,18698000.0,-20154000.0,5868000.0,-11920000.0
,accountsPayables,-12267000.0,26215000.0,-10380000.0,-9399000.0,-22095000.0,-6515000.0,685000.0,9446000.0,-4088000.0,-5080000.0,6804000.0,20805000.0,4413000.0,-5136000.0,-3624000.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,483220000.0,510810000.0,389687000.0,532799000.0,404307000.0,438435000.0,384359000.0,575630000.0,595333000.0,792889000.0,704346000.0,728336000.0,703343000.0,621350000.0,553050000.0,0.0,0.0,-1317000.0,105801000.0,81684000.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4987000.0,-47937000.0,54889000.0,557285000.0,465276000.0
,netCashProvidedByOperatingActivites,75695000.0,184962000.0,163262000.0,105471000.0,199412000.0,262562000.0,153706000.0,209988000.0,233720000.0,183079000.0,163383000.0,129984000.0,263133000.0,268129000.0,120673000.0,248679000.0,142764000.0,185540000.0,231387000.0,323196000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-148677000.0,-186488000.0,-151074000.0,-126063000.0,-92388000.0,-233362000.0,-84071000.0,-79395000.0,-79988000.0,-111493000.0,-267288000.0
,acquisitionsNet,-9650000.0,-78840000.0,-673547000.0,-24136000.0,-224319000.0,-178212000.0,-715458000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-113661000.0,-97740000.0,-85222000.0,-105324000.0,-46127000.0,-38041000.0,-35623000.0,-43913000.0,-103477000.0,-121693000.0,-142897000.0,-215969000.0,-336391000.0,-113033000.0,-156774000.0,-26343000.0,-27973000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,-4620000.0,1406000.0,122000.0,1465000.0,1003000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000000.0,0.0,0.0,15842000.0
,otherInvestingActivites,190767000.0,-24749000.0,1552307000.0,-1569080000.0,198908000.0,-70564000.0,-89982000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10492000.0,0.0,12325000.0,-7472000.0,189290000.0
,netCashUsedForInvestingActivites,111311000.0,-199641000.0,752209000.0,-1682891000.0,-126197000.0,-362486000.0,-937340000.0,-424616000.0,-156595000.0,-130766000.0,-380017000.0,-274430000.0,-220225000.0,-172404000.0,-236506000.0,-145853000.0,-58926000.0,-114567000.0,-112588000.0,-62156000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-413000.0,-522000.0,-3446000.0,-273000.0,-6876000.0,-10664000.0,-350878000.0,0.0,0.0,-76000.0,-71000.0,-3311000.0,-5282000.0,-105023000.0,-62219000.0,0.0,0.0,-18696000.0,-26776000.0,-1276343000.0
,commonStockIssued,32000.0,0.0,534000.0,6243000.0,461000.0,147000.0,3019000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159000.0,89796000.0,0.0,3000.0,227000.0
,commonStockRepurchased,-160254000.0,-137061000.0,-98758000.0,-164188000.0,-35972000.0,-50007000.0,-41561000.0,0.0,0.0,0.0,-49997000.0,-194310000.0,-47964000.0,0.0,0.0,-1046000.0,0.0,0.0,0.0,0.0
,dividendsPaid,-10228000.0,-40738000.0,-40119000.0,-28594000.0,-13001000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,7050000.0,231303000.0,-839112000.0,1892448000.0,-31862000.0,168894000.0,1197447000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1902000.0,11172000.0,-15985000.0,-33227000.0,-282343000.0
