date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-07-03_FY,2010-06-27_FY,2009-06-28_FY,2008-06-29_FY,2007-07-01_FY,2006-07-02_FY,2005-07-03_FY,2004-06-27_FY,2003-06-29_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-126845000.0,-25853000.0,-46792000.0,-8517000.0,-31884000.0,-71643000.0,-57310000.0,9673000.0,15872000.0,2700000.0,200000.0,2800000.0,8400000.0,-14200000.0,8500000.0,12900000.0,-1700000.0,-197200000.0,-183962000.0,-68883000.0,20048000.0,-1600000.0,-13900000.0
,depreciationAndAmortization,80241000.0,52873000.0,49056000.0,26340000.0,43172000.0,48783000.0,39399000.0,6031000.0,7166000.0,8900000.0,5600000.0,5900000.0,7200000.0,7900000.0,11900000.0,16200000.0,20100000.0,25900000.0,78754000.0,56858000.0,14163000.0,5900000.0,1600000.0
,deferredIncomeTax,1760000.0,-5766000.0,-4677000.0,0.0,0.0,1871000.0,-61000.0,-35000.0,37000.0,-900000.0,0.0,200000.0,600000.0,100000.0,-200000.0,500000.0,-200000.0,133600000.0,-56771000.0,-64173000.0,0.0,0.0,0.0
,stockBasedCompensation,37842000.0,32897000.0,27633000.0,12633000.0,14792000.0,17801000.0,15922000.0,7353000.0,6189000.0,5248000.0,6235000.0,3854000.0,5059000.0,6183000.0,6995000.0,69000.0,1061000.0,723000.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-69574000.0,17919000.0,-1104000.0,51950000.0,14631000.0,-53984000.0,-39731000.0,23918000.0,14861000.0,-25100000.0,59200000.0,-56700000.0,-41600000.0,-25500000.0,-72400000.0,59600000.0,63800000.0,-125755000.0,10523000.0,5551000.0,86781000.0,-2600000.0,4100000.0
,accountsReceivables,62151000.0,36331000.0,-69518000.0,-25050000.0,10178000.0,27681000.0,-56116000.0,-6304000.0,-7603000.0,8376000.0,-4414000.0,19907000.0,-18413000.0,4541000.0,3306000.0,2271000.0,-6004000.0,24550000.0,0.0,0.0,0.0,0.0,0.0
,inventory,19951000.0,278000.0,17343000.0,8587000.0,17025000.0,-904000.0,-7280000.0,10442000.0,-6115000.0,2232000.0,1782000.0,2265000.0,2172000.0,3030000.0,1259000.0,1061000.0,1252000.0,300000.0,28306000.0,-69481000.0,-21175000.0,-2500000.0,-100000.0
,accountsPayables,-26080000.0,-9850000.0,18844000.0,2064000.0,-9562000.0,2827000.0,-4234000.0,7726000.0,3918000.0,-3453000.0,5773000.0,-4150000.0,-4382000.0,1165000.0,1855000.0,-712000.0,-25000.0,-10195000.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,16386000.0,85960000.0,68041000.0,69145000.0,17195000.0,2564000.0,56548000.0,96279000.0,72361000.0,57500000.0,82600000.0,23400000.0,80100000.0,121700000.0,147200000.0,219600000.0,160000000.0,96200000.0,221955000.0,211432000.0,205881000.0,119100000.0,0.0
,otherNonCashItems,11469000.0,3076000.0,903000.0,4365000.0,5483000.0,247000.0,173000.0,0.0,19747000.0,9700000.0,12200000.0,8600000.0,9900000.0,17300000.0,17400000.0,9100000.0,13600000.0,30900000.0,0.0,0.0,0.0,200000.0,-100000.0
,netCashProvidedByOperatingActivites,35884000.0,104945000.0,19043000.0,59283000.0,30366000.0,37423000.0,-26843000.0,32237000.0,13813000.0,16800000.0,9300000.0,4700000.0,16200000.0,-300000.0,28000000.0,16500000.0,21500000.0,10100000.0,20469000.0,-4653000.0,24819000.0,2800000.0,-8300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5700000.0,-5100000.0,-6900000.0,-7700000.0,-4600000.0,-8000000.0,-7100000.0,-6300000.0,12678000.0,-82819000.0,-51224000.0,-27236000.0,-7500000.0,-2500000.0
,acquisitionsNet,-219000000.0,0.0,-98000000.0,-61000000.0,0.0,0.0,-180000000.0,43000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,-9045000.0,-57712000.0,-75851000.0,-111798000.0,-51552000.0,-44479000.0,-307442000.0,-210711000.0,-273986000.0,-297051000.0,-306365000.0,-582910000.0,-390911000.0,0.0,-158770000.0,-35700000.0,-11000000.0
,salesMaturitiesOfInvestments,45249000.0,921000.0,5521000.0,0.0,0.0,32372000.0,85316000.0,44895000.0,70953000.0,0.0,0.0,0.0,0.0,408673000.0,247726000.0,350084000.0,292980000.0,553775000.0,247546000.0,8398000.0,0.0,14000000.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7750000.0,-8970000.0,100000.0,0.0
,netCashUsedForInvestingActivites,-189477000.0,-21809000.0,-132471000.0,-71752000.0,-5327000.0,21598000.0,-126189000.0,16480000.0,-10410000.0,-22100000.0,-7600000.0,70400000.0,-21100000.0,193300000.0,-34200000.0,45900000.0,-19600000.0,-43900000.0,-241104000.0,-49397000.0,-194976000.0,-29100000.0,-13500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-34517000.0,-19875000.0,-193713000.0,-10038000.0,-26375000.0,-78688000.0,-26437000.0,0.0,0.0,0.0,1197000.0,2825000.0,996000.0,-200000000.0,587000.0,1819000.0,2612000.0,3696000.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,8789000.0,11484000.0,3341000.0,11822000.0,4637000.0,2218000.0,8017000.0,7084000.0,1392000.0,1530000.0,1085000.0,2107000.0,3684000.0,523000.0,5020000.0,5942000.0,13004000.0,6280000.0,11206000.0,25051000.0,181383000.0,126600000.0,20400000.0
