Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12
Cash and cash equivalents,132000000.0,132000000.0,125000000.0,125000000.0,82000000.0,82000000.0,65000000.0,65000000.0,191000000.0
Short-term investments,,,,,,,,,
Cash and short-term investments,132000000.0,,125000000.0,,82000000.0,,65000000.0,,
Receivables,204000000.0,204000000.0,196000000.0,196000000.0,166000000.0,166000000.0,168000000.0,168000000.0,178000000.0
Inventories,1340000000.0,1340000000.0,1033000000.0,1033000000.0,840000000.0,840000000.0,1061000000.0,1061000000.0,1024000000.0
Total current assets,1688000000.0,1513000000.0,1375000000.0,1515000000.0,1111000000.0,1492000000.0,1327000000.0,1525000000.0,1249000000.0
Property, Plant & Equipment Net,1184000000.0,,1160000000.0,,1136000000.0,,1173000000.0,,
Goodwill and Intangible Assets,,298000000,,298000000,,297000000,,293000000,272000000
Long-term investments,0.0,000000.0,6000000.0,6000000.0,6000000.0,6000000.0,7000000.0,7000000.0,7000000.0
Tax assets,,000000.0,,000000.0,,000000.0,,000000.0,18000000.0
Total non-current assets,,641000000.0,,678000000.0,,747000000.0,,760000000.0,655000000.0
Total assets,3201000000.0,3201000000.0,2890000000.0,2890000000.0,2603000000.0,2603000000.0,2852000000.0,2852000000.0,2694000000.0
Payables,127000000.0,127000000.0,108000000.0,108000000.0,98000000.0,98000000.0,120000000.0,120000000.0,125000000.0
Short-term debt,,1185000000.0,,924000000.0,,778000000.0,,1006000000.0,995000000.0
Total current liabilities,1493000000.0,1493000000.0,1172000000.0,1172000000.0,993000000.0,993000000.0,1247000000.0,1247000000.0,1275000000.0
Long-term debt,489000000.0,439000000.0,532000000.0,466000000.0,543000000.0,473000000.0,566000000.0,497000000.0,429000000.0
Total debt,,439000000.0,,466000000.0,,473000000.0,,497000000.0,429000000.0
Deferred revenue,,36000000.0,,27000000.0,,18000000.0,,22000000.0,45000000.0
Tax Liabilities,,141000000.0,,135000000.0,,197000000.0,,189000000.0,176000000.0
Deposit Liabilities,,,,,,,,,
Total non-current liabilities,,641000000.0,,678000000.0,,747000000.0,,760000000.0,655000000.0
Total liabilities,2134000000.0,2134000000.0,1850000000.0,1850000000.0,1740000000.0,1740000000.0,2007000000.0,2007000000.0,1930000000.0
Other comprehensive income,,000000.0,,000000.0,,-0000000.0,,-0000000.0,-0000000.0
Retained earnings (deficit),942000000.0,942000000.0,813000000.0,813000000.0,640000000.0,640000000.0,600000000.0,600000000.0,534000000.0
Total shareholders equity,1067000000.0,1067000000.0,1040000000.0,1040000000.0,863000000.0,863000000.0,845000000.0,845000000.0,764000000.0
Investments,,000000.0,,6000000.0,,6000000.0,,7000000.0,7000000.0
Net Debt,,1492000000,,1265000000,,1169000000,,1438000000,1233000000
Other Assets,12000000.0,33000000,,61000000,,66000000,,53000000,52000000
Other Liabilities,,11000000,,10000000,,8000000,,5000000,10000000
