date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1997-01-31_FY,1996-01-31_FY,1995-01-31_FY,1994-01-31_FY,1993-01-31_FY,1992-01-31_FY,1991-01-31_FY,1990-01-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-684000000.0,302000000.0,165000000.0,361000000.0,163000000.0,313000000.0,245000000.0,16000000.0,290000000.0,-29000000.0,54000000.0,-47000000.0,-1124000000.0,-916000000.0,-1994000000.0,1341000000.0,2082000000.0,1172000000.0,846000000.0,385000000.0,602000000.0,-55000000.0,539600000.0,55400000.0,164100000.0,163400000.0,117600000.0,87400000.0,58800000.0,25100000.0,17500000.0,8100000.0
,depreciationAndAmortization,2561000000.0,3142000000.0,2230000000.0,2206000000.0,2130000000.0,2055000000.0,2020000000.0,1830000000.0,1563000000.0,1490000000.0,2644000000.0,1487000000.0,1727000000.0,1649000000.0,1467000000.0,1292000000.0,3195000000.0,3462000000.0,2717000000.0,2168000000.0,330000000.0,1069000000.0,1582600000.0,1996300000.0,704300000.0,453900000.0,378800000.0,337600000.0,309500000.0,277600000.0,210800000.0,158300000.0
,deferredIncomeTax,-317000000.0,-103000000.0,14000000.0,-192000000.0,51000000.0,58000000.0,65000000.0,37000000.0,128000000.0,32000000.0,-20000000.0,-60000000.0,-241000000.0,-57000000.0,-200000000.0,227000000.0,502000000.0,453000000.0,438000000.0,402000000.0,-33000000.0,252000000.0,-110800000.0,-42600000.0,-36000000.0,16300000.0,4400000.0,-1200000.0,4400000.0,-5600000.0,-900000.0,1100000.0
,stockBasedCompensation,9000000.0,22000000.0,24000000.0,13000000.0,27000000.0,28000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-65000000.0,-797000000.0,7000000.0,16000000.0,-48000000.0,86000000.0,-142000000.0,284000000.0,243000000.0,-97000000.0,259000000.0,284000000.0,48000000.0,192000000.0,2213000000.0,176000000.0,226000000.0,-1054000000.0,-443000000.0,-1669000000.0,1491000000.0,-2693200000.0,842700000.0,-116200000.0,330800000.0,223500000.0,140200000.0,138100000.0,44500000.0,31100000.0,14500000.0,-3000000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-181000000.0,0.0,48000000.0,49000000.0,-9000000.0,-79000000.0,-3000000.0,-28000000.0,-28000000.0,20000000.0,108000000.0,-19000000.0,-40000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,1000000.0,257000000.0,1054000000.0,1047000000.0,1031000000.0,1079000000.0,993000000.0,1135000000.0,851000000.0,608000000.0,705000000.0,446000000.0,162000000.0,114000000.0,-78000000.0,-2291000000.0,-2467000000.0,-2693000000.0,-1639000000.0,-1196000000.0,473000000.0,-1018000000.0,1675200000.0,832500000.0,948700000.0,617900000.0,394400000.0,254200000.0,116100000.0,71600000.0,40500000.0,26000000.0
,otherNonCashItems,-665000000.0,185000000.0,166000000.0,231000000.0,310000000.0,306000000.0,282000000.0,451000000.0,281000000.0,288000000.0,-1022000000.0,0.0,0.0,1195000000.0,0.0,0.0,-9000000.0,200000000.0,39000000.0,-193000000.0,-226000000.0,1000000000.0,-54100000.0,-70900000.0,-900000.0,-14200000.0,-5700000.0,-100000.0,100000.0,100000.0,-198800000.0,7400000.0
,netCashProvidedByOperatingActivites,691000000.0,2586000000.0,2609000000.0,2648000000.0,2629000000.0,2584000000.0,2579000000.0,2253000000.0,1889000000.0,1578000000.0,1640000000.0,1491000000.0,1704000000.0,1714000000.0,1035000000.0,3295000000.0,5417000000.0,7202000000.0,1331000000.0,2784000000.0,1436000000.0,3032000000.0,620300000.0,1208800000.0,260600000.0,124000000.0,97600000.0,127300000.0,117600000.0,34700000.0,40400000.0,41200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-5495000000.0,-13137000000.0,-12820000000.0,-11735000000.0,-12651000000.0,-12127000000.0,-12057000000.0,-11051000000.0,-11199000000.0,-8724000000.0,-8092000000.0,-6814000000.0,-8691000000.0,-10727000000.0,-11443000000.0,-540000000.0,-469000000.0,-463000000.0,-399000000.0,-349000000.0,-217000000.0,-482000000.0,-3207200000.0,-182700000.0,-59700000.0,-30200000.0,-17600000.0,-9100000.0,-4600000.0,-6700000.0,-4900000.0,-4100000.0
,acquisitionsNet,8684000000.0,10383000000.0,9557000000.0,9579000000.0,10468000000.0,9424000000.0,9250000000.0,-537000000.0,-69000000.0,-841000000.0,6317000000.0,7144000000.0,-88000000.0,-11000000.0,-118000000.0,-211000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-286000000.0,-251000000.0,-188000000.0,-61000000.0,0.0,0.0,0.0,0.0,0.0,-400000000.0,-570000000.0,0.0,0.0,-60000000.0,0.0,0.0,0.0,-63000000.0,-27000000.0,-136000000.0,-441000000.0,-690000000.0,-2471000000.0,-458100000.0,-96500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
