Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,463021418.2344,244608827.0859,338718070.5544,488341241.7193
Short-term investments,663908827.7858,519605048.3676,123807199.424,41234016.3303
Cash and short-term investments,1126930246.0202,764213875.4535,462525269.9784,529575258.0496
Receivables,132770332.8509,100929564.6917,61179553.6357,54053304.5756
Inventories,0.0,0.0,0.0,0.0
Total current assets,1377414471.78,964489268.4401,585051979.8416,660537205.3613
Property, Plant & Equipment Net,192438784.3705,204304866.9891,213235565.1548,123142042.8285
Goodwill and Intangible Assets,2456986251.809,2596419135.4293,2511111735.0612,2734335079.3406
Long-term investments,487106512.301,393077539.2987,305033981.2815,386732398.7059
Tax assets,0.0,0.0,0.0,0.0
Total non-current assets,3229075397.974,3307958131.8017,3061601151.9078,3403596826.375
Total assets,4606489869.754,4272447400.2418,3646653131.7495,4064134031.7363
Payables,128445441.3893,94362152.3579,88113318.9345,101675704.8221
Short-term debt,117625759.7685,11336154.7763,265330453.5637,275110152.5189
Total current liabilities,1054254413.8929,846576178.9601,990652699.784,1160528732.0906
Long-term debt,0.0,117507103.9903,21598272.1382,0.0
Total debt,117625759.7685,128843258.7666,286928725.7019,275110152.5189
Deferred revenue,339845586.1071,321002871.8259,265780561.5551,207142659.0664
Tax Liabilities,77184225.7598,76437424.4256,62763714.9028,76483284.5478
Deposit Liabilities,212036034.7323,206384068.9238,177980705.5436,151198428.5934
Total non-current liabilities,41213748.191,168383010.8827,85492728.5817,70258049.6071
Total liabilities,1095468162.0839,1014959189.8428,1076145428.3657,1230786781.6977
Other comprehensive income,-5878726.4834,-8414600.9674,-19956371.4903,-8081189.3391
Retained earnings (deficit),63605499.2764,-255393440.1451,-442150467.9626,-354750885.8419
Total shareholders equity,3186769319.8263,2961525241.838,2548349172.0662,2811205053.1505
Investments,1151015340.0868,912682587.6663,428841180.7055,427966415.0362
Net Debt,-1012412727.8776,,,
Other Assets,124299421.1289,,,
Other Liabilities,808183212.7351,740877871.8259,637208927.2858,783742874.7496
