date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,5205000000.0,1439000000.0,2173000000.0,2213000000.0,1899000000.0,1933000000.0,2594000000.0,2787000000.0,2704000000.0,3168000000.0,2561000000.0,2901000000.0,3118000000.0,3757000000.0,1390000000.0,735000000.0,-35000000.0,-767000000.0,-783000000.0,-691000000.0,1443000000.0,1360000000.0
,depreciationAndAmortization,915000000.0,961000000.0,916000000.0,1101000000.0,1135000000.0,1160000000.0,1305000000.0,1318000000.0,1182000000.0,995000000.0,702000000.0,655000000.0,661000000.0,602000000.0,570000000.0,597000000.0,633000000.0,585000000.0,611000000.0,787000000.0,836000000.0,795000000.0
,deferredIncomeTax,-280000000.0,-83000000.0,-142000000.0,-205000000.0,-147000000.0,-219000000.0,65000000.0,-137000000.0,64000000.0,-34000000.0,151000000.0,-56000000.0,-199000000.0,-351000000.0,113000000.0,38000000.0,3000000.0,50000000.0,-140000000.0,-89000000.0,102000000.0,10000000.0
,stockBasedCompensation,44000000.0,46000000.0,50000000.0,58000000.0,54000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,352000000.0,-372000000.0,50000000.0,718000000.0,673000000.0,658000000.0,189000000.0,-518000000.0,-411000000.0,-675000000.0,599000000.0,339000000.0,-94000000.0,-267000000.0,-571000000.0,-889000000.0,20000000.0,253000000.0,418000000.0,1493000000.0,-301000000.0,411000000.0
,accountsReceivables,-100000000.0,-202000000.0,-144000000.0,-80000000.0,10000000.0,162000000.0,-12000000.0,-571000000.0,-310000000.0,-731000000.0,-407000000.0,256000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,196000000.0,-182000000.0,-336000000.0,-55000000.0,115000000.0,105000000.0,-176000000.0,324000000.0,61000000.0,-600000000.0,-264000000.0,1130000000.0,-800000000.0,-551000000.0,-512000000.0,-328000000.0,-74000000.0,241000000.0,367000000.0,-106000000.0,-136000000.0,-7000000.0
,accountsPayables,-13000000.0,130000000.0,454000000.0,599000000.0,340000000.0,-112000000.0,257000000.0,-43000000.0,-57000000.0,213000000.0,678000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,361000000.0,-42000000.0,-176000000.0,142000000.0,128000000.0,527000000.0,111000000.0,-228000000.0,-105000000.0,637000000.0,597000000.0,-67000000.0,781000000.0,81000000.0,-314000000.0,304000000.0,274000000.0,0.0,-1153000000.0,0.0,0.0,313000000.0
,otherNonCashItems,-4847000000.0,362000000.0,-76000000.0,11000000.0,112000000.0,99000000.0,112000000.0,95000000.0,172000000.0,111000000.0,106000000.0,-6000000.0,301000000.0,-384000000.0,243000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-284000000.0
,netCashProvidedByOperatingActivites,1693000000.0,2325000000.0,2924000000.0,3799000000.0,3843000000.0,3818000000.0,3845000000.0,3653000000.0,3779000000.0,3612000000.0,4197000000.0,4027000000.0,3984000000.0,3093000000.0,1943000000.0,1021000000.0,1270000000.0,-161000000.0,56000000.0,1983000000.0,1971000000.0,1575000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1021000000.0,-840000000.0,-967000000.0,-1171000000.0,-756000000.0,-536000000.0,-456000000.0,-543000000.0,-547000000.0,-602000000.0,-761000000.0,-553000000.0,-839000000.0
,acquisitionsNet,8775000000.0,-117000000.0,-2728000000.0,-1736000000.0,-27000000.0,13000000.0,1040000000.0,-852000000.0,-3678000000.0,-4012000000.0,-1313000000.0,-145000000.0,-607000000.0,1088000000.0,24000000.0,-124000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-5933000000.0,-748000000.0,-352000000.0,-705000000.0,-4306000000.0,-2539000000.0,-2895000000.0,-556000000.0,-2355000000.0,-2951000000.0,-5621000000.0,-4985000000.0,-3626000000.0,-10115000000.0,-4743000000.0,-1915000000.0,-2877000000.0,-2781000000.0,-4377000000.0,-3280000000.0,-2239000000.0,-973000000.0
,salesMaturitiesOfInvestments,4352000000.0,829000000.0,727000000.0,1559000000.0,3837000000.0,2109000000.0,1895000000.0,1532000000.0,1682000000.0,4729000000.0,4904000000.0,3917000000.0,5417000000.0,7361000000.0,4366000000.0,1833000000.0,2317000000.0,3049000000.0,4525000000.0,3873000000.0,2292000000.0,1307000000.0
,otherInvestingActivites,146000000.0,-99000000.0,-32000000.0,102000000.0,-39000000.0,251000000.0,-168000000.0,185000000.0,85000000.0,-55000000.0,-7000000.0,-28000000.0,7000000.0,56000000.0,67000000.0,229000000.0,176000000.0,390000000.0,264000000.0,-907000000.0,-833000000.0,-655000000.0
,netCashUsedForInvestingActivites,-2272000000.0,-651000000.0,-2908000000.0,-1450000000.0,-1305000000.0,-974000000.0,-1121000000.0,-717000000.0,-5575000000.0,-3253000000.0,-2747000000.0,-2220000000.0,114000000.0,-2291000000.0,-694000000.0,-316000000.0,354000000.0,754000000.0,2651000000.0,-1218000000.0,-1713000000.0,-2036000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-4046000000.0,-2156000000.0,-830000000.0,-1007000000.0,-1401000000.0,-101000000.0,-193000000.0,-2590000000.0,-1104000000.0,-2126000000.0,-445000000.0,-764000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4478000000.0
