date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2011-12-16_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,184400000.0,38300000.0,24600000.0,539800000.0,-40100000.0,-20900000.0,22000000.0,27400000.0,41000000.0,44200000.0,44000000.0,155400000.0,-139300000.0,53500000.0,40200000.0,-158900000.0,58600000.0,33800000.0,33200000.0,-3000000.0,100700000.0
,depreciationAndAmortization,70800000.0,67900000.0,73700000.0,63800000.0,57100000.0,58100000.0,57500000.0,56600000.0,55500000.0,48400000.0,0.0,39600000.0,40300000.0,44800000.0,40200000.0,35200000.0,31300000.0,31600000.0,31600000.0,29900000.0,28800000.0
,deferredIncomeTax,-53300000.0,-28300000.0,4900000.0,35900000.0,-30000000.0,-1100000.0,-3300000.0,1700000.0,5900000.0,4300000.0,0.0,-2400000.0,-67700000.0,1200000.0,-8400000.0,-104500000.0,30300000.0,2800000.0,10800000.0,-12200000.0,38700000.0
,stockBasedCompensation,5400000.0,6800000.0,6500000.0,9500000.0,5100000.0,4100000.0,9800000.0,6000000.0,7100000.0,5400000.0,0.0,6900000.0,1800000.0,3900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-58900000.0,-9000000.0,-106600000.0,329600000.0,-17300000.0,-86700000.0,295800000.0,-136600000.0,9100000.0,600000.0,-140000000.0,74400000.0,42700000.0,-52100000.0,-15200000.0,38500000.0,-24700000.0,57800000.0,20900000.0,135300000.0,-70000000.0
,accountsReceivables,18700000.0,9900000.0,-29600000.0,-35700000.0,3000000.0,7300000.0,-14600000.0,-4700000.0,15800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,19500000.0,7000000.0,-35500000.0,7900000.0,2400000.0,-14700000.0,-11400000.0,-17200000.0,-12500000.0,-12000000.0,0.0,5200000.0,-8400000.0,-14000000.0,18200000.0,-9700000.0,-8600000.0,-8500000.0,14800000.0,0.0,-8100000.0
,accountsPayables,300000.0,-15900000.0,7500000.0,20500000.0,-2900000.0,3500000.0,1300000.0,2400000.0,-4700000.0,12000000.0,0.0,2100000.0,-200000.0,-12700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,377000000.0,435900000.0,444900000.0,551500000.0,221900000.0,239200000.0,325900000.0,30100000.0,166700000.0,157600000.0,157000000.0,297000000.0,222600000.0,179900000.0,232000000.0,247200000.0,208700000.0,233400000.0,175600000.0,154700000.0,19400000.0
,otherNonCashItems,-204900000.0,2500000.0,16100000.0,-531500000.0,80700000.0,6500000.0,16000000.0,7600000.0,6900000.0,0.0,0.0,-78900000.0,5200000.0,0.0,-200000.0,5700000.0,0.0,6200000.0,0.0,0.0,-66800000.0
,netCashProvidedByOperatingActivites,51400000.0,207600000.0,226400000.0,46600000.0,64500000.0,86500000.0,32200000.0,69900000.0,118200000.0,78600000.0,44000000.0,35400000.0,77100000.0,98200000.0,104800000.0,75800000.0,76400000.0,41100000.0,42100000.0,32000000.0,-62700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-18300000.0,-21600000.0,-62600000.0,-41000000.0,-35800000.0,-36800000.0,-41800000.0,-30700000.0,-35600000.0,-31500000.0,-3000000.0,-21900000.0,-22100000.0,-49100000.0,-46800000.0,-41300000.0,-32200000.0,-36900000.0,-20800000.0,-18700000.0,-16400000.0
,acquisitionsNet,-238000000.0,-307000000.0,0.0,-49000000.0,-22000000.0,-46000000.0,-23000000.0,-2000000.0,-85000000.0,-228000000.0,-228000000.0,163000000.0,-51000000.0,-33000000.0,-77000000.0,-27000000.0,-2000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19500000.0,0.0,0.0,0.0,0.0,-18200000.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,9300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7400000.0,10500000.0,0.0,0.0,3000000.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-3200000.0,-3400000.0,0.0,500000.0,400000.0,400000.0,200000.0,400000.0,600000.0,1800000.0,0.0,159600000.0,-800000.0,4600000.0,700000.0,40900000.0,-41100000.0,300000.0,0.0,3700000.0,-155100000.0
,netCashUsedForInvestingActivites,216100000.0,-331100000.0,-26000000.0,-97700000.0,-61400000.0,-86500000.0,-74700000.0,-41500000.0,-125600000.0,-257900000.0,-4000000.0,111900000.0,-66300000.0,-73200000.0,-142300000.0,-27500000.0,-64100000.0,-26800000.0,-34900000.0,-32300000.0,-169800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-168200000.0,-487900000.0,-1184900000.0,-484300000.0,-278100000.0,-210600000.0,-452600000.0,-215400000.0,-218900000.0,-63200000.0,0.0,-6200000.0,-9900000.0,-4100000.0,0.0,0.0,0.0,0.0,0.0,0.0,-2700000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0,400000.0,400000.0,1000000.0,700000.0,1100000.0,1500000.0,500000.0,0.0,0.0
,commonStockRepurchased,-5300000.0,-15000000.0,-50000000.0,-11500000.0,-30400000.0,-85300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-21700000.0,-20900000.0,-20300000.0,-19000000.0,-18100000.0,-18000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
