date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,4572000000.0,4807000000.0,3750000000.0,3842800000.0,2469800000.0,2560000000.0,2569700000.0,2489700000.0,2655500000.0,2646700000.0,2887100000.0,4745900000.0,2490700000.0,3345400000.0,3094900000.0,2463800000.0,960100000.0,774300000.0,549100000.0,342200000.0
,depreciationAndAmortization,1154000000.0,1133000000.0,1132000000.0,890400000.0,911800000.0,907900000.0,851000000.0,908800000.0,740700000.0,637200000.0,600800000.0,107100000.0,105400000.0,586200000.0,604900000.0,633800000.0,279100000.0,245000000.0,157000000.0,120500000.0
,deferredIncomeTax,-540000000.0,81000000.0,91000000.0,-1272100000.0,126900000.0,-65900000.0,30700000.0,59100000.0,127500000.0,74300000.0,101800000.0,61300000.0,-481400000.0,-105500000.0,273700000.0,-102600000.0,-103400000.0,64400000.0,63300000.0,71400000.0
,stockBasedCompensation,283000000.0,294000000.0,226000000.0,169600000.0,164600000.0,148200000.0,168900000.0,146000000.0,146500000.0,134800000.0,136000000.0,153600000.0,156000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,5203000000.0,-2125000000.0,841900000.0,-1030700000.0,-2275000000.0,337800000.0,-2452000000.0,-253000000.0,-672000000.0,-2104000000.0,718000000.0,214000000.0,908000000.0,645000000.0,-604000000.0,-4085000000.0,-10226000000.0,-504000000.0,-1873000000.0,-60800000.0
,accountsReceivables,0.0,-1053000000.0,-695000000.0,-22200000.0,-1380500000.0,-42900000.0,-1899700000.0,-418300000.0,189900000.0,0.0,0.0,0.0,0.0,-247300000.0,-776900000.0,-399700000.0,-91200000.0,-251100000.0,-108100000.0,-44700000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,1978000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324500000.0,847200000.0,188900000.0,279700000.0,265100000.0,333400000.0,-15900000.0
,otherWorkingCapital,268000000.0,-27938000000.0,-25813000000.0,-26654900000.0,-25624200000.0,-23349200000.0,-23687000000.0,-21235000000.0,-20982000000.0,-20310000000.0,-18206000000.0,-18924000000.0,-19138000000.0,-20046000000.0,-20691000000.0,-20087000000.0,-16002000000.0,-5776000000.0,-5272000000.0,-3399000000.0
,otherNonCashItems,0.0,2000000.0,11000000.0,282400000.0,0.0,-9300000.0,81100000.0,145300000.0,0.0,3300000.0,1900000.0,16400000.0,7200000.0,-430900000.0,-359800000.0,-518200000.0,103600000.0,273700000.0,97100000.0,242100000.0
,netCashProvidedByOperatingActivites,10688000000.0,6061000000.0,3827000000.0,4184800000.0,3204500000.0,4116000000.0,3369300000.0,3052300000.0,2744600000.0,3374400000.0,1416700000.0,3038900000.0,2535400000.0,4344600000.0,4044200000.0,3256700000.0,1303200000.0,1143400000.0,991100000.0,654600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1021000000.0,-1077000000.0,-1208000000.0,-799500000.0,-583600000.0,-638200000.0,-714600000.0,-646500000.0,-544900000.0,-519500000.0,-451400000.0,-378400000.0,-345600000.0,-322000000.0,-193900000.0,-161800000.0,-136800000.0,-110700000.0,-123300000.0,-70400000.0
,acquisitionsNet,-1976000000.0,0.0,-1760000000.0,-2080000000.0,8636000000.0,-639000000.0,740000000.0,0.0,-4597000000.0,-600000000.0,0.0,4606000000.0,-193000000.0,-299000000.0,-25000000.0,-2497000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-19492000000.0,-22954000000.0,-9671000000.0,-16374700000.0,-12101600000.0,-11895700000.0,-10798500000.0,-14886100000.0,-15636700000.0,-12478300000.0,-11009500000.0,-7554700000.0,-7163700000.0,-9901200000.0,-13632500000.0,-21987600000.0,-7249300000.0,-5120700000.0,-5059800000.0,-3957300000.0
,salesMaturitiesOfInvestments,16059000000.0,21035000000.0,11600000000.0,13525700000.0,11952300000.0,11779800000.0,10255900000.0,13662800000.0,15915600000.0,12654300000.0,10769200000.0,6229100000.0,8305500000.0,9739100000.0,13302600000.0,4480000000.0,7227300000.0,4115000000.0,4546200000.0,3484600000.0
,otherInvestingActivites,-894000000.0,204000000.0,-220000000.0,636400000.0,219000000.0,206200000.0,-545700000.0,-403800000.0,311000000.0,-2200000.0,-580300000.0,100400000.0,212900000.0,-43600000.0,85500000.0,15828700000.0,15700000.0,-3100000.0,900000.0,45000000.0
,netCashUsedForInvestingActivites,-7324000000.0,-2792000000.0,-1259000000.0,-5082400000.0,-513900000.0,-1151500000.0,-974900000.0,-2234400000.0,-4551600000.0,-942000000.0,-1271500000.0,3002800000.0,616200000.0,-768900000.0,-457300000.0,-4420200000.0,-2373900000.0,-1113600000.0,-1411900000.0,-498100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-3752000000.0,-9624000000.0,-11251000000.0,-7815100000.0,-2553200000.0,-5561000000.0,-4159300000.0,-2943600000.0,-1989900000.0,-805100000.0,-646100000.0,-1890800000.0,-1264400000.0,-509700000.0,-2162100000.0,-155100000.0,-798500000.0,-100000000.0,0.0,0.0
,commonStockIssued,0.0,0.0,1250000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784500000.0,559500000.0,430400000.0,389000000.0,57000000.0,30900000.0,2110200000.0
