date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1963000000.0,2936000000.0,2010000000.0,3770000000.0,1134000000.0,2269000000.0,1623000000.0,1719000000.0,1160000000.0,2495000000.0,2563000000.0,2707000000.0,2737000000.0,2736000000.0,1592000000.0,923000000.0,1864000000.0,905000000.0,1440000000.0,1428000000.0,586000000.0
,depreciationAndAmortization,5014000000.0,4252000000.0,4353000000.0,3828000000.0,3936000000.0,2450000000.0,2314000000.0,2153000000.0,1881000000.0,1335000000.0,2075000000.0,1834000000.0,1634000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,309000000.0,681000000.0,-106000000.0,-361000000.0,664000000.0,752000000.0,502000000.0,119000000.0,615000000.0,1457000000.0,981000000.0,756000000.0,374000000.0,-104000000.0,73000000.0,493000000.0,202000000.0,-337000000.0,278000000.0,-68000000.0,193000000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-5154000000.0,-4104000000.0,918000000.0,2083000000.0,-7261000000.0,2881000000.0,926000000.0,60000000.0,1849000000.0,-1658000000.0,955000000.0,-85000000.0,2232000000.0,-141000000.0,1123000000.0,-970000000.0,152000000.0,748000000.0,-1221000000.0,-168000000.0,-510000000.0
,accountsReceivables,697000000.0,-243000000.0,-565000000.0,-426000000.0,-432000000.0,240000000.0,-318000000.0,-97000000.0,243000000.0,57000000.0,-232000000.0,234000000.0,67000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-85000000.0,-87000000.0,-37000000.0,-72000000.0,7000000.0,4000000.0,-380000000.0,-100000000.0,26000000.0,-58000000.0,-62000000.0,51000000.0,-109000000.0,9000000.0,-59000000.0,-118000000.0,-60000000.0,-54000000.0,-37000000.0,-33000000.0,49000000.0
,accountsPayables,0.0,0.0,551000000.0,-390000000.0,771000000.0,-121000000.0,209000000.0,-90000000.0,-632000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-5637000000.0,-2148000000.0,1956000000.0,1038000000.0,-1045000000.0,6216000000.0,3335000000.0,2409000000.0,2349000000.0,500000000.0,2158000000.0,1203000000.0,1288000000.0,-944000000.0,-803000000.0,-1926000000.0,-956000000.0,-1108000000.0,-1856000000.0,-635000000.0,-467000000.0
,otherNonCashItems,947000000.0,146000000.0,1163000000.0,591000000.0,2198000000.0,1514000000.0,-682000000.0,1055000000.0,1404000000.0,796000000.0,609000000.0,557000000.0,718000000.0,664000000.0,1091000000.0,76000000.0,-24000000.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,4235000000.0,6659000000.0,8644000000.0,7480000000.0,8445000000.0,7616000000.0,4457000000.0,6343000000.0,6131000000.0,4853000000.0,5244000000.0,6094000000.0,6551000000.0,4496000000.0,4835000000.0,2147000000.0,4398000000.0,3384000000.0,3614000000.0,3615000000.0,1096000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2674000000.0,-2418000000.0,-2165000000.0,-1921000000.0,-1954000000.0,-2150000000.0,-2041000000.0,-752000000.0
,acquisitionsNet,0.0,-41000000.0,-154000000.0,-208000000.0,-6923000000.0,-40000000.0,-246000000.0,0.0,943000000.0,-387000000.0,-893000000.0,0.0,0.0,0.0,0.0,-97000000.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-3464000000.0,-10087000000.0,-8997000000.0,-8113000000.0,-9738000000.0,-7147000000.0,-7554000000.0,-4454000000.0,-7496000000.0,-6336000000.0,-3929000000.0,-23172000000.0,-17487000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,3341000000.0,10051000000.0,8762000000.0,7845000000.0,9856000000.0,6895000000.0,7738000000.0,4239000000.0,7293000000.0,6145000000.0,3792000000.0,22946000000.0,17202000000.0,95000000.0,0.0,0.0,329000000.0,263000000.0,287000000.0,0.0,0.0
,otherInvestingActivites,3835000000.0,65000000.0,149000000.0,126000000.0,-134000000.0,94000000.0,1667000000.0,101000000.0,1045000000.0,17000000.0,462000000.0,41000000.0,24000000.0,-330000000.0,-344000000.0,-5499000000.0,-144000000.0,-146000000.0,-230000000.0,-321000000.0,301000000.0
,netCashUsedForInvestingActivites,-4336000000.0,-7260000000.0,-7834000000.0,-7934000000.0,-15503000000.0,-7822000000.0,-4599000000.0,-5394000000.0,-4576000000.0,-4603000000.0,-3894000000.0,-3458000000.0,-3378000000.0,-2909000000.0,-2762000000.0,-2487000000.0,-1736000000.0,-2109000000.0,-2538000000.0,-2392000000.0,-1203000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-6440000000.0,-1412000000.0,-2125000000.0,-3751000000.0,-2751000000.0,-2687000000.0,-1545000000.0,-1799000000.0,-1357000000.0,-789000000.0,-1634000000.0,-2538000000.0,-2841000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,1150000000.0,0.0,1868000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215000000.0,184000000.0,222000000.0,240000000.0,381000000.0,78000000.0,39000000.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,-190000000.0,0.0,0.0,-93000000.0,0.0,0.0,0.0,0.0,-436000000.0,-1287000000.0,-186000000.0,-362000000.0,-82000000.0,-300000000.0,-18000000.0,-17000000.0,-515000000.0
