date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,473238000.0,112230000.0,-110070000.0,1383000.0,204049000.0,350301000.0,-45800000.0,-89683000.0,-118931000.0,-95986000.0,19680000.0,-17614000.0,402469000.0,101055000.0,218042000.0,209420000.0,236502000.0,76823293.830208,26233774.410527
,depreciationAndAmortization,319751000.0,337702000.0,270693000.0,229872000.0,227763000.0,210206000.0,160900000.0,167362000.0,0.0,168523000.0,172147000.0,163903000.0,144873000.0,153698000.0,0.0,0.0,45737000.0,60451116.456557,135366275.95832
,deferredIncomeTax,1944000.0,0.0,0.0,0.0,0.0,0.0,0.0,178000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,180576000.0,-165419000.0,-114533000.0,22083000.0,38487000.0,-57692000.0,-112280000.0,-51285000.0,19435000.0,3338000.0,-38043000.0,-17113000.0,62585000.0,-856000.0,49695000.0,0.0,0.0,32744354.747302,-8394807.811369
,accountsReceivables,85830000.0,-41001000.0,-23589000.0,5938000.0,-755000.0,12330000.0,17500000.0,-3210000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,107602000.0,-161121000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,4490000.0,6471000.0,-8181000.0,1165000.0,-6817000.0,1190000.0,-10512000.0,17313000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-17900000.0,10505000.0,-5029000.0,-6599000.0,-2984000.0,17811000.0,-34713000.0,-9579000.0,0.0,0.0,0.0,0.0,0.0,0.0,49695000.0,0.0,0.0,32744354.747302,-8394807.811369
,otherNonCashItems,70057000.0,68121000.0,18618000.0,-4345000.0,-22306000.0,-1901000.0,56500000.0,60996000.0,245466000.0,216617000.0,220250000.0,201440000.0,502170000.0,196752000.0,145377000.0,147188000.0,209952000.0,156165384.179439,193080579.661479
,netCashProvidedByOperatingActivites,955371000.0,271991000.0,841000.0,211295000.0,438202000.0,450532000.0,14800000.0,26257000.0,77852000.0,56450000.0,127319000.0,120452000.0,565359000.0,198374000.0,412890000.0,314168000.0,197374000.0,107048852.058486,13641562.693474
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-225189000.0,-8039000.0,-238064000.0,-177890000.0,-342680000.0,-359885000.0,-1177127000.0,-10355000.0,-148845000.0,-16607000.0,-146514000.0,-384949000.0,-460133000.0,-150785000.0,-315556000.0,-1383118000.0,-363782000.0,-295958590.985227,-480602747.200856
,acquisitionsNet,2000000.0,-4000000.0,267248000.0,0.0,-3018000.0,1500000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5013000.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56773000.0,0.0,0.0,-2036000.0,-127000.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12025000.0,17275000.0,0.0,4392000.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,106083000.0,55789000.0,160858000.0,137648000.0,245083000.0,152512000.0,153120000.0,52944000.0,47803000.0,52192000.0,112104000.0,182000.0,223026000.0,118477000.0,86227000.0,15262000.0,58268000.0,445826983.867108,620166427.06486
,netCashUsedForInvestingActivites,-117106000.0,43750000.0,190042000.0,-40242000.0,-100615000.0,-205873000.0,-1023007000.0,42589000.0,-101042000.0,35585000.0,-34410000.0,-372742000.0,-276605000.0,-32308000.0,-224937000.0,-1364879000.0,-305641000.0,149868392.881881,139563679.864004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1400502000.0,-993000.0,-67000.0,11000.0,-100000.0,-109000.0,0.0,-156682000.0,-776064000.0,-167817000.0,-200254000.0,-246118000.0,-178230000.0,-223659000.0,-216846000.0,-522012000.0,-114898000.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357700000.0,0.0,0.0,0.0
,commonStockRepurchased,-118488000.0,-30965000.0,-1661000.0,0.0,-6157000.0,237326000.0,475000000.0,0.0,0.0,0.0,0.0,-1157000.0,-48757000.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-352041000.0,-26015000.0,-22643000.0,-44133000.0,-216838000.0,-138003000.0,0.0,-4000.0,-47000.0,-63000.0,-6570000.0,-113222000.0,-139427000.0,-119021000.0,-105179000.0,-92823000.0,-81685000.0,-44078939.082906,-15740264.646316
,otherFinancingActivites,885744000.0,-133214000.0,-135794000.0,-190854000.0,-38065000.0,-464529000.0,714021000.0,63310000.0,759524000.0,95500000.0,94675000.0,593092000.0,332025000.0,72157000.0,141240000.0,1302639000.0,305185000.0,-118383436.394091,-224561108.954112
,netCashUsedProvidedByFinancingActivities,-985287000.0,-191187000.0,-160165000.0,-234976000.0,-261160000.0,-365315000.0,1189021000.0,-93376000.0,-16587000.0,-72380000.0,-112149000.0,232595000.0,-34389000.0,-270523000.0,-180785000.0,1045504000.0,108602000.0,-162462375.476997,-240301373.600428
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
