Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31
Cash and cash equivalents,27000000.0,45000000.0,27000000.0,20000000.0,20000000.0,26000000.0,26000000.0,22000000.0,22000000.0,51000000.0,51000000.0,69000000.0
Short-term investments,101000000.0,18000000.0,172000000.0,58000000.0,000000.0,694000000.0,000000.0,752000000.0,000000.0,47000000.0,000000.0,108000000.0
Cash and short-term investments,128000000.0,63000000.0,172000000.0,78000000.0,000000.0,720000000.0,000000.0,774000000.0,000000.0,98000000.0,000000.0,177000000.0
Receivables,230000000.0,171000000.0,180000000.0,149000000.0,149000000.0,209000000.0,220000000.0,272000000.0,296000000.0,271000000.0,283000000.0,172000000.0
Inventories,22000000.0,16000000.0,16000000.0,16000000.0,16000000.0,24000000.0,24000000.0,25000000.0,25000000.0,20000000.0,20000000.0,16000000.0
Total current assets,3796000000.0,4434000000.0,4434000000.0,4513000000.0,4513000000.0,4536000000.0,4864000000.0,9052000000.0,9117000000.0,7643000000.0,7837000000.0,6897000000.0
Property, Plant & Equipment Net,3775000000.0,4422000000.0,4422000000.0,4498000000.0,4498000000.0,4427000000.0,4755000000.0,8728000000.0,8728000000.0,7422000000.0,7616000000.0,6351000000.0
Goodwill and Intangible Assets,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Long-term investments,13000000.0,4000000.0,,4000000.0,,85000000.0,,297000000.0,,97000000.0,,308000000.0
Tax assets,0.0,9000000.0,000000.0,0.0,000000.0,0.0,000000.0,24000000.0,251000000.0,31000000.0,000000.0,0.0
Total non-current assets,4340000000.0,4060000000.0,4060000000.0,3834000000.0,3834000000.0,4863000000.0,4866000000.0,5158000000.0,4972000000.0,4627000000.0,4649000000.0,4794000000.0
Total assets,4181000000.0,4900000000.0,4900000000.0,4761000000.0,4761000000.0,5833000000.0,5833000000.0,10154000000.0,10219000000.0,8366000000.0,8366000000.0,8306000000.0
Payables,226000000.0,246000000.0,88000000.0,176000000.0,63000000.0,233000000.0,79000000.0,545000000.0,545000000.0,521000000.0,532000000.0,401000000.0
Short-term debt,58000000.0,38000000.0,21000000.0,4000000.0,000000.0,0.0,000000.0,1000000.0,000000.0,35000000.0,000000.0,17000000.0
Total current liabilities,440000000.0,448000000.0,448000000.0,321000000.0,321000000.0,351000000.0,348000000.0,648000000.0,899000000.0,802000000.0,780000000.0,764000000.0
Long-term debt,4301000000.0,4022000000.0,4022000000.0,3790000000.0,3789000000.0,4820000000.0,4812000000.0,4533000000.0,4598000000.0,4421000000.0,4421000000.0,4709000000.0
Total debt,4359000000.0,4060000000.0,4022000000.0,3794000000.0,3789000000.0,4820000000.0,4812000000.0,4534000000.0,4598000000.0,4456000000.0,4421000000.0,4726000000.0
Deferred revenue,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Tax Liabilities,0.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,578000000.0,327000000.0,173000000.0,171000000.0,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current liabilities,4340000000.0,4060000000.0,4060000000.0,3834000000.0,3834000000.0,4863000000.0,4866000000.0,5158000000.0,4972000000.0,4627000000.0,4649000000.0,4794000000.0
Total liabilities,4780000000.0,4508000000.0,4508000000.0,4155000000.0,4155000000.0,5214000000.0,5214000000.0,5806000000.0,5871000000.0,5429000000.0,5429000000.0,5558000000.0
Other comprehensive income,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Retained earnings (deficit),-4137000000.0,-3134000000.0,-3134000000.0,-2939000000.0,-2939000000.0,-2912000000.0,-2912000000.0,836000000.0,836000000.0,105000000.0,105000000.0,0.0
Total shareholders equity,-599000000.0,392000000.0,392000000.0,606000000.0,606000000.0,619000000.0,619000000.0,4348000000.0,4348000000.0,2937000000.0,2937000000.0,2748000000.0
Investments,114000000.0,22000000.0,,62000000.0,,779000000.0,,1049000000.0,,144000000.0,,416000000.0
Net Debt,4231000000.0,3997000000.0,4016000000,3716000000.0,3769000000,4100000000.0,4786000000,3760000000.0,4576000000,4358000000.0,4370000000,4549000000.0
Other Assets,5000000.0,216000000.0,48000000,5000000.0,78000000,344000000.0,803000000,31000000.0,1141000000,334000000.0,356000000,1044000000.0
Other Liabilities,156000000.0,164000000.0,215000000,141000000.0,162000000,118000000.0,226000000,102000000.0,50000000,246000000.0,186000000,346000000.0
