date,,2021-03-31_FY,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY,2004-03-31_FY,2003-03-31_FY
,commonStockRepurchased,-164952000.0,-28196000.0,-14392000.0,11188000.0,-44212000.0,-50591000.0,1397000.0,16900000.0,-74000000.0,-138400000.0,43000000.0,-97400000.0,-47800000.0,-219742000.0,-138095000.0,-241352000.0,-134525000.0,-79162000.0,-63822000.0
,dividendsPaid,-146705000.0,-124180000.0,-113971000.0,-104248000.0,-93093000.0,-85915000.0,-43767000.0,-36100000.0,-133500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-32082000.0,0.0,-12713000.0,7097000.0,30823000.0,14604000.0,-3424000.0,482854000.0,13633000.0,16662000.0,524355000.0,0.0,0.0,15231000.0,13076000.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-299929000.0,-176656000.0,-159133000.0,-127873000.0,-146056000.0,-141669000.0,-48854000.0,-22681000.0,-209784000.0,-139374000.0,46424000.0,-108200000.0,-41159000.0,-165647000.0,-82494000.0,-186954000.0,-93088000.0,-49089000.0,-46556000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-3966000.0,-7060000.0,-10134000.0,4730000.0,-5370000.0,1405000.0,-13863000.0,-349000.0,-1571000.0,-5119000.0,-5127000.0,-2044000.0,-35901000.0,5502000.0,-90000.0,-6820000.0,-3027000.0,-1144000.0,1681000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,1034761000.0,111050000.0,-37431000.0,94414000.0,28338000.0,-17843000.0,67626000.0,135600000.0,-144500000.0,400000.0,158000000.0,-172800000.0,10400000.0,286155000.0,-48817000.0,-96263000.0,46524000.0,76019000.0,75633000.0
,cashAtEndOfPeriod,1750327000.0,715566000.0,604516000.0,641947000.0,547533000.0,515537000.0,537026000.0,469400000.0,333900000.0,478300000.0,477900000.0,320000000.0,492800000.0,482352000.0,196197000.0,245014000.0,341277000.0,294753000.0,218734000.0
,cashAtBeginningOfPeriod,715566000.0,604516000.0,641947000.0,547533000.0,519195000.0,533380000.0,469400000.0,333800000.0,478400000.0,477900000.0,319900000.0,492800000.0,482400000.0,196197000.0,245014000.0,341277000.0,294753000.0,218734000.0,143101000.0
,operatingCashFlow,1458638000.0,425000000.0,305181000.0,346261000.0,288389000.0,185195000.0,178632000.0,205400000.0,117000000.0,196100000.0,156600000.0,365300000.0,200600000.0,393079000.0,303825000.0,152217000.0,213674000.0,166460000.0,145108000.0
,capitalExpenditure,-76189000.0,-39484000.0,-35930000.0,-39748000.0,-31804000.0,-56615000.0,-45253000.0,-46658000.0,-49240000.0,-47807000.0,-43039000.0,-39834000.0,-48263000.0,-57900000.0,-47246000.0,-54102000.0,-40541000.0,-24718000.0,-28657000.0
,freeCashFlow,1382449000.0,385516000.0,269251000.0,306513000.0,256585000.0,128580000.0,133379000.0,158700000.0,70100000.0,148300000.0,113600000.0,325500000.0,152300000.0,335179000.0,256579000.0,98115000.0,173133000.0,141742000.0,116451000.0
