Date,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,6331000.0,2087000.0,4167000.0,11690000.0,21737000.0,15182000.0,7487000.0,9750026.0,479888.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,6331000.0,2087000.0,4167000.0,11690000.0,21737000.0,15182000.0,7487000.0,9750026.0,479888.0
Receivables,0.0,0.0,519000.0,678000.0,59000.0,652000.0,21000.0,538778.0,1351588.0
Inventories,0.0,0.0,469000.0,275000.0,336000.0,0.0,0.0,3108.0,0.0
Total current assets,114000.0,1066000.0,1564000.0,1520000.0,1046000.0,2984000.0,8424000.0,8386330.0,19166236.0
Property Plant & Equipment Net,79000.0,164000.0,1290000.0,1358000.0,955000.0,4255000.0,4384000.0,5420939.0,5616811.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2701512.0,13229482.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,343000.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,752000.0,922000.0,2041000.0,5984000.0,578000.0,6492000.0,1777000.0,4980249.0,4053017.0
Total assets,6706000.0,4700000.0,7781000.0,14809000.0,23310000.0,23879000.0,16616000.0,18863638.0,20933337.0
Payables,58000.0,763000.0,1580000.0,860000.0,926000.0,2277000.0,1052000.0,234759.0,1553303.0
Short-term debt,0.0,6650000.0,9401000.0,153000.0,2600000.0,0.0,4000000.0,432263.0,12153540.0
Total current liabilities,1583000.0,11294000.0,15684000.0,6906000.0,11760000.0,10766000.0,10021000.0,2316628.0,14174918.0
Long-term debt,0.0,0.0,0.0,4626000.0,0.0,3413000.0,0.0,4102211.0,3104965.0
Total debt,0.0,6650000.0,9401000.0,4779000.0,2600000.0,3413000.0,4000000.0,4534474.0,15258505.0
Deferred revenue,12000.0,0.0,137000.0,1226000.0,1800000.0,536000.0,405000.0,281955.0,200565.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,752000.0,922000.0,2041000.0,5984000.0,578000.0,6492000.0,1777000.0,4980249.0,4053017.0
Total liabilities,2335000.0,12216000.0,17725000.0,12890000.0,12338000.0,17258000.0,11798000.0,7296877.0,18227935.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,641000.0,0.0,0.0,0.0
Retained earnings (deficit),-315987000.0,-316308000.0,-308875000.0,-289852000.0,-268066000.0,-251128000.0,-219357000.0,-201240208.0,-171731862.0
Total shareholders equity,4371000.0,-7516000.0,-9944000.0,1919000.0,10972000.0,6621000.0,4818000.0,11566761.0,2705402.0
Investments,0.0,0.0,0.0,0.0,0.0,343000.0,0.0,0.0,0.0
Net Debt,-6331000.0,4563000.0,5234000.0,-6911000.0,-19137000.0,-11769000.0,-3487000.0,-5215552.0,14778617.0
Other Assets,261000.0,1547000.0,1062000.0,646000.0,132000.0,5061000.0,684000.0,185396.0,-64375.0
Other Liabilities,1525000.0,3881000.0,4703000.0,5893000.0,8234000.0,8489000.0,4969000.0,1649606.0,468075.0
