Date,2018-08-31,2017-08-31
Cash and cash equivalents,41715151.5152,1568108.9744
Short-term investments,56818181.8182,25641025.641
Cash and short-term investments,98533333.3334,27209134.6154
Receivables,2830303.0303,3263621.7949
Inventories,34067424.2424,2104166.6667
Total current assets,153950000.0,35790865.3846
Property Plant & Equipment Net,74726515.1515,36334935.8974
Goodwill and Intangible Assets,0.0,1865384.6154
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,75267424.2424,38574519.2308
Total assets,229217424.2424,74365384.6154
Payables,8154545.4545,5015224.359
Short-term debt,318939.3939,312500.0
Total current liabilities,8522727.2727,5327724.359
Long-term debt,74805303.0303,2507211.5385
Total debt,75124242.4242,2819711.5385
Deferred revenue,0.0,0.0
Tax Liabilities,0.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,80850757.5758,2507211.5385
Total liabilities,89373484.8485,7834935.8974
Other comprehensive income,0.0,0.0
Retained earnings (deficit),575000.0,-15829326.9231
Total shareholders equity,139843939.3939,66530448.7179
Investments,56818181.8182,25641025.641
Net Debt,,
Other Assets,,
Other Liabilities,49242.4243,0.0
