Date,2018-12-31,2017-12-31,2017-04-30,2016-12-31,2016-04-30,2015-12-31,2015-04-30,2014-04-30,2013-04-30,2012-04-30,2011-04-30,2010-04-30
Cash and cash equivalents,4303480.0,811283.0,372011.0,4879106.0,2159000.0,5584309.0,51366.0,2235597.0,57942.0,2364360.0,2177070.0,3279401.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,4303480.0,811283.0,372011.0,4879106.0,2159000.0,5584309.0,51366.0,2235597.0,57942.0,2364360.0,2177070.0,3279401.0
Receivables,295626.0,23683683.0,187659.0,27143036.0,4611000.0,34871011.0,61710.0,3243364.0,16678.0,6915324.0,5047101.0,4468909.0
Inventories,0.0,1475266.0,0.0,1972905.0,0.0,2720052.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,4927718.0,28557252.0,611202.0,39369452.0,6811000.0,44689998.0,131693.0,5545217.0,82861.0,14005704.0,16608595.0,14595916.0
Property, Plant & Equipment Net,39821.0,4309450.0,5981.0,6035353.0,323000.0,6468787.0,0.0,237800.0,0.0,162986.0,176281.0,2526638.0
Goodwill and Intangible Assets,659092.0,2313678.0,589584.0,2848027.0,0.0,37031442.0,447322.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,,0.0,,0.0,,0.0,0.0,0.0,688828.0,6636765.0,666000.0
Total non-current assets,702438.0,,334127.0,,258962.0,,1151489.0,5413131.0,3549050.0,7238147.0,11693545.0,43663087.0
Total assets,5630156.0,35795399.0,1209767.0,51062997.0,7145000.0,88353085.0,582015.0,5804179.0,284376.0,15157193.0,22021726.0,18144966.0
Payables,2338560.0,19984329.0,1820731.0,13665144.0,1790000.0,14250310.0,417446.0,2071765.0,70212.0,5774269.0,5359806.0,4780967.0
Short-term debt,0.0,5123119.0,0.0,7090220.0,52946.0,145633.0,0.0,53996.0,0.0,1742935.0,76601.0,3567106.0
Total current liabilities,2591760.0,29686874.0,2192879.0,24595095.0,3949000.0,17711509.0,498722.0,3484050.0,426121.0,15252018.0,15997839.0,15080048.0
Long-term debt,0.0,223561.0,3506502.0,26019.0,125000.0,5742381.0,0.0,94825.0,0.0,44239.0,56537.0,133838.0
Total debt,0.0,,177505.0,,148821.0,,1787174.0,133138.0,3700944.0,5346680.0,7116239.0,5888014.0
Deferred revenue,253200.0,,2105797.0,,1358289.0,,1346461.0,1448563.0,1457662.0,4384463.0,2831531.0,2356633.0
Tax Liabilities,0.0,,0.0,,0.0,,0.0,7274.0,139557.0,194963.0,0.0,2125879.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,0.0,,124559.0,,94825.0,,44239.0,56537.0,3992346.0,223561.0,26019.0,8487520.0
Total liabilities,2591760.0,29910435.0,5699381.0,24621114.0,4074000.0,26199029.0,498722.0,3578875.0,426121.0,15296257.0,16054376.0,19072394.0
Other comprehensive income,0.0,,0.0,,0.0,,349723.0,1232003.0,1433541.0,1433066.0,1564965.0,398116.0
Retained earnings (deficit),-29753721.0,-47143662.0,-9604897.0,-26595831.0,-87077000.0,10235590.0,-1964091.0,-84820940.0,-546745.0,-76550894.0,-65222355.0,-54054389.0
Total shareholders equity,3038396.0,4767642.0,-4489702.0,25403455.0,990000.0,60981056.0,83047.0,2225304.0,-141829.0,-699979.0,5121145.0,-1776566.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,-4303480.0,303705.0,3134491.0,,-1981054.0,,-2086776.0,-577186.0,-2043932.0,421543.0,4535397.0,2237133.0
Other Assets,328612.0,1514626.0,51532.0,,40979.0,,66256.0,4726020.0,9384424.0,6847606.0,2587020.0,5374405.0
Other Liabilities,253200.0,4579426.0,372148.0,3839731.0,2106054.0,3315566.0,81276.0,1358289.0,355909.0,7734814.0,10561432.0,6731975.0
