date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,3439000000.0,4920000000.0,1007000000.0,4457000000.0,1565000000.0,2004000000.0,2563000000.0,1960000000.0,3709000000.0,3102000000.0,10612000000.0,5247000000.0,2165000000.0,1585000000.0,3000000000.0,2388000000.0,3106000000.0,2066000000.0,5245000000.0,4711000000.0,4167000000.0,3141000000.0,3205000000.0,2850000000.0,1812000000.0,1842000000.0,1959000000.0,1962000000.0,2056000000.0,1748000000.0,747000000.0
,depreciationAndAmortization,1746000000.0,637000000.0,789000000.0,382000000.0,376000000.0,467000000.0,763000000.0,681000000.0,801000000.0,744000000.0,707000000.0,816000000.0,892000000.0,927000000.0,929000000.0,909000000.0,789000000.0,735000000.0,781000000.0,746000000.0,678000000.0,625000000.0,591000000.0,519000000.0,448000000.0,328000000.0,308000000.0,295000000.0,246000000.0,244000000.0,196000000.0
,deferredIncomeTax,-924000000.0,86000000.0,1010000000.0,-204000000.0,-347000000.0,-542000000.0,-491000000.0,-1230000000.0,415000000.0,422000000.0,163000000.0,1430000000.0,-416000000.0,-236000000.0,-812000000.0,286000000.0,249000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27000000.0,-196000000.0,-31000000.0,85000000.0,0.0
,stockBasedCompensation,441000000.0,221000000.0,199000000.0,205000000.0,235000000.0,213000000.0,191000000.0,154000000.0,161000000.0,193000000.0,183000000.0,181000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,3065000000.0,176000000.0,1588000000.0,-1360000000.0,-1028000000.0,201000000.0,488000000.0,-339000000.0,-127000000.0,-166000000.0,42000000.0,117000000.0,-158000000.0,-640000000.0,-904000000.0,-608000000.0,128000000.0,-3150000000.0,375000000.0,-795000000.0,-296000000.0,-445000000.0,-1353000000.0,-676000000.0,-987000000.0,-637000000.0,-209000000.0,-549000000.0,-474000000.0,-363000000.0,-624000000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,463000000.0,-216000000.0,-29000000.0,-152000000.0,97000000.0,-254000000.0,-45000000.0,-103000000.0,-193000000.0,156000000.0,82000000.0,130000000.0,-54000000.0,78000000.0,-370000000.0,-133000000.0,127000000.0,206000000.0,-10000000.0,75000000.0,-317000000.0,-139000000.0,-288000000.0,-227000000.0,-50000000.0,-36000000.0,129000000.0,-163000000.0,-114000000.0,-168000000.0,-123000000.0
,accountsPayables,229000000.0,-59000000.0,320000000.0,104000000.0,-919000000.0,-44000000.0,412000000.0,-232000000.0,593000000.0,315000000.0,472000000.0,253000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,714000000.0,718000000.0,-869000000.0,36000000.0,689000000.0,580000000.0,499000000.0,-602000000.0,-173000000.0,-131000000.0,-797000000.0,99000000.0,-220000000.0,-62000000.0,-170000000.0,155000000.0,258000000.0,-283000000.0,-101000000.0,-275000000.0,-117000000.0,-190000000.0,-164000000.0,-142000000.0,-246000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,2214000000.0,227000000.0,1088000000.0,399000000.0,773000000.0,946000000.0,-26000000.0,2994000000.0,-1698000000.0,0.0,-7642000000.0,32000000.0,929000000.0,628000000.0,219000000.0,503000000.0,-603000000.0,1285000000.0,3525000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49000000.0,-15000000.0,38000000.0,38000000.0,871000000.0
,netCashProvidedByOperatingActivites,8067000000.0,5940000000.0,5275000000.0,2850000000.0,1832000000.0,3148000000.0,3545000000.0,6941000000.0,4840000000.0,4491000000.0,4065000000.0,3707000000.0,3153000000.0,2083000000.0,1836000000.0,3176000000.0,3512000000.0,957000000.0,5402000000.0,4652000000.0,4470000000.0,4120000000.0,2476000000.0,2641000000.0,2499000000.0,2301000000.0,2580000000.0,2028000000.0,1835000000.0,1752000000.0,1190000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-836000000.0,-951000000.0,-1055000000.0,-1215000000.0,-820000000.0,-526000000.0,-537000000.0,-548000000.0,-367000000.0,-424000000.0,-730000000.0,-941000000.0,-843000000.0,-793000000.0,-738000000.0,-809000000.0,-990000000.0,-997000000.0,-1023000000.0,-589000000.0,-709000000.0,-788000000.0,-767000000.0,-601000000.0,-513000000.0,-573000000.0,-570000000.0,-647000000.0,-628000000.0,-513000000.0,-555000000.0
,acquisitionsNet,-8925000000.0,-1123000000.0,10000000.0,975000000.0,-403000000.0,3366000000.0,9000000.0,-7462000000.0,-211000000.0,-762000000.0,-2232000000.0,4339000000.0,-432000000.0,226000000.0,843000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-3961000000.0,-2305000000.0,-5437000000.0,-3089000000.0,-3143000000.0,-5719000000.0,-1859000000.0,-3607000000.0,-6819000000.0,-5823000000.0,-3489000000.0,-422000000.0,-19878000000.0,0.0,-30000000.0,-779000000.0,-23918000000.0,-381000000.0,-2582000000.0,-10000000.0,-4000000.0,-256000000.0,-363000000.0,-379000000.0,-80000000.0,-482000000.0,-1049000000.0,-269000000.0,-2865000000.0,-1330000000.0,-8679000000.0
