date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,acquisitionsNet,0.0,-728000000.0,-4139000000.0,-2081000000.0,-165000000.0,-8101000000.0,-201000000.0,-446000000.0,426000000.0,-91000000.0,-579000000.0,-243000000.0,-1143000000.0,-2547000000.0,-2485000000.0,-1006000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1000000.0,-32484989.694417,-2287805.994052,-13196727.211652,-7361911.572925,-20772746.157042,-3648037.355903,-107708028.390732,-42320205.252995,0.0,-89107594.094959,-349590234.397387,-69604922.460116,0.0,-9767000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2704055.973019,-4236.118484,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46548743.183934,44415152.730816,76565414.706128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294747.90113,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,128000000.0,0.0,0.0,-53000000.0,-59946994.236675,-64504843.329762,387907972.177635,-144991576.679831,-30000000.0,583241526.796708,117036840.00532,-173362370.336409,87702202.299747,-74000000.0,-23756000.0,-346529000.0,-562700000.0,-171356000.0,-107341000.0,-236284000.0,-264069556.996057,893618894.784522,-152875619.387501,-301284561.396548,-487400111.860808,172582838.865196,-199869246.0,-98045374.0,-90202950.0,-24505208.0,0.0,0.0
,netCashUsedForInvestingActivites,-1060000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-4943000000.0,-640738417.420916,-281400137.26836,-433092593.036927,-2119178831.34912,-3041567358.36267,-1135755630.13765,-809191085.089342,-554130187.53141,-715442939.537295,-1177018220.50805,-3583299902.57321,-1425508811.98318,-753000366.4,-655999796.0,-249999640.8,-477799877.6,0.0,0.0,-1292390781.61854,0.0,0.0,0.0,0.0,0.0,0.0,-68273755.765052,-72293503.342997,-111559592.313409,0.0,0.0,0.0
,commonStockIssued,6000000.0,22403441.168563,20590253.946465,50387503.899033,54688485.9703,1803949008.3747,26752273.943285,26236571.018255,21160102.626498,7776553.690623,59848384.093629,1858272680.38283,8352590.695214,53000000.0,119178000.0,47103000.0,49578000.0,17224000.0,14494000.0,1081949000.0,547854381.04911,28309602.69186,16931302.348743,14051237.684322,238170637.531253,14075761.789975,3383262.198458,227710712.383883,3105074.84871,5528614.0,0.0,0.0
,commonStockRepurchased,-249000000.0,-954386593.780805,-905971173.644475,-3599107.42136,-4206806.6131,-3279907.287954,0.0,-8285232.953133,0.0,0.0,0.0,-2865493.724569,-533173706.044491,-45000000.0,-20721000.0,0.0,-406000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3695962.0,-302836470.115582,0.0,-6183849.0,0.0,0.0,0.0,0.0
