date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2010-05-31_FY,2009-05-31_FY,2008-05-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,700407000.0,-182178000.0,363740000.0,-196459000.0,-25652000.0,-2226000.0,-66453000.0,-104026000.0,-1153000.0,73609000.0,-5600000.0,62870000.0,26022000.0,25400000.0,20563000.0,11895000.0,9710000.0,3108000.0,-4979000.0,-15233000.0,-418931000.0,-57367000.0,-11300000.0,-7500000.0
,depreciationAndAmortization,212989000.0,229640000.0,192346000.0,218537000.0,172390000.0,161011000.0,174263000.0,178815000.0,150234000.0,132400000.0,50100000.0,36522000.0,22787000.0,16200000.0,21468000.0,16455000.0,6528000.0,4972000.0,4932000.0,5558000.0,68010000.0,28632000.0,2500000.0,1500000.0
,deferredIncomeTax,-3275000.0,-37970000.0,4144000.0,-55787000.0,-22621000.0,-2206000.0,-56000.0,-43880000.0,-12780000.0,33395000.0,-3800000.0,31562000.0,-1194000.0,2000000.0,9317000.0,6465000.0,0.0,0.0,0.0,0.0,-48544000.0,0.0,0.0,0.0
,stockBasedCompensation,34036000.0,38982000.0,34638000.0,38769000.0,42877000.0,34663000.0,39254000.0,37010000.0,39126000.0,40752000.0,18916000.0,14849000.0,5770000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-152248000.0,-430663000.0,83668000.0,40311000.0,-88133000.0,23978000.0,-21369000.0,-31666000.0,-115446000.0,25507000.0,-51676000.0,99212000.0,103649000.0,-81867000.0,-7183000.0,-31067000.0,78403000.0,17522000.0,-27334000.0,-1635000.0,614000.0,-8886000.0,-1500000.0,-800000.0
,accountsReceivables,35163000.0,-13273000.0,-109134000.0,-99431000.0,-17826000.0,3215000.0,-14644000.0,-7705000.0,26173000.0,-55912000.0,-5237000.0,-34583000.0,-30303000.0,33100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1757000.0,321000.0,-601000.0,231000.0,2300000.0,-931000.0,1291000.0,198000.0,877000.0,739000.0,2450000.0,-1539000.0,-1525000.0,-1400000.0,0.0
,accountsPayables,-66987000.0,27799000.0,-19159000.0,-18014000.0,40456000.0,-11953000.0,-1944000.0,23794000.0,3440000.0,-8546000.0,-10413000.0,13056000.0,-2924000.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,83493000.0,-369428000.0,61235000.0,-22433000.0,-62744000.0,25389000.0,1411000.0,22780000.0,54446000.0,169892000.0,144385000.0,196061000.0,96849000.0,-6800000.0,75067000.0,82250000.0,113317000.0,34914000.0,17392000.0,44726000.0,46361000.0,0.0,0.0,0.0
,otherNonCashItems,-838926000.0,9377000.0,-9079000.0,4005000.0,2579000.0,2919000.0,3951000.0,417000.0,2407000.0,3513000.0,26000000.0,7325000.0,16183000.0,4600000.0,6412000.0,5798000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,-106715000.0,46254000.0,67891000.0,279415000.0,269004000.0,211579000.0,103496000.0,80987000.0,222670000.0,268754000.0,75800000.0,139918000.0,36077000.0,7800000.0,30517000.0,27413000.0,16507000.0,12447000.0,5205000.0,-10770000.0,-33203000.0,-24979000.0,-12700000.0,-4200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61500000.0,0.0,0.0,-1200000.0,-21663000.0,-14780000.0,-1958000.0,-1623000.0,-685000.0,-1653000.0,-3637000.0,-9351000.0,-4400000.0,-800000.0
,acquisitionsNet,1710000000.0,-23000000.0,631000000.0,-170000000.0,-100000000.0,-9000000.0,-20000000.0,0.0,0.0,0.0,170000000.0,170000000.0,66000000.0,0.0,-80000000.0,-210000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-7097000.0,-7191000.0,-16934000.0,-5606000.0,-21185000.0,-215786000.0,-21544000.0,0.0,0.0,-12900000.0,-9000.0,-4008000.0,-2522000.0,0.0,-20480000.0,-29053000.0,-25907000.0,-112262000.0,-52162000.0,-35473000.0,-53635000.0,-61112000.0,-15000000.0,0.0
,salesMaturitiesOfInvestments,24967000.0,0.0,0.0,0.0,0.0,3763000.0,50000.0,12891000.0,94000.0,55000.0,1598000.0,7017000.0,8703000.0,0.0,44374000.0,74026000.0,51872000.0,38299000.0,61881000.0,31805000.0,53368000.0,33296000.0,0.0,0.0
,otherInvestingActivites,0.0,14000.0,54000.0,215000.0,0.0,-225200000.0,0.0,0.0,0.0,2225000.0,129403000.0,0.0,0.0,0.0,0.0,-500000.0,-4236000.0,-5512000.0,-18484000.0,-2572000.0,0.0,-1000000.0,-100000.0,0.0
,netCashUsedForInvestingActivites,1622852000.0,-161056000.0,469034000.0,-412972000.0,-1154006000.0,-288966000.0,-108688000.0,-252140000.0,-123037000.0,-95674000.0,112400000.0,-32007000.0,-262106000.0,-9200000.0,-89314000.0,-180131000.0,18008000.0,-81237000.0,-9450000.0,-7893000.0,-9209000.0,-47037000.0,-12000000.0,-800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1667361000.0,-237222000.0,-714304000.0,-154951000.0,-163522000.0,-239109000.0,-97331000.0,-610051000.0,-251696000.0,-171851000.0,-830000.0,-45505000.0,-60158000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
