Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12
Cash and cash equivalents,1809000.0,2000000.0,1873000.0,2000000.0,1611000.0,2000000.0,867000.0,1000000.0,0.0,000000.0
Short-term investments,0.0,,10967000.0,,0.0,,0.0,,0.0,
Cash and short-term investments,1809000.0,,12840000.0,,1611000.0,,867000.0,,0.0,
Receivables,119955000.0,122000000.0,59469000.0,61000000.0,57742000.0,59000000.0,39768000.0,116000000.0,27615000.0,30000000.0
Inventories,21609000.0,22000000.0,12805000.0,13000000.0,13793000.0,14000000.0,13045000.0,13000000.0,5148000.0,5000000.0
Total current assets,156538000.0,3821000000.0,93531000.0,2925000000.0,77223000.0,2485000000.0,132281000.0,2325000000.0,52347000.0,915000000.0
Property Plant & Equipment Net,2394337000.0,2394000000.0,2012263000.0,2012000000.0,2025018000.0,2025000000.0,1853081000.0,1853000000.0,594911000.0,595000000.0
Goodwill and Intangible Assets,502569000.0,503000000,436810000.0,437000000,439834000.0,440000000,447826000.0,448000000,304474000.0,304000000
Long-term investments,0.0,910000000.0,0.0,462000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0
Tax assets,0.0,,0.0,,0.0,,0.0,,0.0,
Total non-current assets,3820815000.0,2235000000.0,2925440000.0,1449000000.0,2484851000.0,1203000000.0,2324916000.0,1322000000.0,915451000.0,140000000.0
Total assets,3977353000.0,3977000000.0,3018971000.0,3019000000.0,2562074000.0,2562000000.0,2457197000.0,2457000000.0,967798000.0,968000000.0
Payables,98882000.0,101000000.0,24076000.0,25000000.0,22218000.0,24000000.0,62329000.0,66000000.0,54621000.0,58000000.0
Short-term debt,0.0,,0.0,,0.0,,0.0,,135000000.0,
Total current liabilities,258947000.0,259000000.0,131806000.0,132000000.0,88929000.0,89000000.0,96568000.0,97000000.0,84285000.0,84000000.0
Long-term debt,2146993000.0,2147000000.0,1407981000.0,1408000000.0,753000000.0,753000000.0,559000000.0,559000000.0,135000000.0,135000000.0
Total debt,2146993000.0,2147000000.0,1407981000.0,1408000000.0,753000000.0,753000000.0,559000000.0,559000000.0,270000000.0,135000000.0
Deferred revenue,88471000.0,88000000.0,60757000.0,61000000.0,26511000.0,27000000.0,5468000.0,5000000.0,0.0,000000.0
Tax Liabilities,19272000.0,,16328000.0,,13844000.0,,3989000.0,,4427000.0,
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,
Total non-current liabilities,2165958000.0,2235000000.0,1415044000.0,1449000000.0,758143000.0,1203000000.0,565478000.0,1322000000.0,139572000.0,140000000.0
Total liabilities,2493574000.0,2494000000.0,1580815000.0,1581000000.0,1292149000.0,1292000000.0,1418474000.0,1418000000.0,223857000.0,224000000.0
Other comprehensive income,1483779000,2109000000.0,1438156000,2070000000.0,1269925000,1619000000.0,1038723000,1074000000.0,743941000,730000000.0
Retained earnings (deficit),0.0,,0.0,,0.0,,0.0,,0.0,
Total shareholders equity,1483779000.0,1484000000.0,1438156000.0,1438000000.0,1269925000.0,1270000000.0,1038723000.0,1039000000.0,743941000.0,744000000.0
Investments,0.0,910000000.0,10967000.0,462000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0
Net Debt,2145184000.0,2145000000,1406108000.0,1406000000,751389000.0,751000000,558133000.0,558000000,270000000.0,135000000
Other Assets,0.0,14000000,0.0,25000000,0.0,20000000,0.0,24000000,0.0,16000000
Other Liabilities,68669000.0,34000000,33965000.0,20000000,445077000.0,20000000,756428000.0,18000000,0.0,12000000
