Date,2019-10-31,2018-10-31,2017-10-31,2016-10-31,2015-10-31,2014-10-31,2013-10-31,2013-01-31,2012-10-31,2011-10-31,2010-10-31,2009-10-31
Cash and cash equivalents,13101000.0,16843000.0,8736000.0,8696000.0,13100000.0,12014000.0,398000.0,140000.0,174000.0,20000.0,34000.0,127000.0
Short-term investments,53660000.0,50834000.0,194000.0,174000.0,356000.0,1045000.0,122761000.0,0.0,23432000.0,0.0,0.0,0.0
Cash and short-term investments,66761000.0,67677000.0,8930000.0,8870000.0,13456000.0,13059000.0,398000.0,140000.0,23606000.0,20000.0,34000.0,127000.0
Receivables,1477000.0,996000.0,759000.0,1235000.0,1092000.0,533000.0,673000.0,2202000.0,536000.0,434000.0,73060000.0,66303000.0
Inventories,63547000.0,71412000.0,61812000.0,60547000.0,58179000.0,91303000.0,42924000.0,47592000.0,44687000.0,33976000.0,20919000.0,23538000.0
Total current assets,275999000.0,332977000.0,294521000.0,293153000.0,322003000.0,293762000.0,166779000.0,134464000.0,127839000.0,116703000.0,100395000.0,152615000.0
Property Plant & Equipment Net,328026000.0,316176000.0,266891000.0,265837000.0,280260000.0,274828000.0,197874000.0,153503000.0,117101000.0,121467000.0,125093000.0,151798000.0
Goodwill and Intangible Assets,35420000.0,42315000.0,42884000.0,44769000.0,48386000.0,52885000.0,24373000.0,18632000.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,1300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,5169000.0,1391000.0,338000.0,1653000.0,3799000.0,2605000.0,0.0,4539000.0,3294000.0,918000.0,5226000.0,8670000.0
Total non-current assets,375692000.0,376698000.0,324062000.0,333276000.0,344586000.0,335763000.0,225174000.0,177774000.0,121263000.0,123971000.0,127252000.0,82110000.0
Total assets,651691000.0,709675000.0,618583000.0,626429000.0,666589000.0,629525000.0,391953000.0,312238000.0,249102000.0,240674000.0,227647000.0,252431000.0
Payables,155754000.0,177400000.0,166059000.0,158514000.0,160405000.0,146478000.0,87977000.0,55085000.0,63633000.0,57214000.0,54172000.0,60301000.0
Short-term debt,1975000.0,1327000.0,2027000.0,2023000.0,2080000.0,1918000.0,882000.0,224000.0,447000.0,428000.0,721000.0,880000.0
Total current liabilities,208138000.0,243632000.0,215885000.0,203047000.0,196944000.0,189732000.0,116941000.0,76122000.0,85475000.0,81375000.0,72545000.0,74829000.0
Long-term debt,248695000.0,245351000.0,181065000.0,256922000.0,298873000.0,268102000.0,119384000.0,95700000.0,21150000.0,25700000.0,26900000.0,51620000.0
Total debt,250670000.0,246678000.0,183092000.0,258945000.0,300953000.0,270020000.0,120266000.0,95924000.0,21597000.0,26128000.0,27621000.0,52500000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,316000.0,1874000.0,1628000.0,1686000.0,633000.0,0.0,1666000.0,0.0,1247000.0,0.0,0.0,1093000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,249493000.0,248245000.0,190231000.0,261656000.0,305053000.0,270841000.0,121244000.0,95700000.0,26597000.0,25700000.0,52923000.0,82110000.0
Total liabilities,484177000.0,510153000.0,430262000.0,493639000.0,525674000.0,485006000.0,260804000.0,206079000.0,141699000.0,133022000.0,125468000.0,156939000.0
Other comprehensive income,116436000,114405000,112351000,70403000,69334000,68035000,66312000,65539000,65120000,63950000,-22784000.0,-24636000.0
Retained earnings (deficit),115866000.0,135813000.0,117976000.0,118673000.0,121457000.0,113193000.0,90749000.0,71762000.0,73425000.0,68321000.0,62480000.0,58619000.0
Total shareholders equity,167514000.0,199522000.0,188321000.0,132790000.0,140915000.0,144519000.0,131149000.0,106159000.0,107403000.0,107652000.0,102179000.0,95492000.0
Investments,53660000.0,50834000.0,194000.0,1474000.0,356000.0,1045000.0,122761000.0,0.0,23432000.0,0.0,0.0,0.0
Net Debt,237569000.0,229835000.0,174356000.0,250249000.0,287853000.0,258006000.0,119868000.0,95784000.0,21423000.0,26108000.0,27587000.0,52373000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6382000.0,9848000.0
Other Liabilities,26546000.0,18276000.0,24146000.0,28936000.0,23677000.0,24433000.0,22619000.0,34257000.0,29627000.0,25947000.0,17652000.0,13648000.0
