date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,22579000.0,7775000.0,-39164000.0,34818000.0,27104000.0,66063000.0,65352000.0,32718000.0,55155000.0,24927000.0
,depreciationAndAmortization,114925000.0,108250000.0,96725000.0,53089000.0,37284000.0,22633000.0,19880000.0,15517000.0,12899000.0,11229000.0
,deferredIncomeTax,12167000.0,-3276000.0,-12495000.0,-6665000.0,-1613000.0,6483000.0,1882000.0,-333000.0,1395000.0,842000.0
,stockBasedCompensation,30532000.0,20230000.0,16162000.0,17318000.0,10054000.0,7415000.0,2894000.0,1842000.0,2560000.0,3767000.0
,changeInWorkingCapital,31921000.0,-3940000.0,-335811000.0,-135092000.0,-174757000.0,608260000.0,37655000.0,-6371000.0,133406000.0,4319000.0
,accountsReceivables,-16002000.0,-35109000.0,3280000.0,-977000.0,4683000.0,-24475000.0,-10539000.0,29502000.0,-26179000.0,-5813000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,14733000.0,0.0,0.0,8252000.0,-3463000.0,4474000.0,2120000.0,-1468000.0,5758000.0,-2637000.0
,otherWorkingCapital,158798000.0,126877000.0,130817000.0,466628000.0,601720000.0,776477000.0,168217000.0,130562000.0,136933000.0,3527000.0
,otherNonCashItems,8136000.0,1287000.0,17757000.0,-5200000.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,146359000.0,106480000.0,90401000.0,97706000.0,92830000.0,67554000.0,85528000.0,66015000.0,53705000.0,46184000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-22709000.0,-22809000.0,-25505000.0,-32565000.0,-19360000.0,-6486000.0,-7518000.0,-9202000.0,-5503000.0,-7091000.0
,acquisitionsNet,0.0,0.0,-1083000000.0,-3000000.0,-89000000.0,-115000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,-164737000.0,-964037000.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,6964000.0,258360000.0,175591000.0,332073000.0,344653000.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,-7875000.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-86610000.0,-51975000.0,-889354000.0,106559000.0,39799000.0,-768320000.0,-22619000.0,-18863000.0,-15084000.0,-12859000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-112281000.0,-62193000.0,-239901000.0,-30113000.0,-15116000.0,-18862000.0,-130000.0,-115000.0,-178000.0,-157000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,644254000.0,0.0,52114000.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,-93586000.0,-106231000.0,0.0,-309083000.0,-72114000.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,-2852000.0,-23511000.0,-46963000.0,-18604000.0
,otherFinancingActivites,-15880000.0,-18478000.0,-21632000.0,-4272000.0,-3798000.0,12181000.0,409000.0,437000.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-28963000.0,-77002000.0,705600000.0,-123004000.0,-118980000.0,652233000.0,-10936000.0,-42919000.0,-47132000.0,-18641000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,30786000.0,-22497000.0,-93353000.0,81261000.0,13649000.0,-48533000.0,51973000.0,4233000.0,-8511000.0,14684000.0
,cashAtEndOfPeriod,123880000.0,93094000.0,115591000.0,208944000.0,127683000.0,114034000.0,162567000.0,110594000.0,106361000.0,114872000.0
,cashAtBeginningOfPeriod,93094000.0,115591000.0,208944000.0,127683000.0,114034000.0,162567000.0,110594000.0,106361000.0,114872000.0,100188000.0
,operatingCashFlow,146359000.0,106480000.0,90401000.0,97706000.0,92830000.0,67554000.0,85528000.0,66015000.0,53705000.0,46184000.0
,capitalExpenditure,-86610000.0,-58939000.0,-64974000.0,-65542000.0,-39028000.0,-26437000.0,-22682000.0,-18866000.0,-15084000.0,-12869000.0
,freeCashFlow,59749000.0,47541000.0,25427000.0,32164000.0,53802000.0,41117000.0,62846000.0,47149000.0,38621000.0,33315000.0
