Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,5358000.0,12689000.0,21352000.0,13840000.0,13509000.0,13295000.0,0.0,0.0,158000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,5358000.0,12689000.0,21352000.0,13840000.0,13509000.0,13295000.0,0.0,0.0,158000.0
Receivables,274000.0,95000.0,74000.0,0.0,0.0,0.0,0.0,0.0,413000.0
Inventories,141000.0,191000.0,135000.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,6218000.0,13315000.0,21917000.0,13840000.0,13509000.0,13295000.0,0.0,0.0,639000.0
Property Plant & Equipment Net,145000.0,169000.0,111000.0,0.0,0.0,0.0,0.0,0.0,0.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,199000.0,223000.0,165000.0,36000.0,36000.0,33000.0,0.0,0.0,4796000.0
Total assets,6417000.0,13538000.0,22082000.0,13876000.0,13545000.0,13328000.0,0.0,0.0,5435000.0
Payables,1020000.0,902000.0,525000.0,10000.0,1000.0,18000.0,0.0,0.0,1656000.0
Short-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0
Total current liabilities,2548000.0,2332000.0,1444000.0,10000.0,1000.0,18000.0,0.0,0.0,2156000.0
Long-term debt,77000.0,81000.0,56000.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,77000.0,81000.0,56000.0,0.0,0.0,0.0,0.0,0.0,500000.0
Deferred revenue,112000.0,167000.0,71000.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,891000.0,725000.0,608000.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,61000.0,66000.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,154000.0,162000.0,112000.0,0.0,0.0,0.0,0.0,0.0,0.0
Total liabilities,2625000.0,2413000.0,1500000.0,10000.0,1000.0,18000.0,0.0,0.0,2156000.0
Other comprehensive income,90110000,83537000,80266000,25768000,25768000,25787000,0.0,0.0,0.0
Retained earnings (deficit),-86361000.0,-72450000.0,-60142000.0,-12132000.0,-12454000.0,-12707000.0,0.0,0.0,-22674000.0
Total shareholders equity,3792000.0,11125000.0,20582000.0,13866000.0,13544000.0,13310000.0,0.0,0.0,3279000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,-5281000.0,-12608000.0,-21296000.0,-13840000.0,-13509000.0,-13295000.0,0.0,0.0,342000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68000.0
Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
