date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,80060000.0,117305000.0,106732000.0,144492000.0,168401000.0,-2803000.0
,depreciationAndAmortization,141193000.0,131144000.0,97733000.0,95815000.0,72197000.0,71774000.0
,deferredIncomeTax,419000.0,-27852000.0,16387000.0,44383000.0,-1141000.0,-11281000.0
,stockBasedCompensation,130759000.0,258836000.0,224644000.0,10000000.0,0.0,0.0
,changeInWorkingCapital,-162020000.0,-64272000.0,-45900000.0,2026000.0,-53912000.0,-75201000.0
,accountsReceivables,123743000.0,-52021000.0,-129490000.0,-57175000.0,9462000.0,-17311000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-82415000.0,90712000.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-64177000.0,28143000.0,92415000.0,44333000.0,27566000.0,-13182000.0
,otherNonCashItems,-926337000.0,720969000.0,-683661000.0,670694000.0,-703048000.0,476286000.0
,netCashProvidedByOperatingActivites,-777694000.0,986760000.0,-332367000.0,852217000.0,-646338000.0,387151000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-19626000.0,-34526000.0,-21016000.0,-19069000.0,-27260000.0,-12133000.0
,acquisitionsNet,0.0,-34000000.0,-35000000.0,0.0,0.0,0.0
,purchasesOfInvestments,-12754000.0,-28000000.0,-29500000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,34738000.0,32606000.0,95878000.0,18710000.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-3602000.0,-56788000.0,7742000.0,379000.0,-34418000.0,-18737000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-11797677000.0,-9650964000.0,-9538733000.0,-10188133000.0,-8980148000.0,-6293249000.0
,commonStockIssued,0.0,0.0,504129000.0,0.0,0.0,0.0
,commonStockRepurchased,-6364000.0,-37368000.0,-486000.0,0.0,0.0,0.0
,dividendsPaid,-23171000.0,-69245000.0,-41787000.0,0.0,0.0,0.0
,otherFinancingActivites,-94196000.0,-76154000.0,396467000.0,-153750000.0,-13073000.0,-10658000.0
,netCashUsedProvidedByFinancingActivities,817823000.0,-895506000.0,336657000.0,-798196000.0,635953000.0,-351116000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,36527000.0,34466000.0,12032000.0,54400000.0,-44803000.0,17298000.0
,cashAtEndOfPeriod,258399000.0,221872000.0,185406000.0,121027000.0,66627000.0,111430000.0
,cashAtBeginningOfPeriod,221872000.0,187406000.0,173374000.0,66627000.0,111430000.0,94132000.0
,operatingCashFlow,-777694000.0,986760000.0,-332367000.0,852217000.0,-646338000.0,387151000.0
,capitalExpenditure,-19826000.0,-36015000.0,-24123000.0,-21124000.0,-34936000.0,-21392000.0
,freeCashFlow,-797520000.0,950745000.0,-356490000.0,831093000.0,-681274000.0,365759000.0
