date,,2020-12-25_FY,2019-12-27_FY,2018-12-28_FY,2017-12-29_FY,2016-12-30_FY,2015-12-25_FY,2014-12-26_FY,2013-12-27_FY,2012-12-28_FY,2011-12-30_FY,2010-12-31_FY,2009-12-25_FY,2008-12-26_FY,2007-12-28_FY,2006-12-29_FY,2005-12-30_FY,2004-12-31_FY,2003-12-26_FY,2002-12-27_FY,2001-12-28_FY,2000-12-29_FY,1999-12-31_FY,1998-12-25_FY,1997-12-26_FY,1996-12-27_FY,1995-12-29_FY,1994-12-30_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY,1984-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,374651000.0,343853000.0,341054000.0,252412000.0,40674000.0,345713000.0,225600000.0,210800000.0,149100000.0,142300000.0,102840000.0,49000000.0,120900000.0,152800000.0,149800000.0,125900000.0,108681000.0,86700000.0,75600000.0,65300000.0,70100000.0,59300000.0,47300000.0,44700000.0,36200000.0,27700000.0,15300000.0,9500000.0,5300000.0,8900000.0,17700000.0,14500000.0,13300000.0,12800000.0,14300000.0,10800000.0,7100000.0
,depreciationAndAmortization,55329000.0,48911000.0,47754000.0,45583000.0,48290000.0,44607000.0,35500000.0,37300000.0,38800000.0,32500000.0,33973000.0,35100000.0,35500000.0,28700000.0,26000000.0,23500000.0,17808000.0,18700000.0,18100000.0,18500000.0,15500000.0,14700000.0,13700000.0,13500000.0,12700000.0,11100000.0,10400000.0,9300000.0,8600000.0,9100000.0,8900000.0,7400000.0,7400000.0,7200000.0,6400000.0,5900000.0,5100000.0
,deferredIncomeTax,10747000.0,-6411000.0,15405000.0,34446000.0,-35561000.0,-11585000.0,300000.0,-1700000.0,-10800000.0,-1800000.0,-4248000.0,-100000.0,-200000.0,-1600000.0,-6600000.0,1300000.0,1403000.0,4700000.0,300000.0,800000.0,1600000.0,1200000.0,-600000.0,-400000.0,800000.0,1900000.0,-4000000.0,800000.0,-6000000.0,300000.0,-3200000.0,-2600000.0,-5500000.0,100000.0,800000.0,2700000.0,-1000000.0
,stockBasedCompensation,25153000.0,26669000.0,25565000.0,23652000.0,21134000.0,19224000.0,17249000.0,16545000.0,12409000.0,10994000.0,10024000.0,9369000.0,9051000.0,8583000.0,8392000.0,396000.0,0.0,-17394000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,196266000.0,82733000.0,25913000.0,72123000.0,10976000.0,-370599000.0,61300000.0,-1600000.0,173600000.0,319046000.0,47454000.0,-54200000.0,16500000.0,12800000.0,7800000.0,-28153000.0,62253000.0,-92100000.0,78100000.0,20300000.0,2200000.0,11400000.0,-39000000.0,23400000.0,7000000.0,2500000.0,6700000.0,-37100000.0,10000000.0,7500000.0,4700000.0,4900000.0,3100000.0,-12300000.0,10500000.0,13100000.0,-5400000.0
,accountsReceivables,-43122000.0,8934000.0,-12402000.0,-28010000.0,4506000.0,-18276000.0,-26557000.0,-11880000.0,-2752000.0,-26767000.0,-23285000.0,28420000.0,14965000.0,-1844000.0,-3584000.0,-9101000.0,0.0,563000.0,-8200000.0,400000.0,-6100000.0,0.0,6000000.0,-2600000.0,-10300000.0,2400000.0,-13400000.0,0.0,0.0,0.0,0.0,0.0,-5000000.0,-4900000.0,-3800000.0,-9600000.0,-8100000.0
,inventory,-13086000.0,12435000.0,-30719000.0,-32011000.0,-693000.0,-34109000.0,-15079000.0,-10186000.0,5941000.0,-13440000.0,-32997000.0,32663000.0,-9937000.0,2045000.0,-15587000.0,4524000.0,-11031000.0,4694000.0,0.0,2800000.0,4600000.0,3300000.0,9900000.0,-2400000.0,200000.0,8800000.0,-14800000.0,14900000.0,-2900000.0,5900000.0,-1900000.0,-800000.0,-11500000.0,3000000.0,-10600000.0,1500000.0,-11500000.0
,accountsPayables,6820000.0,-539000.0,-1976000.0,4588000.0,553000.0,4305000.0,450000.0,2436000.0,-952000.0,5974000.0,1670000.0,-701000.0,-6806000.0,-2314000.0,-74000.0,701000.0,0.0,1231000.0,-2300000.0,2200000.0,600000.0,0.0,500000.0,1400000.0,-100000.0,6000000.0,-3100000.0,0.0,0.0,0.0,0.0,0.0,-6000000.0,-2200000.0,-2600000.0,-100000.0,-3400000.0
,otherWorkingCapital,702412000.0,506146000.0,423413000.0,397500000.0,325377000.0,314401000.0,685000000.0,623700000.0,625300000.0,451700000.0,132654000.0,85200000.0,139400000.0,122900000.0,110100000.0,102300000.0,130453000.0,68200000.0,160300000.0,82200000.0,61900000.0,59700000.0,48300000.0,87300000.0,63900000.0,56900000.0,54400000.0,47700000.0,84800000.0,74800000.0,67300000.0,62600000.0,57700000.0,54600000.0,66900000.0,56400000.0,43300000.0
,otherNonCashItems,0.0,26669000.0,25565000.0,23652000.0,213154000.0,-130670000.0,10600000.0,8200000.0,8200000.0,8800000.0,0.0,9000000.0,6200000.0,4100000.0,5500000.0,2500000.0,0.0,3700000.0,4600000.0,3800000.0,-1600000.0,800000.0,-100000.0,200000.0,0.0,0.0,0.0,-4500000.0,-7600000.0,0.0,0.0,0.0,0.0,1300000.0,900000.0,1100000.0,0.0
,netCashProvidedByOperatingActivites,394035000.0,418734000.0,367985000.0,337864000.0,276006000.0,191414000.0,241300000.0,243100000.0,189700000.0,162000000.0,101123000.0,146500000.0,162500000.0,177100000.0,155600000.0,153200000.0,122908000.0,109800000.0,95700000.0,89200000.0,79600000.0,75800000.0,77100000.0,36300000.0,48600000.0,51700000.0,8600000.0,23100000.0,26100000.0,29400000.0,23500000.0,23100000.0,12500000.0,19400000.0,12100000.0,19100000.0,5800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-71338000.0,-127953000.0,-53854000.0,-40194000.0,-42113000.0,-41749000.0,-30636000.0,-23319000.0,-18234000.0,-23854000.0,-17527000.0,-11463000.0,-29102000.0,-36869000.0,-33652000.0,-19904000.0,-16893000.0,-15515000.0,-12300000.0,-30200000.0,-14500000.0,-27500000.0,-12000000.0,-20100000.0,-30000000.0,-19800000.0,-23100000.0,-16200000.0,-10200000.0,-8400000.0,-12100000.0,-12300000.0,-9700000.0,-8000000.0,-5600000.0,-6900000.0,-12900000.0
