Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Cash and cash equivalents,290896000.0,154938000.0,123439000.0,107248000.0,268165000.0,11038000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,290896000.0,154938000.0,123439000.0,107248000.0,268165000.0,11038000.0
Receivables,14207000.0,19665000.0,12658000.0,3636000.0,1837000.0,608000.0
Inventories,13257000.0,22597000.0,11285000.0,631000.0,774000.0,0.0
Total current assets,278256000.0,184763000.0,167212000.0,113558000.0,281066000.0,12584000.0
Property, Plant & Equipment Net,1949604000.0,1688610000.0,1481554000.0,1150325000.0,601191000.0,191698000.0
Goodwill and Intangible Assets,0.0,0.0,1420000.0,38632000.0,55088000.0,56909000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,505883000.0,419474000.0,277496000.0,111910000.0,30738000.0
Total non-current assets,2048999000.0,2279166000.0,1959144000.0,1495512000.0,783258000.0,285123000.0
Total assets,2327255000.0,2463929000.0,2126356000.0,1609070000.0,1064324000.0,297707000.0
Payables,53775000.0,57336000.0,62997000.0,63238000.0,60266000.0,30000000.0
Short-term debt,14076000.0,17751000.0,11415000.0,5489000.0,3502000.0,1275000.0
Total current liabilities,166430000.0,167600000.0,133690000.0,116470000.0,94892000.0,57141000.0
Long-term debt,1203787000.0,927563000.0,756204000.0,425905000.0,111176000.0,43898000.0
Total debt,1217863000.0,945314000.0,767619000.0,431394000.0,114678000.0,45173000.0
Deferred revenue,43723000.0,71046000.0,54290000.0,48272000.0,4780000.0,1340000.0
Tax Liabilities,437120000.0,342382000.0,395218000.0,216033000.0,112227000.0,41510000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1679041000.0,1312819000.0,1196156000.0,713807000.0,227869000.0,86680000.0
Total liabilities,1845471000.0,1480419000.0,1329846000.0,830277000.0,322761000.0,143821000.0
Other comprehensive income,-7223000.0,6905000.0,7631000.0,0.0,0.0,0.0
Retained earnings (deficit),-279631000.0,213107000.0,5217000.0,-12769000.0,-25849000.0,3034000.0
Total shareholders equity,288595000.0,780951000.0,556298000.0,518943000.0,477989000.0,78833000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,926967000.0,790376000.0,644180000.0,324146000.0,-153487000.0,34135000.0
Other Assets,-40104000.0,-12437000.0,19830000.0,2043000.0,10290000.0,938000.0
Other Liabilities,98579000.0,92513000.0,59278000.0,47743000.0,31124000.0,25866000.0
