date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2008-03-31_FY,2007-12-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY,2004-03-31_FY,2003-03-31_FY,2002-03-31_FY,2001-03-31_FY,2000-03-31_FY,1999-03-31_FY,1998-03-31_FY,1997-03-31_FY,1996-03-31_FY,1995-03-31_FY,1994-03-31_FY,1993-03-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,2197000000.0,1503000000.0,1813000000.0,273000000.0,966000000.0,892000000.0,835000000.0,1010000000.0,1149000000.0,1085000000.0,418000000.0,113000000.0,-107000000.0,344883000.0,227000000.0,85787000.0,41899000.0,138335000.0,77715000.0,66180000.0,52238000.0,20507000.0,-34088000.0,15254000.0,5827000.0,7107000.0,5530000.0,-1520000.0,-2000000.0,-1400000.0
,depreciationAndAmortization,446000000.0,553000000.0,998000000.0,1199000000.0,1150000000.0,494000000.0,346000000.0,315000000.0,328000000.0,435000000.0,517000000.0,628000000.0,561000000.0,243547000.0,72800000.0,147133000.0,188703000.0,145501000.0,98696000.0,112295000.0,68673000.0,75193000.0,124580000.0,33543000.0,5212000.0,3335000.0,2646000.0,1942000.0,1700000.0,1700000.0
,deferredIncomeTax,-94000000.0,-352000000.0,20000000.0,-181000000.0,-9000000.0,-27000000.0,-44000000.0,161000000.0,-10000000.0,75000000.0,-278000000.0,-256000000.0,-432000000.0,24550000.0,-77500000.0,-44092000.0,-28677000.0,878000.0,15147000.0,3355000.0,-23352000.0,-6597000.0,-4311000.0,3344000.0,-1563000.0,3165000.0,-1500000.0,0.0,0.0,0.0
,stockBasedCompensation,218000000.0,166000000.0,209000000.0,176000000.0,147000000.0,92000000.0,104000000.0,108000000.0,126000000.0,103000000.0,131000000.0,156000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-639000000.0,913000000.0,607000000.0,683000000.0,1398000000.0,-3419000000.0,359000000.0,214000000.0,798000000.0,346000000.0,-344000000.0,-353000000.0,1751676000.0,1592324000.0,-1229064000.0,136172000.0,8479000.0,239617000.0,253296000.0,89301000.0,150219000.0,22831000.0,18835000.0,20777000.0,67599000.0,12711000.0,-421000.0,-552000.0,36000000.0,-600000.0
,accountsReceivables,-194000000.0,182000000.0,-114000000.0,-165000000.0,84000000.0,-40000000.0,-177000000.0,198000000.0,-46000000.0,13000000.0,76000000.0,235000000.0,0.0,0.0,-16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,7000000.0,-5000000.0,-26000000.0,32000000.0,-54000000.0,-2000000.0,6000000.0,-62000000.0,-34000000.0,124000000.0,21000000.0,-20000000.0,-55643000.0,70000000.0,-26124000.0,-13465000.0,-21591000.0,-6850000.0,1159000.0,23152000.0,-5283000.0,-7342000.0,-11506000.0,-6637000.0,-1545000.0,-1003000.0,551000.0,-1600000.0,600000.0
,accountsPayables,-10000000.0,31000000.0,-65000000.0,85000000.0,-50000000.0,-25000000.0,-12000000.0,7000000.0,-54000000.0,31000000.0,70000000.0,-18000000.0,0.0,0.0,88000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,216000000.0,4377000000.0,3464000000.0,2857000000.0,2174000000.0,776000000.0,4195000000.0,3836000000.0,3622000000.0,2824000000.0,2478000000.0,2822000000.0,3175000000.0,1423324000.0,-169000000.0,1060064000.0,923892000.0,915413000.0,675796000.0,422500000.0,333199000.0,182980000.0,160149000.0,141314000.0,120537000.0,52938000.0,40227000.0,40648000.0,41200000.0,5200000.0
,otherNonCashItems,124000000.0,115000000.0,7000000.0,52000000.0,54000000.0,7000000.0,7000000.0,1000000.0,0.0,0.0,0.0,0.0,97000000.0,53749000.0,1100000.0,2326000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-176000.0,-11000.0,100000.0,-700000.0
,netCashProvidedByOperatingActivites,2252000000.0,1831000000.0,1790000000.0,2213000000.0,2155000000.0,1192000000.0,1292000000.0,1264000000.0,1345000000.0,952000000.0,1376000000.0,1183000000.0,379000000.0,573500000.0,432200000.0,27162000.0,86007000.0,215309000.0,67403000.0,90975000.0,111792000.0,81565000.0,77389000.0,18078000.0,-1388000.0,-6327000.0,-3786000.0,-1220000.0,-3100000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46000000.0,-29400000.0,-68300000.0,-17935000.0,-30406000.0,-14941000.0,-11976000.0,-11877000.0,-9150000.0,-9780000.0,-4518000.0,-3800000.0,-200000.0,-3832000.0,-3045000.0,-1300000.0,-900000.0,-300000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,-4586000000.0,-46000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1120000000.0,1120000000.0,-31000000.0,-31000000.0,-26000000.0,-21000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-221000000.0,-65000000.0,-209000000.0,-135000000.0,0.0,-145000000.0,0.0,-26000000.0,-503000000.0,-417000000.0,-800000000.0,-425000000.0,0.0,-556643000.0,0.0,-479533000.0,-242568000.0,-868723000.0,-195587000.0,-408175000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,121000000.0,153000000.0,116000000.0,80000000.0,0.0,145000000.0,21000000.0,402000000.0,454000000.0,750000000.0,580000000.0,46000000.0,0.0,984938000.0,0.0,492771000.0,201568000.0,761150000.0,195874000.0,287145000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,6000000.0,-6000000.0,13000000.0,3547000000.0,-3559000000.0,2000000.0,6000000.0,-2000000.0,5000000.0,5000000.0,5000000.0,27000000.0,-4050000.0,0.0,0.0,-7500000.0,0.0,0.0,-995000.0,-190000.0,0.0,-74506000.0,-60531000.0,-9000000.0,0.0,0.0,1544000.0,-1500000.0,600000.0
