Date,2018-12,2017-12,2016-12,2015-12,2014-12
Cash and cash equivalents,5692000000.0,5192000000.0,3736000000.0,2599000000.0,6529000000.0
Short-term investments,2209000000.0,2154000000.0,2954000000.0,2971000000.0,2932000000.0
Cash and short-term investments,2209000000.0,2154000000.0,2954000000.0,2971000000.0,2932000000.0
Receivables,8009000000.0,7876000000.0,3003000000.0,2632000000.0,2529000000.0
Inventories,1692000000.0,1117000000.0,1055000000.0,1360000000.0,934000000.0
Total current assets,90707000000.0,95135000000.0,103667000000.0,91398000000.0,99435000000.0
Property Plant & Equipment Net,33295000000.0,34225000000.0,36393000000.0,30549000000.0,33343000000.0
Goodwill and Intangible Assets,42604000000,44846000000,49204000000,40307000000,47464000000
Long-term investments,1691000000.0,8244000000.0,9841000000.0,10082000000.0,11761000000.0
Tax assets,7631000000.0,7820000000.0,8229000000.0,10460000000.0,6867000000.0
Total non-current assets,66451000000.0,69080000000.0,70033000000.0,70214000000.0,71485000000.0
Total assets,114047000000.0,115066000000.0,123641000000.0,122974000000.0,122299000000.0
Payables,8457000000.0,7943000000.0,8043000000.0,7187000000.0,8770000000.0
Short-term debt,9138000000.0,9134000000.0,13977000000.0,12625000000.0,8693000000.0
Total current liabilities,29649000000.0,29066000000.0,35451000000.0,34869000000.0,29699000000.0
Long-term debt,43047000000.0,43460000000.0,42865000000.0,44110000000.0,47457000000.0
Total debt,43047000000.0,43460000000.0,42865000000.0,44110000000.0,47457000000.0
Deferred revenue,896000000.0,774000000.0,903000000.0,919000000.0,877000000.0
Tax Liabilities,2674000000.0,2145000000.0,2395000000.0,2313000000.0,2566000000.0
Deposit Liabilities,,,,,
Total non-current liabilities,66451000000.0,69080000000.0,70033000000.0,70214000000.0,71485000000.0
Total liabilities,96100000000.0,98146000000.0,105484000000.0,105083000000.0,101184000000.0
Other comprehensive income,-7580000000.0,-11718000000.0,-6897000000.0,-10012000000.0,-5702000000.0
Retained earnings (deficit),14885000000.0,18225000000.0,17093000000.0,20604000000.0,22636000000.0
Total shareholders equity,17947000000.0,16920000000.0,18157000000.0,17891000000.0,21115000000.0
Investments,1691000000.0,8244000000.0,9841000000.0,10082000000.0,11761000000.0
Net Debt,46493000000,47402000000,53106000000,54136000000,49621000000
Other Assets,9971000000,2226000000,7825000000,21524000000,8861000000
Other Liabilities,18802000000,20234000000,22237000000,24705000000,19308000000
