date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,555000.0,-22450000.0,128416000.0,324964000.0,73286000.0,55257000.0,31655000.0,219767000.0,242096000.0,213818000.0
,depreciationAndAmortization,151462000.0,153275000.0,148416000.0,96963000.0,88274000.0,89189000.0,85607000.0,74386000.0,60909000.0,56128000.0
,deferredIncomeTax,2040000.0,-25552000.0,20637000.0,30280000.0,45199000.0,-9757000.0,-33672000.0,-31161000.0,-827000.0,-2694000.0
,stockBasedCompensation,6599000.0,6531000.0,13007000.0,8986000.0,7217000.0,9992000.0,8738000.0,6230000.0,8227000.0,7954000.0
,changeInWorkingCapital,-50911000.0,-57993000.0,6708000.0,-53563000.0,196220000.0,7763000.0,-6715000.0,-21336000.0,-12920000.0,-30514000.0
,accountsReceivables,4539000.0,0.0,-40738000.0,-4699000.0,31266000.0,696000.0,1710000.0,6380000.0,5979000.0,0.0
,inventory,19962000.0,52347000.0,-22861000.0,3033000.0,7041000.0,14800000.0,-11503000.0,-11715000.0,-12118000.0,-6690000.0
,accountsPayables,-6055000.0,-26025000.0,34610000.0,16215000.0,-2048000.0,-19789000.0,-4365000.0,-2763000.0,-9019000.0,9185000.0
,otherWorkingCapital,-25448000.0,287681000.0,345674000.0,338966000.0,392529000.0,196309000.0,188546000.0,-12161000.0,1502000.0,-19289000.0
,otherNonCashItems,-6899000.0,15344000.0,156000.0,-3465000.0,-5984000.0,3169000.0,83719000.0,-636000.0,-1725000.0,566000.0
,netCashProvidedByOperatingActivites,124470000.0,41904000.0,246944000.0,129772000.0,232225000.0,201658000.0,187752000.0,258038000.0,305213000.0,257732000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,-14220000.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,-210000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-4426000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,7780000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,3764000.0,1000000.0,16243000.0,8000000.0,2143000.0,0.0,-1450000.0,-13516000.0,1513000.0,8526000.0
,netCashUsedForInvestingActivites,-77821000.0,-102807000.0,-115966000.0,-277426000.0,-86560000.0,-77424000.0,-90461000.0,-250667000.0,-305252000.0,-130894000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-529203000.0,-200331000.0,-45270000.0,-729958000.0,-71031000.0,-77100000.0,-79200000.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,451000.0,14000.0,0.0,8000.0,649000.0,0.0,0.0,0.0
,commonStockRepurchased,-457000.0,-6878000.0,-42780000.0,0.0,0.0,0.0,-92000.0,0.0,0.0,0.0
,dividendsPaid,0.0,-18919000.0,-28858000.0,-26493000.0,-15481000.0,-11816000.0,-5926000.0,0.0,0.0,0.0
,otherFinancingActivites,-23817000.0,-3514000.0,1000000.0,-7182000.0,-410000.0,0.0,-971745000.0,-7371000.0,39000.0,-126838000.0
,netCashUsedProvidedByFinancingActivities,-19390000.0,-138484000.0,-116457000.0,-83619000.0,79687000.0,-88908000.0,-31314000.0,-7371000.0,39000.0,-126838000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,2369000.0,-863000.0,-1790000.0,853000.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,29628000.0,-44941000.0,12731000.0,-230420000.0,225352000.0,35326000.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,93653000.0,64025000.0,108966000.0,96235000.0,326655000.0,101303000.0,65977000.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,64025000.0,108966000.0,96235000.0,326655000.0,101303000.0,65977000.0,0.0,0.0,0.0,0.0
,operatingCashFlow,124470000.0,41904000.0,246944000.0,129772000.0,232225000.0,201658000.0,187752000.0,258038000.0,305213000.0,257732000.0
,capitalExpenditure,-77159000.0,-102807000.0,-132209000.0,-75042000.0,-88703000.0,-77424000.0,-89011000.0,-96008000.0,-105406000.0,-96526000.0
,freeCashFlow,47311000.0,-60903000.0,114735000.0,54730000.0,143522000.0,124234000.0,98741000.0,162030000.0,199807000.0,161206000.0
