date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY
,revenue,21133000000.0,20724000000.0,19394000000.0,19255000000.0,18223000000.0,21895000000.0,24037000000.0,23837000000.0,21583000000.0,26225000000.0,31544000000.0,33294000000.0,9268000000.0,37338152850.0,38634725400.0,60774282000.0,53940686800.0,51474706400.0,70656113320.0,75664155120.0,66761973500.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,16413000000.0,11369000000.0,11043000000.0,11703000000.0,12171000000.0,13412000000.0,13057000000.0,13027000000.0,14476000000.0,14360000000.0,21830000000.0,22714000000.0,21063000000.0,15662216700.0,15709804200.0,37628007000.0,32917346000.0,33905895920.0,45743461110.0,51793836540.0,41386440300.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992000000.0,2148000000.0,1997000000.0,2294000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,0.0,31132000000.0,30187000000.0,29627000000.0,32348000000.0,33416000000.0,35720000000.0,35840000000.0,39205000000.0,44537000000.0,41240000000.0,40282000000.0,58894000000.0,66816000000.0,54310000000.0,64930000000.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,7971000000.0,13167000000.0,12604000000.0,10500000000.0,9812000000.0,10042000000.0,10027000000.0,11441000000.0,14955000000.0,16569000000.0,18992000000.0,18397000000.0,39403000000.0,54044063550.0,43740808200.0,29404659000.0,18981177600.0,16627048880.0,20302781760.0,35645876910.0,31708096800.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,10000000.0,9000000.0,9000000.0,8000000.0,19000000.0,24000000.0,25000000.0,36000000.0,30000000.0,1166000000.0,1114000000.0,1174000000.0,0.0,1029511200.0,1539573000.0,2022790000.0,4811658280.0,3419735980.0,3762260130.0,1293680000.0
,EBITDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingIncomeRatio,0.164056215397719,0.227755259602393,0.173868206661854,0.0931186704752012,-0.124348350985019,-0.110618862754053,0.150892374256355,0.171833703905693,0.101051753695038,0.131973307912297,0.237351001775298,0.242596263591037,-1.60789814415192,0.191930240330568,0.27641840053042,0.119056906340745,0.132846005957788,0.0322821376986038,-0.0457977932545583,0.0274872561082791,0.0892091558677486
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,3467000000.0,4720000000.0,3372000000.0,1793000000.0,-2266000000.0,-2422000000.0,3627000000.0,4096000000.0,2181000000.0,3461000000.0,7487000000.0,8077000000.0,-14902000000.0,7166320650.0,10679349000.0,7235598000.0,7165804800.0,1661713560.0,-3235894070.0,2079800010.0,5955779300.0
,incomeBeforeTaxRatio,0.164056215397719,0.227755259602393,0.173868206661854,0.0931186704752012,-0.124348350985019,-0.110618862754053,0.150892374256355,0.171833703905693,0.101051753695038,0.131973307912297,0.237351001775298,0.242596263591037,-1.60789814415192,0.191930240330568,0.27641840053042,0.119056906340745,0.132846005957788,0.0322821376986038,-0.0457977932545583,0.0274872561082791,0.0892091558677486
,incomeTaxExpense,801000000.0,1295000000.0,1361000000.0,2741000000.0,441000000.0,523000000.0,1405000000.0,1276000000.0,496000000.0,671000000.0,1548000000.0,1835000000.0,-4596000000.0,846299700.0,2390808000.0,1359144000.0,1439314800.0,-12391600.0,597140640.0,487115430.0,1497434600.0
,netIncome,2669000000.0,3419000000.0,2024000000.0,-983000000.0,-2710000000.0,-2944000000.0,1875000000.0,2326000000.0,1349000000.0,1953000000.0,5098000000.0,6724000000.0,-8218000000.0,6320020950.0,11336821200.0,5863284000.0,5620507200.0,770757520.0,-3311918920.0,1592684580.0,4495538000.0
,netIncomeRatio,0.126295367434818,0.164977803512835,0.104362173868207,-0.0510516748896391,-0.148713164681995,-0.134459922356702,0.0780047426883555,0.0975793933800394,0.0625028957976185,0.0744709246901811,0.161615521176769,0.201958310806752,-0.886706948640483,0.169264424391578,0.293436049632179,0.096476400988168,0.104197916886739,0.0149735194992778,-0.0468737772908678,0.0210493935665319,0.0673368051350369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,1.09,1.35,0.690822,-0.41,-1.148255,-1.669312,1.13478,1.42305665924989,0.83311,1.254243,3.579627,4.833869,-7.168408,6.816025,9.422755,4.729752,4.404088,0.605411,-2.544314,1.221739,3.916864
,EPSDiluted,1.06,1.32,0.690822,-0.41,-1.148255,-1.669312,1.125402,1.4200921509641,0.823955,1.245088,3.561317,4.705698,-7.168408,6.384863,8.992785,4.592525,4.358212,0.587065,-2.544314,1.212455,3.779329
,weightedAverageShsOut,2457000000.0,2524200000.0,2550584029.0,2413800000.0,2122869582.0,1768332536.0,1723544639.0,1634509761.0,1397697717.0,1309112781.0,1305071298.0,1282570069.0,1146419064.0,927229660.0,1203132316.0,1239659899.0,1276202161.0,1273113721.0,1300053531.0,1304296631.0,1148869127.0
,weightedAverageShsOutDil,2526400000.0,2586800000.0,2550584029.0,2413800000.0,2122869582.0,1768332536.0,1737406357.0,1637921876.0,1405016078.0,1318069581.0,1311952742.0,1321674147.0,1146419064.0,989844409.0,1260657462.0,1276701488.0,1289636019.0,1312899986.0,1300053531.0,1314516947.0,1191169830.0
