Date,2018-02-03,2017-01-28,2017-01,2016-01-30,2016-01,2015-01-31,2015-01,2014-02-01,2014-01,2013-02-02,2013-01,2012-01-28
Cash and cash equivalents,35222000.0,30695000.0,31000000.0,31902000.0,32000000.0,43547000.0,44000000.0,26989000.0,27000000.0,54957000.0,55000000.0,24116000.0
Short-term investments,14086000.0,10921000.0,11000000.0,9782000.0,10000000.0,19996000.0,20000000.0,15398000.0,15000000.0,18869000.0,000000.0,20120000.0
Cash and short-term investments,49308000.0,41616000.0,11000000.0,41684000.0,10000000.0,63543000.0,20000000.0,42387000.0,15000000.0,54957000.0,000000.0,24116000.0
Receivables,156863000.0,140240000.0,133000000.0,132066000.0,124000000.0,137432000.0,130000000.0,146392000.0,146000000.0,174484000.0,170000000.0,145563000.0
Inventories,175459000.0,151251000.0,151000000.0,182750000.0,183000000.0,183734000.0,184000000.0,206602000.0,207000000.0,183127000.0,183000000.0,198264000.0
Total current assets,389781000.0,341216000.0,251000000.0,366779000.0,256000000.0,398942000.0,286000000.0,424389000.0,282000000.0,443104000.0,320000000.0,401676000.0
Property Plant & Equipment Net,56164000.0,61835000.0,62000000.0,63908000.0,64000000.0,64633000.0,65000000.0,59912000.0,60000000.0,50749000.0,51000000.0,56496000.0
Goodwill and Intangible Assets,186216000.0,187051000.0,187000000,187919000.0,188000000,216223000.0,216000000,217507000.0,217000000,260475000.0,261000000,256428000.0
Long-term investments,0.0,0.0,,0.0,,274714000.0,,0.0,,342705000.0,,0.0
Tax assets,411000.0,334000.0,000000.0,442000.0,000000.0,725000.0,1000000.0,14060000.0,000000.0,11608000.0,000000.0,11873000.0
Total non-current assets,244381000.0,251489000.0,161000000.0,255668000.0,183000000.0,286047000.0,224000000.0,282346000.0,213000000.0,320025000.0,223000000.0,322519000.0
Total assets,634162000.0,592705000.0,593000000.0,622447000.0,622000000.0,684989000.0,685000000.0,706735000.0,707000000.0,763129000.0,763000000.0,724195000.0
Payables,98848000.0,92843000.0,93000000.0,103684000.0,104000000.0,117789000.0,118000000.0,112442000.0,112000000.0,132028000.0,132000000.0,80253000.0
Short-term debt,557000.0,536000.0,1000000.0,357000.0,1000000.0,345000.0,1000000.0,361000.0,1000000.0,318000.0,1000000.0,664000.0
Total current liabilities,140323000.0,117864000.0,118000000.0,148022000.0,148000000.0,158772000.0,159000000.0,146192000.0,146000000.0,169331000.0,169000000.0,111760000.0
Long-term debt,32721000.0,33591000.0,106000000.0,21318000.0,133000000.0,22109000.0,172000000.0,22844000.0,181000000.0,24202000.0,174000000.0,25114000.0
Total debt,33278000.0,34127000.0,106000000.0,21675000.0,133000000.0,22454000.0,172000000.0,23205000.0,181000000.0,24520000.0,174000000.0,25778000.0
Deferred revenue,2907000.0,2710000.0,000000.0,4213000.0,15000000.0,4856000.0,15000000.0,5013000.0,1000000.0,4647000.0,15000000.0,4179000.0
Tax Liabilities,1466000.0,-623000.0,37000000.0,623000.0,35000000.0,-901000.0,37000000.0,841000.0,7000000.0,648000.0,19000000.0,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current liabilities,116289000.0,161154000.0,161000000.0,182944000.0,183000000.0,224200000.0,224000000.0,213010000.0,213000000.0,222558000.0,223000000.0,245940000.0
Total liabilities,256612000.0,279018000.0,279000000.0,330966000.0,331000000.0,382972000.0,383000000.0,359202000.0,359000000.0,391889000.0,392000000.0,357700000.0
Other comprehensive income,151563000,147300000,-10000000.0,144025000,-15000000.0,145606000,-13000000.0,148565000,-7000000.0,150091000,-8000000.0,145039000
Retained earnings (deficit),232977000.0,176327000.0,176000000.0,161810000.0,162000000.0,169102000.0,169000000.0,206277000.0,206000000.0,229056000.0,229000000.0,229467000.0
Total shareholders equity,377550000.0,313687000.0,314000000.0,291481000.0,291000000.0,302017000.0,302000000.0,347533000.0,348000000.0,371240000.0,371000000.0,366495000.0
Investments,14086000.0,10921000.0,,9782000.0,,294710000.0,,15398000.0,,361574000.0,,20120000.0
Net Debt,-1944000.0,3432000.0,76000000,-10227000.0,102000000,-21093000.0,129000000,-3784000.0,155000000,-30437000.0,120000000,1662000.0
Other Assets,0.0,0.0,9000000,0.0,11000000,0.0,13000000,0.0,5000000,0.0,25000000,0.0
Other Liabilities,0.0,0.0,18000000,0.0,12000000,0.0,15000000,0.0,31000000,0.0,23000000,0.0
