date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,12574000.0,23759000.0,45472000.0,57709000.0,115416000.0,62072000.0,30318000.0,79000.0,5996000.0,-2728000.0,2825000.0,-999000.0,-529000.0,2961000.0,4714000.0,4807000.0,5075000.0,4101000.0,2636000.0,2096000.0
,depreciationAndAmortization,17816000.0,18622000.0,13885000.0,16353000.0,16531000.0,14990000.0,10913000.0,6934000.0,2410000.0,650000.0,390000.0,446000.0,447000.0,434000.0,441000.0,508000.0,502000.0,635000.0,675000.0,445000.0
,deferredIncomeTax,-9259000.0,-622000.0,-5911000.0,-30372000.0,5613000.0,7279000.0,-17229000.0,7573000.0,100000.0,1949000.0,-1050000.0,103000.0,-5398000.0,-1181000.0,166000.0,569000.0,-269000.0,-127000.0,-110000.0,30000.0
,stockBasedCompensation,5781000.0,5039000.0,6565000.0,12134000.0,11947000.0,9328000.0,8207000.0,3965000.0,1683000.0,1228000.0,123000.0,123000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-10787000.0,2745495000.0,-355676000.0,682583000.0,-2260460000.0,-2028413000.0,-2040919000.0,-3225525000.0,64168000.0,-14625000.0,24504000.0,15359000.0,-2559000.0,7801000.0,122000.0,1558000.0,740000.0,69000.0,11506000.0,143000.0
,accountsReceivables,17217000.0,-15447000.0,24860000.0,2604000.0,-14274000.0,-7687000.0,-4247000.0,-5865000.0,-322000.0,-38000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-28004000.0,-3698000.0,-5262000.0,-95653000.0,31881000.0,12354000.0,-8603000.0,5347000.0,292000.0,4855000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,-6374272000.0,-9119767000.0,-8764091000.0,-9446674000.0,-7186214000.0,-5157801000.0,-3116882000.0,108643000.0,44475000.0,59100000.0,34596000.0,19237000.0,21796000.0,13995000.0,13873000.0,12315000.0,11575000.0,11506000.0,0.0
,otherNonCashItems,19309000.0,2662000.0,12910000.0,601933000.0,-54835000.0,-58384000.0,-596556000.0,-428208000.0,-40256000.0,4843000.0,914000.0,-1137000.0,12780000.0,898000.0,869000.0,1460000.0,1891000.0,2150000.0,1106000.0,-1541000.0
,netCashProvidedByOperatingActivites,74862000.0,80255000.0,123003000.0,563011000.0,13677000.0,-45243000.0,-627516000.0,-435489000.0,-33019000.0,13638000.0,23276000.0,6995000.0,6939000.0,3537000.0,5500000.0,6558000.0,9182000.0,6317000.0,4676000.0,1302000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-5092000.0,-10478000.0,-9001000.0,-15323000.0,-44683000.0,-83259000.0,-11663000.0,-54965000.0,-6151000.0,-4891000.0,-2441000.0,-295000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-676000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,-47000000.0,-23000000.0,-449000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-400461000.0,-210058000.0,-527936000.0,-1053593000.0,-5804051000.0,-2553935000.0,-327069000.0,-71129000.0,-78321000.0,-128975000.0,-29110000.0,-40607000.0,-19374000.0,-166000.0,-1913000.0,-6190000.0,-15449000.0,-19000.0,-13467000.0,-31611000.0
,salesMaturitiesOfInvestments,80961000.0,1286129000.0,1068849000.0,1687900000.0,4321609000.0,1099499000.0,154137000.0,238191000.0,64227000.0,89178000.0,24231000.0,10040000.0,4517000.0,13565000.0,3000.0,74000.0,12659000.0,11755000.0,6681000.0,33830000.0
,otherInvestingActivites,15460000.0,8443000.0,8892000.0,-5738000.0,-8027000.0,-96866000.0,-20278000.0,-9024000.0,14491000.0,10420000.0,10496000.0,6182000.0,-95654000.0,30153000.0,-50736000.0,-73510000.0,-45506000.0,-175076000.0,-149135000.0,0.0
,netCashUsedForInvestingActivites,-266915000.0,2795307000.0,-469746000.0,95735000.0,-2318286000.0,-2256550000.0,-463154000.0,-1303482000.0,-137827000.0,-167602000.0,39271000.0,-9206000.0,-110651000.0,43255000.0,-52862000.0,-80035000.0,-48712000.0,-163972000.0,-157715000.0,1543000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-760000000.0,-325000000.0,-125000000.0,-170684000.0,-139828000.0,-469715000.0,-2157000.0,-5704699000.0,-20000000.0,-55000000.0,-60000000.0,-60000000.0,-81700000.0,-54500000.0,-53000000.0,-27000000.0,-28500000.0,-20000000.0,-83100000.0,-48800000.0
,commonStockIssued,0.0,0.0,0.0,0.0,175078000.0,0.0,168615000.0,67792000.0,0.0,26542000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-16420000.0,-46396000.0,-40250000.0,0.0,-42000000.0,0.0,-280000.0,-5005000.0,-572000.0,-55000.0,-19305000.0,-58000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-26092000.0,-31786000.0,-55489000.0,-46968000.0,-42216000.0,-27100000.0,-14792000.0,-8921000.0,-6014000.0,-3512000.0,-2640000.0,-2518000.0,-3191000.0,-3025000.0,-1933000.0,-2230000.0,-1827000.0,-1269000.0,0.0,0.0
,otherFinancingActivites,-10291000.0,-1023000.0,-2366000.0,-6824000.0,0.0,0.0,0.0,0.0,-1534000.0,-593000.0,56026000.0,-109000.0,-62000.0,115000.0,277000.0,103000.0,0.0,0.0,0.0,0.0
