date,,2020-05-31_FY,2019-05-31_FY,2018-05-31_FY,2017-05-31_FY,2016-05-31_FY,2015-05-31_FY,2014-05-31_FY,2013-05-31_FY,2012-05-31_FY,2011-05-31_FY,2010-05-31_FY,2009-05-31_FY,2008-05-31_FY,2007-05-31_FY,2006-05-31_FY,2005-05-31_FY,2004-05-31_FY,2003-05-31_FY,2002-05-31_FY,2001-05-31_FY,2000-05-31_FY,1999-05-31_FY,1998-05-31_FY,1997-05-31_FY,1996-05-31_FY,1995-05-31_FY,1994-05-31_FY,1993-05-31_FY,1992-05-31_FY,1991-05-31_FY,1990-05-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,10135000000.0,11083000000.0,3825000000.0,9335000000.0,8901000000.0,9938000000.0,10955000000.0,10925000000.0,9981000000.0,8547000000.0,6135000000.0,5593000000.0,5521000000.0,4274000000.0,3381000000.0,2886000000.0,2681000000.0,2307000000.0,2224000000.0,2561096000.0,6296803000.0,1289758000.0,813695000.0,821457000.0,603279000.0,441500000.0,283700000.0,98200000.0,61500000.0,-12400000.0,117400000.0
,depreciationAndAmortization,2968000000.0,2919000000.0,2785000000.0,2451000000.0,2509000000.0,2861000000.0,2908000000.0,2931000000.0,2916000000.0,2796000000.0,2271000000.0,1976000000.0,1480000000.0,1127000000.0,855000000.0,425000000.0,234000000.0,327000000.0,363000000.0,346896000.0,390925000.0,375384000.0,328563000.0,264773000.0,219494000.0,147800000.0,104600000.0,79200000.0,65800000.0,70700000.0,44100000.0
,deferredIncomeTax,-851000000.0,-1191000000.0,-611000000.0,-486000000.0,-105000000.0,-548000000.0,-248000000.0,-117000000.0,9000000.0,-253000000.0,-511000000.0,-395000000.0,-135000000.0,56000000.0,-40000000.0,6000000.0,58000000.0,90000000.0,0.0,17970000.0,-16728000.0,20367000.0,23086000.0,6286000.0,-25341000.0,-13300000.0,28800000.0,400000.0,3700000.0,-15400000.0,7700000.0
,stockBasedCompensation,1590000000.0,1653000000.0,1607000000.0,1350000000.0,1037000000.0,933000000.0,805000000.0,755000000.0,659000000.0,510000000.0,436000000.0,355000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,7184000000.0,-29013000000.0,6432000000.0,3232000000.0,-787000000.0,14143000000.0,4929000000.0,4185000000.0,-347000000.0,12669000000.0,2881000000.0,1358000000.0,4578000000.0,-1548000000.0,4628000000.0,-6648000000.0,1995000000.0,301000000.0,-278531000.0,25435000.0,2620245000.0,561966000.0,489928000.0,519456000.0,267401000.0,168600000.0,102500000.0,56300000.0,127900000.0,-178900000.0,-157100000.0
,accountsReceivables,-690000000.0,-272000000.0,-117000000.0,18000000.0,96000000.0,208000000.0,24000000.0,267000000.0,-8000000.0,-729000000.0,-362000000.0,336000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,-88000000.0,88000000.0,-96000000.0,57000000.0,-66000000.0,150000000.0,-28000000.0,73000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11900000.0,0.0,0.0,0.0,0.0
,accountsPayables,-496000000.0,-102000000.0,-264000000.0,-37000000.0,-13000000.0,247000000.0,48000000.0,-541000000.0,-720000000.0,-120000000.0,-360000000.0,-691000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,34940000000.0,27756000000.0,56769000000.0,50337000000.0,47105000000.0,47892000000.0,33749000000.0,28820000000.0,24635000000.0,24982000000.0,12313000000.0,9432000000.0,8074000000.0,3496000000.0,5044000000.0,416000000.0,7064000000.0,5069000000.0,4768000000.0,5046531000.0,5021096000.0,2400851000.0,1838885000.0,1348957000.0,829501000.0,562100000.0,393500000.0,291000000.0,234700000.0,106800000.0,285700000.0
,otherNonCashItems,239000000.0,157000000.0,-26000000.0,123000000.0,143000000.0,327000000.0,311000000.0,155000000.0,84000000.0,68000000.0,156000000.0,128000000.0,667000000.0,530000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10000.0,-1700000.0,0.0,0.0,-100000.0,0.0,-100000.0
,netCashProvidedByOperatingActivites,13139000000.0,14551000000.0,15386000000.0,14126000000.0,13561000000.0,14336000000.0,14921000000.0,14224000000.0,13743000000.0,11214000000.0,8681000000.0,8255000000.0,7402000000.0,5520000000.0,4541000000.0,3552000000.0,3177000000.0,3023000000.0,3243000000.0,2179118000.0,2923564000.0,1807099000.0,1614579000.0,1030504000.0,889157000.0,568700000.0,443500000.0,317500000.0,242300000.0,89400000.0,28600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-243000000.0,-319000000.0,-236000000.0,-188000000.0,-189000000.0,-291000000.0,-278000000.0,-313259000.0,-263443000.0,-346592000.0,-328358000.0,-390741000.0,-308392000.0,-262000000.0,-250700000.0,-41300000.0,-46600000.0,-60700000.0,-89300000.0
,acquisitionsNet,-124000000.0,-363000000.0,-1724000000.0,-11221000000.0,-650000000.0,-6239000000.0,-3488000000.0,-3305000000.0,-4702000000.0,-1847000000.0,-5606000000.0,-1159000000.0,-7643000000.0,-5005000000.0,-3953000000.0,-10656000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-5731000000.0,-1400000000.0,-25282000000.0,-25867000000.0,-24562000000.0,-31421000000.0,-32316000000.0,-32160000000.0,-38625000000.0,-31009000000.0,-15703000000.0,-9315000000.0,-5624000000.0,-5405000000.0,-2986000000.0,-7101000000.0,-10310000000.0,-4713000000.0,-6087000000.0,-1583811000.0,-886571000.0,-1250501000.0,-1196066000.0,-524313000.0,-238960000.0,-176500000.0,0.0,-81300000.0,-23200000.0,0.0,-500000.0
