date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,684000000.0,1785000000.0,1108000000.0,1249000000.0,1114600000.0,1088900000.0,1204100000.0,1019800000.0,856900000.0,700800000.0,478300000.0,218400000.0,473800000.0,449200000.0,244200000.0,406100000.0,342100000.0,319800000.0,191900000.0,305200000.0,314100000.0,272900000.0,236800000.0,197600000.0
,depreciationAndAmortization,611000000.0,557000000.0,531000000.0,464000000.0,414700000.0,409300000.0,384600000.0,336900000.0,0.0,0.0,263700000.0,254000000.0,250700000.0,207200000.0,198400000.0,196700000.0,191700000.0,174800000.0,162000000.0,162900000.0,146800000.0,117300000.0,97500000.0,76000000.0
,deferredIncomeTax,-143000000.0,-66000000.0,175000000.0,-118000000.0,-94100000.0,-52600000.0,-56400000.0,-76100000.0,-22100000.0,-24500000.0,-24700000.0,-108200000.0,-115600000.0,9900000.0,-74300000.0,104900000.0,18300000.0,36500000.0,-22600000.0,4700000.0,-5500000.0,-4200000.0,-12200000.0,-12600000.0
,stockBasedCompensation,213000000.0,243000000.0,236000000.0,219000000.0,183500000.0,165000000.0,152600000.0,145800000.0,124700000.0,94800000.0,57000000.0,51500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,1106000000.0,-251000000.0,717000000.0,596400000.0,-788300000.0,-435600000.0,405900000.0,633300000.0,-13900000.0,194400000.0,95500000.0,365300000.0,349300000.0,0.0,-66200000.0,-72300000.0,85900000.0,-176700000.0,85800000.0,165500000.0,8700000.0,90800000.0,65600000.0,-49300000.0
,accountsReceivables,625000000.0,-169000000.0,-105000000.0,-92000000.0,-100900000.0,103200000.0,-196200000.0,-113000000.0,-178400000.0,-124700000.0,79200000.0,103800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-3000000.0,-375000000.0,-147000000.0,-85000000.0,-69000000.0,-26200000.0,-156800000.0,-134500000.0,-41200000.0,-95100000.0,-60800000.0,125700000.0,-70700000.0,-70800000.0,1900000.0,-105100000.0,-45700000.0,-15700000.0,102200000.0,-102100000.0,-31300000.0,0.0,-71800000.0,4400000.0
,accountsPayables,-308000000.0,319000000.0,349000000.0,54000000.0,101400000.0,146500000.0,34000000.0,-8700000.0,68300000.0,-17000000.0,103600000.0,-11900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,3713000000.0,2607000000.0,2858000000.0,2141000000.0,1544600000.0,2332900000.0,2768500000.0,2362600000.0,1729300000.0,1743200000.0,1548800000.0,1453300000.0,1088000000.0,738700000.0,738700000.0,804900000.0,877200000.0,791300000.0,968000000.0,882200000.0,716700000.0,708000000.0,617200000.0,551600000.0
,otherNonCashItems,-80000000.0,-117000000.0,-149000000.0,-113000000.0,-46500000.0,-51900000.0,-3500000.0,-57900000.0,7200000.0,10000000.0,24400000.0,21800000.0,61800000.0,45700000.0,30000000.0,0.0,0.0,0.0,0.0,27800000.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,2280000000.0,2517000000.0,2573000000.0,1800000000.0,1788700000.0,1943300000.0,1535200000.0,1226300000.0,1126700000.0,1027000000.0,956700000.0,696000000.0,690100000.0,661600000.0,709800000.0,478100000.0,667300000.0,548500000.0,518000000.0,305400000.0,442500000.0,352300000.0,258200000.0,253100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-357800000.0,-312100000.0,-260600000.0,-229600000.0,-206500000.0,-163100000.0,-203200000.0,-192200000.0,-180900000.0,-192900000.0,-580500000.0,-82900000.0
,acquisitionsNet,-1047000000.0,0.0,0.0,-1671000000.0,-101000000.0,-241000000.0,-9000000.0,-9000000.0,-8000000.0,-256000000.0,-11000000.0,-69000000.0,-116000000.0,-61000000.0,-42000000.0,-7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-28000000.0,-14000000.0,-478000000.0,-1267000000.0,-2016200000.0,-1207200000.0,-600000.0,-2800000.0,0.0,0.0,-100000.0,-400000.0,-4700000.0,-500000.0,-100000.0,-300000.0,-100000.0,0.0,0.0,0.0,-15900000.0,-8400000.0,-1800000.0,0.0
,salesMaturitiesOfInvestments,0.0,1229000000.0,749000000.0,1226000000.0,1373500000.0,305000000.0,8400000.0,7000000.0,0.0,200000.0,0.0,9200000.0,0.0,0.0,500000.0,0.0,0.0,21000000.0,0.0,1900000.0,3000000.0,1000000.0,5100000.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-47800000.0
,netCashUsedForInvestingActivites,-1698000000.0,473000000.0,-369000000.0,-2214000000.0,-1269300000.0,-1616200000.0,-511600000.0,-465500000.0,-428300000.0,-606900000.0,-281400000.0,-339500000.0,-478500000.0,-373800000.0,-302600000.0,-237000000.0,-208000000.0,-192500000.0,-217000000.0,-206300000.0,-374300000.0,-200300000.0,-577200000.0,-130700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-513000000.0,-1000000.0,-2000000.0,-306000000.0,-7600000.0,-8300000.0,-11800000.0,-241500000.0,-128800000.0,-16500000.0,-234700000.0,-103600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
