date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,933000000.0,774000000.0,458000000.0,734000000.0,108000000.0,428000000.0,414000000.0,385000000.0,352000000.0,387000000.0,395000000.0,266000000.0,319880000.0,518401000.0,127893000.0,61690000.0,11362000.0,-105447000.0,43128000.0,40463000.0
,depreciationAndAmortization,202000000.0,190000000.0,210000000.0,188000000.0,170000000.0,138000000.0,137000000.0,122000000.0,104000000.0,109000000.0,103000000.0,104000000.0,92578000.0,38890000.0,70916000.0,68344000.0,76877000.0,89933000.0,101066000.0,100283000.0
,deferredIncomeTax,41000000.0,35000000.0,342000000.0,10000000.0,-136000000.0,-14000000.0,-6000000.0,28000000.0,16000000.0,4000000.0,-35000000.0,-10000000.0,-103145000.0,-15582000.0,13404000.0,3469000.0,26970000.0,2103000.0,13662000.0,-23178000.0
,stockBasedCompensation,87000000.0,79000000.0,69000000.0,70000000.0,86000000.0,68000000.0,62000000.0,47000000.0,46000000.0,36000000.0,33000000.0,35000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,2673000000.0,263000000.0,-467000000.0,-211000000.0,138000000.0,-80000000.0,57000000.0,-202000000.0,22000000.0,264000000.0,-308000000.0,212757000.0,-896577000.0,-581191000.0,1580376000.0,73754000.0,-94105000.0,-109559000.0,-120075000.0,-83067000.0
,accountsReceivables,-167000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,5000000.0,-49000000.0,33000000.0,-12000000.0,5000000.0,-38000000.0,-40000000.0,51000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,2736000000.0,63000000.0,-200000000.0,267000000.0,478000000.0,340000000.0,420000000.0,363000000.0,565000000.0,543000000.0,279000000.0,587000000.0,374243000.0,1270820000.0,1852011000.0,271635000.0,197881000.0,291986000.0,401545000.0,521620000.0
,otherNonCashItems,32000000.0,44000000.0,15000000.0,25000000.0,17000000.0,143000000.0,48000000.0,5000000.0,31000000.0,38000000.0,69000000.0,12000000.0,71515000.0,7205000.0,7548000.0,2543000.0,7618000.0,13050000.0,4555000.0,3550000.0
,netCashProvidedByOperatingActivites,1252000000.0,963000000.0,1028000000.0,909000000.0,722000000.0,685000000.0,687000000.0,574000000.0,594000000.0,669000000.0,440000000.0,582000000.0,407725000.0,173236000.0,201075000.0,120903000.0,117025000.0,105267000.0,157145000.0,65030000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-188000000.0,-127000000.0,-111000000.0,-144000000.0,-134000000.0,-133000000.0,-140000000.0,-115000000.0,-87000000.0,-88000000.0,-42000000.0,-59000000.0,-54719000.0,-18489000.0,-21035000.0,-25402000.0,-26029000.0,-31595000.0,-85398000.0,-122555000.0
,acquisitionsNet,-157000000.0,-74000000.0,211000000.0,-776000000.0,-1466000000.0,-226000000.0,0.0,-1121000000.0,-112000000.0,-26000000.0,-190000000.0,8000000.0,-2999000000.0,-15000000.0,-54000000.0,-970000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-283000000.0,-579000000.0,-421000000.0,-392000000.0,-468000000.0,-384000000.0,-303000000.0,-453000000.0,-301000000.0,-533000000.0,-237000000.0,-623000000.0,-164588000.0,-80400000.0,-1827057000.0,-623656000.0,-264291000.0,-197604000.0,-212643000.0,-391893000.0
,salesMaturitiesOfInvestments,424000000.0,554000000.0,543000000.0,424000000.0,411000000.0,348000000.0,298000000.0,500000000.0,372000000.0,501000000.0,351000000.0,621000000.0,15176000.0,1916540000.0,620450000.0,648102000.0,267709000.0,231325000.0,209181000.0,395038000.0
,otherInvestingActivites,-27000000.0,-14000000.0,0.0,-2000000.0,-6000000.0,-16000000.0,-10000000.0,0.0,0.0,0.0,0.0,0.0,54015000.0,54949000.0,-23350000.0,0.0,0.0,-2500000.0,-22100000.0,0.0
,netCashUsedForInvestingActivites,-231000000.0,-240000000.0,196000000.0,-890000000.0,-1657000000.0,-441000000.0,-155000000.0,-1189000000.0,-128000000.0,-146000000.0,-118000000.0,-53000000.0,-3148670000.0,1857878000.0,-1274383000.0,-953383000.0,-201312000.0,-231000.0,-102525000.0,-109196000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1468000000.0,-1215000000.0,-320000000.0,-708000000.0,-1156000000.0,-369000000.0,-970000000.0,-289000000.0,-145000000.0,-948000000.0,-2216000000.0,-340000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23000000.0,0.0,10000000.0,6000000.0,8000000.0,29729000.0,16818000.0,999544000.0,52930000.0,2273000.0,996000.0,2238000.0,93825000.0
,commonStockRepurchased,-222000000.0,-200000000.0,-394000000.0,-203000000.0,-100000000.0,-377000000.0,-178000000.0,-10000000.0,-278000000.0,-100000000.0,-797000000.0,0.0,0.0,0.0,-105059000.0,-38567000.0,-85000.0,-147000.0,-305155000.0,-240000000.0
,dividendsPaid,-320000000.0,-305000000.0,-280000000.0,-243000000.0,-200000000.0,-149000000.0,-98000000.0,-87000000.0,-65000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-3220000.0,-8354000.0,-8279000.0,0.0,0.0
