date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1636000000.0,1500000000.0,1428000000.0,864000000.0,821000000.0,339000000.0,583000000.0,504000000.0
,depreciationAndAmortization,441000000.0,412000000.0,308000000.0,242000000.0,240000000.0,199000000.0,204000000.0,209000000.0
,deferredIncomeTax,-62000000.0,-79000000.0,-112000000.0,127000000.0,-55000000.0,-85000000.0,-49000000.0,23000000.0
,stockBasedCompensation,59000000.0,67000000.0,53000000.0,44000000.0,37000000.0,43000000.0,32000000.0,43000000.0
,changeInWorkingCapital,1499000000.0,-234000000.0,53000000.0,850000000.0,224000000.0,-330000000.0,437000000.0,-104000000.0
,accountsReceivables,74000000.0,-69000000.0,-67000000.0,-50000000.0,15000000.0,-58000000.0,69000000.0,-99000000.0
,inventory,105000000.0,-104000000.0,61000000.0,19000000.0,-101000000.0,-262000000.0,-16000000.0,-104000000.0
,accountsPayables,147000000.0,-10000000.0,37000000.0,-10000000.0,-28000000.0,17000000.0,-210000000.0,-82000000.0
,otherWorkingCapital,4441000000.0,2942000000.0,3176000000.0,3123000000.0,2273000000.0,2049000000.0,2379000000.0,1942000000.0
,otherNonCashItems,0.0,-9000000.0,-11000000.0,32000000.0,27000000.0,216000000.0,-1000000.0,-8000000.0
,netCashProvidedByOperatingActivites,2126000000.0,1795000000.0,1790000000.0,1346000000.0,713000000.0,664000000.0,626000000.0,681000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-432000000.0,-460000000.0,-338000000.0,-224000000.0,-216000000.0,-224000000.0,-195000000.0,-184000000.0
,acquisitionsNet,3000000.0,-195000000.0,-1998000000.0,-82000000.0,-88000000.0,-883000000.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,138000000.0,28000000.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,13000000.0,49000000.0,36000000.0,90000000.0,-8000000.0,8000000.0,9000000.0
,netCashUsedForInvestingActivites,-572000000.0,-504000000.0,-2259000000.0,-270000000.0,-214000000.0,-1115000000.0,-187000000.0,-179000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-500000000.0,0.0,0.0,-750000000.0,-400000000.0,-119000000.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-626000000.0,-698000000.0,-500000000.0,-300000000.0,-203000000.0,0.0,0.0
,dividendsPaid,-380000000.0,-314000000.0,-243000000.0,-206000000.0,-188000000.0,-168000000.0,-146000000.0,-98000000.0
,otherFinancingActivites,0.0,-2000000.0,-19000000.0,-26000000.0,-10000000.0,0.0,-2000000.0,-2743000000.0
,netCashUsedProvidedByFinancingActivities,123000000.0,-951000000.0,533000000.0,-251000000.0,-903000000.0,755000000.0,-154000000.0,-200000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-7000000.0,-8000000.0,-26000000.0,12000000.0,-23000000.0,-32000000.0,-13000000.0,-9000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,1670000000.0,332000000.0,38000000.0,837000000.0,-427000000.0,272000000.0,272000000.0,293000000.0
,cashAtEndOfPeriod,3604000000.0,1934000000.0,1602000000.0,1564000000.0,727000000.0,1154000000.0,882000000.0,610000000.0
,cashAtBeginningOfPeriod,1934000000.0,1602000000.0,1564000000.0,727000000.0,1154000000.0,882000000.0,610000000.0,317000000.0
,operatingCashFlow,2126000000.0,1795000000.0,1790000000.0,1346000000.0,713000000.0,664000000.0,626000000.0,681000000.0
,capitalExpenditure,0.0,-460000000.0,-338000000.0,-224000000.0,-216000000.0,-224000000.0,-195000000.0,-184000000.0
,freeCashFlow,2126000000.0,1335000000.0,1452000000.0,1122000000.0,497000000.0,440000000.0,431000000.0,497000000.0
