date,,2021-01-31_FY,2020-01-31_FY,2019-01-31_FY,2018-01-31_FY,2017-01-31_FY,2016-01-31_FY,2015-01-31_FY,2014-01-31_FY,2013-01-31_FY,2012-01-31_FY,2011-01-31_FY,2010-01-31_FY,2009-01-31_FY,2008-01-31_FY,2007-01-31_FY,2006-01-31_FY,2005-01-31_FY,2004-01-31_FY,2003-01-31_FY,2002-01-31_FY,2001-01-31_FY,2000-01-31_FY,1999-01-31_FY,1998-01-31_FY,1997-01-31_FY,1996-01-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,11065000.0,-15949000.0,10428000.0,-9065000.0,-15450000.0,8912000.0,12946000.0,6386000.0,6639000.0,10784000.0,2711000.0,1349000.0,-23095000.0,5416000.0,7633000.0,20742000.0,24483000.0,16317000.0,-5547000.0,-5313000.0,-25406000.0,-16336000.0,-35900000.0,9900000.0,1000000.0,-2900000.0,-700000.0,2900000.0
,depreciationAndAmortization,289000.0,12376000.0,5517000.0,5772000.0,6046000.0,5785000.0,5759000.0,6069000.0,4989000.0,4721000.0,6960000.0,9992000.0,11134000.0,9417000.0,8187000.0,7320000.0,7541000.0,8082000.0,10637000.0,14766000.0,17817000.0,17829000.0,11100000.0,6900000.0,5300000.0,390000.0,4350000.0,2660000.0
,deferredIncomeTax,0.0,9682000.0,-1453000.0,-476000.0,14826000.0,-590000.0,-905000.0,623000.0,233000.0,735000.0,-1488000.0,-1344000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2900000.0,-1400000.0,-1780000.0,-3780000.0,-1310000.0
,stockBasedCompensation,0.0,11354000.0,10122000.0,8924000.0,7323000.0,7440000.0,4993000.0,4680000.0,4608000.0,4507000.0,5303000.0,4592000.0,5516000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,0.0,-8740000.0,7390000.0,-9391000.0,-6440000.0,15030000.0,51117000.0,10368000.0,-12601000.0,9125000.0,9574000.0,7201000.0,-11869000.0,-6156000.0,-5692000.0,-6865000.0,21581000.0,-839000.0,-15835000.0,5067000.0,-14152000.0,11037000.0,-58600000.0,86000000.0,-900000.0,-5800000.0,0.0,-1410000.0
,accountsReceivables,0.0,-924000.0,-1515000.0,-12562000.0,-4141000.0,10804000.0,-11236000.0,-1247000.0,-6767000.0,-428000.0,-4792000.0,10447000.0,7593000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,151000.0,-4369000.0,2821000.0,646000.0,-1441000.0,2568000.0,-1260000.0,2142000.0,-229000.0,2069000.0,-2457000.0,1496000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,69610000.0,78350000.0,70960000.0,80351000.0,86791000.0,71761000.0,20644000.0,10276000.0,22877000.0,13752000.0,4178000.0,-3023000.0,8846000.0,15002000.0,20694000.0,27559000.0,5978000.0,6817000.0,22652000.0,17585000.0,31737000.0,20700000.0,79300000.0,-6700000.0,-5800000.0,0.0,0.0
,otherNonCashItems,0.0,4514000.0,4176000.0,0.0,0.0,0.0,42000.0,-279000.0,0.0,-308000.0,-320000.0,277000.0,533000.0,6739000.0,6892000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-200000.0,0.0,140000.0,3690000.0,1460000.0
,netCashProvidedByOperatingActivites,32872000.0,16997000.0,19007000.0,10418000.0,18680000.0,23278000.0,23697000.0,24140000.0,16039000.0,21448000.0,25902000.0,17696000.0,7253000.0,15875000.0,18876000.0,28567000.0,22980000.0,19840000.0,13441000.0,21503000.0,12633000.0,9598000.0,-21100000.0,9600000.0,6700000.0,-1050000.0,4090000.0,4290000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1931000.0,-6914000.0,-5407000.0,-4739000.0,-3413000.0,-3361000.0,-4888000.0,-5145000.0,-3563000.0,-4066000.0,-1916000.0,-1389000.0,-7232000.0,-6593000.0,-6141000.0,-7225000.0,-10577000.0,-17785000.0,-9261000.0,-3845000.0,-5033000.0,-6863000.0,-42800000.0,-13600000.0,-3400000.0,-940000.0,-9580000.0,-9850000.0
,acquisitionsNet,0.0,0.0,-3000000.0,0.0,0.0,0.0,0.0,0.0,-8000000.0,0.0,0.0,0.0,-7000000.0,-5000000.0,-9000000.0,0.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-1200000.0,-1200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500000.0,-3000000.0,-3000000.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275000.0,0.0,0.0,13000000.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,2000.0,4000.0,70000.0,7000.0,13000.0,9000.0,33000.0,-1000.0,-81000.0,-6000.0,0.0,-894000.0,1575000.0,-2612000.0,-4051000.0,-1665000.0,87000.0,-1301000.0,-618000.0,-2220000.0,-2627000.0,-200000.0,0.0,-100000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-15906000.0,-5712000.0,-9258000.0,-4669000.0,-3406000.0,-3348000.0,-4879000.0,-5112000.0,-11381000.0,-4147000.0,-1922000.0,-1357000.0,-14016000.0,-9663000.0,-16159000.0,1772000.0,-12979000.0,-14748000.0,-9777000.0,-4463000.0,-7827000.0,-7429000.0,-46000000.0,-16500000.0,-3400000.0,-940000.0,-9470000.0,-9840000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
