Date,2019-03-31,2018-03-31,2017-03-31
Cash and cash equivalents,190703880.597,193861256.1304,184515309.8244
Short-term investments,49686716.4179,37058535.0419,79769119.1409
Cash and short-term investments,240390597.0149,230919791.1723,264284428.9653
Receivables,267014.9254,1135738.0161,60949.064
Inventories,752537.3134,17402.3098,594688.7244
Total current assets,265477164.1791,261951431.7355,359272964.7366
Property Plant & Equipment Net,1787313.4328,2612086.6951,14466550.5732
Goodwill and Intangible Assets,383674626.8657,266638664.7682,300327673.7774
Long-term investments,36077761.194,31804619.5222,1586852.4162
Tax assets,0.0,0.0,0.0
Total non-current assets,421653582.0896,304022464.7999,320519953.5626
Total assets,687130746.2687,565973896.5354,679792918.2992
Payables,2684925.3731,1941148.5524,1611377.1586
Short-term debt,0.0,0.0,0.0
Total current liabilities,81925373.1343,106007435.5324,155852561.3119
Long-term debt,0.0,0.0,0.0
Total debt,0.0,0.0,0.0
Deferred revenue,0.0,0.0,0.0
Tax Liabilities,1243134.3284,5340294.2572,17283122.9139
Deposit Liabilities,175671.6418,5853.5042,34247.5693
Total non-current liabilities,1075671.6418,3991931.6564,16628646.0601
Total liabilities,83001044.7761,109999367.1887,172481207.3719
Other comprehensive income,11611194.0299,-577440.2784,9976636.1921
Retained earnings (deficit),-809778358.209,-712073564.3094,-474595269.1917
Total shareholders equity,604129701.4925,-712333016.9277,-464481787.8392
Investments,85764477.6119,68863154.5642,81355971.5571
Net Debt,,,
Other Assets,23597850.7463,31794068.5018,
Other Liabilities,79240447.7612,104066286.98,154241184.1533
