Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,8744301.0,9000000.0,8899154.0,9000000.0,11578473.0,12000000.0,10199440.0,10000000.0,9826245.0,10000000.0,18884161.0,14578344.0,11293253.0,12742132.0,9324092.0
Short-term investments,5981520.0,6000000.0,17931941.0,18000000.0,8737107.0,9000000.0,13240086.0,13000000.0,22872051.0,23000000.0,100000.0,100000.0,1950000.0,2451620.0,175000.0
Cash and short-term investments,14725821.0,6000000.0,26831095.0,18000000.0,20315580.0,9000000.0,23439526.0,13000000.0,32698296.0,23000000.0,18984161.0,14678344.0,13243253.0,15193752.0,9499092.0
Receivables,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,18682.0,28023.0,0.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Total current assets,143258.0,0000000.0,152245.0,0000000.0,119435.0,0000000.0,143685.0,0000000.0,103777.0,0000000.0,261302.0,1143957.0,1526307.0,544140.0,2195038.0
Property, Plant & Equipment Net,112473.0,0000000.0,121460.0,0000000.0,88650.0,0000000.0,112900.0,0000000.0,78096.0,0000000.0,65172.0,52156.0,94542.0,123565.0,168978.0
Goodwill and Intangible Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,18682.0,0.0
Tax assets,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,145513.0,0.0
Total non-current assets,2327486.0,2000000.0,0.0,8000000.0,0.0,2000000.0,0.0,3000000.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0
Total assets,16042926.0,16000000.0,28287881.0,28000000.0,21043532.0,21000000.0,24805029.0,25000000.0,33533060.0,34000000.0,19556498.0,14919308.0,13689648.0,16216184.0,9989005.0
Payables,3152550.0,1000000.0,3233926.0,1000000.0,1882500.0,0000000.0,2661298.0,1000000.0,2459263.0,1000000.0,933758.0,851837.0,1185405.0,1820900.0,785904.0
Short-term debt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Total current liabilities,3152550.0,3000000.0,11519285.0,3000000.0,3985070.0,2000000.0,6029481.0,3000000.0,6952569.0,2000000.0,6931010.0,5385319.0,2983518.0,5820727.0,5086594.0
Long-term debt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Total debt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Deferred revenue,0.0,,375000.0,,450000.0,,525000.0,,600000.0,,833630.0,1626000.0,825000.0,900000.0,975000.0
Tax Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,2327486.0,2000000.0,0.0,8000000.0,0.0,2000000.0,0.0,3000000.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0
Total liabilities,5480036.0,5000000.0,11519285.0,12000000.0,3985070.0,4000000.0,6029481.0,6000000.0,6952569.0,7000000.0,6931010.0,5385319.0,2983518.0,5820727.0,5086594.0
Other comprehensive income,-17836.0,-0000000.0,-56886.0,-0000000.0,-6122.0,-0000000.0,-18041.0,-0000000.0,-33647.0,-0000000.0,0.0,0.0,0.0,-2340.0,0.0
Retained earnings (deficit),-154687242.0,-155000000.0,-140318712.0,-140000000.0,-115024209.0,-115000000.0,-105716864.0,-106000000.0,-91332308.0,-91000000.0,-72810707.0,-63311283.0,-57084613.0,-45739663.0,-31717556.0
Total shareholders equity,10562890.0,11000000.0,16768596.0,17000000.0,17058462.0,17000000.0,18775548.0,19000000.0,26580491.0,27000000.0,12625488.0,9533989.0,10706130.0,10395457.0,4902411.0
Investments,5981520.0,,17931941.0,,8737107.0,,13240086.0,,22872051.0,,100000.0,100000.0,1950000.0,2470302.0,175000.0
Net Debt,-14725821.0,-9000000,-26831095.0,-9000000,-20315580.0,-12000000,-23439526.0,-10000000,-32698296.0,-10000000,-18984161.0,-14678344.0,-13243253.0,-15193752.0,-9499092.0
Other Assets,1173847.0,0,1304541.0,1000000,608517.0,0,1221818.0,0,730987.0,0,311035.0,-902993.0,-1098594.0,450269.0,-1705125.0
Other Liabilities,0.0,3000000,8285359.0,9000000,2102570.0,3000000,3368183.0,3000000,4493306.0,5000000,5997252.0,4533482.0,1798113.0,3999827.0,4300690.0
