date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,723000000.0,161600000.0,-348200000.0,-18700000.0,162800000.0,-345000000.0,-27200000.0,-247900000.0,654300000.0,881500000.0,65000000.0,391000000.0,160900000.0,452500000.0,246100000.0,138500000.0,-206200000.0,111300000.0
,depreciationAndAmortization,661300000.0,610000000.0,668400000.0,771300000.0,679200000.0,594400000.0,677300000.0,568500000.0,729900000.0,745300000.0,389000000.0,631100000.0,433500000.0,400500000.0,388200000.0,269200000.0,274500000.0,0.0
,deferredIncomeTax,0.0,175600000.0,-65900000.0,0.0,0.0,12000000.0,-12600000.0,-59400000.0,291900000.0,0.0,0.0,358400000.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,20500000.0,37500000.0,0.0,0.0,10900000.0,26000000.0,40500000.0,77700000.0,66400000.0,27000000.0,53900000.0,33700000.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,371800000.0,-24600000.0,-16300000.0,-69400000.0,-2700000.0,76000000.0,108000000.0,-134100000.0,-159100000.0,-80300000.0,453000000.0,9300000.0,-120300000.0,-95500000.0,-632100000.0,-77900000.0,12400000.0,26000000.0
,accountsReceivables,0.0,-5600000.0,15000000.0,-2200000.0,2800000.0,0.0,0.0,0.0,0.0,0.0,-37000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,-56200000.0,800000.0,-55100000.0,-38600000.0,55600000.0,-22500000.0,-11000000.0,-93400000.0,-165200000.0,-25000000.0,-43400000.0,-60300000.0,-34000000.0,-31100000.0,-24100000.0,-26500000.0,5400000.0
,accountsPayables,0.0,37200000.0,-32100000.0,-12100000.0,33100000.0,-40700000.0,77700000.0,-121300000.0,86100000.0,62800000.0,58000000.0,-41700000.0,44900000.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496000000.0,0.0,0.0,0.0,-534600000.0,-54800000.0,0.0,0.0
,otherNonCashItems,0.0,109700000.0,2100000.0,-66000000.0,-78700000.0,-27800000.0,2600000.0,-20900000.0,-44900000.0,222600000.0,0.0,-60600000.0,51600000.0,104700000.0,4800000.0,27200000.0,0.0,-90400000.0
,netCashProvidedByOperatingActivites,0.0,845000000.0,557800000.0,762400000.0,917500000.0,580000000.0,743800000.0,346900000.0,1146900000.0,1907500000.0,0.0,1162900000.0,634900000.0,899000000.0,205200000.0,465400000.0,181900000.0,242400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-612500000.0,-814200000.0,-833600000.0,-649900000.0,-434500000.0,-480500000.0,-543700000.0,-1322800000.0,-1153000000.0,-593000000.0,-913100000.0,-760300000.0,-1154400000.0,-797000000.0,-255400000.0,-317700000.0,-417400000.0
,acquisitionsNet,0.0,53000000.0,-125000000.0,-1000000.0,-219000000.0,0.0,81000000.0,-200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,319000000.0,-8677000000.0,0.0,0.0
,purchasesOfInvestments,0.0,-13600000.0,-27000000.0,-96800000.0,-27600000.0,-10700000.0,-11500000.0,-28900000.0,-117100000.0,-82300000.0,-9000000.0,-25800000.0,-23200000.0,-146100000.0,-82700000.0,-163500000.0,-30400000.0,-102400000.0
,salesMaturitiesOfInvestments,0.0,122600000.0,500000.0,0.0,4400000.0,0.0,6400000.0,35000000.0,65400000.0,13700000.0,0.0,385800000.0,54300000.0,13700000.0,45300000.0,2800000.0,18600000.0,29300000.0
,otherInvestingActivites,0.0,0.0,40000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-7000000.0,0.0,0.0,-10700000.0,310900000.0,0.0,-11000000.0,1000000.0,-10500000.0
,netCashUsedForInvestingActivites,-8700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-388800000.0,-1642600000.0,-434400000.0,0.0,0.0,0.0,0.0,0.0,0.0,-654600000.0,-106000000.0,0.0,-892900000.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,151500000.0,0.0,0.0,800000.0,2000000.0,6500000.0,0.0,7400000.0,10700000.0,106000000.0,1412800000.0,30100000.0,3600000.0,219700000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11700000.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,-39200000.0,-15100000.0,-29800000.0,-61200000.0,-364200000.0,-216800000.0,-67000000.0,-118100000.0,-121200000.0,-142500000.0,-158200000.0,-61800000.0,-71800000.0,-92600000.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,-200000.0,-13800000.0,-10500000.0,-115700000.0,2900000.0,-1027600000.0,0.0,-38500000.0,0.0,0.0,-13000000.0,-36000000.0,17900000.0,0.0
,netCashUsedProvidedByFinancingActivities,-277500000.0,-104600000.0,257300000.0,84200000.0,37000000.0,-117200000.0,-168200000.0,69300000.0,115800000.0,-724600000.0,137000000.0,-176500000.0,215300000.0,-20200000.0,1931900000.0,78600000.0,-11400000.0,682200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
