date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-10-31_FY,1999-10-31_FY,1998-10-31_FY,1997-10-31_FY,1996-10-31_FY,1995-10-31_FY,1994-10-31_FY,1993-10-31_FY,1992-10-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,70149000.0,87224000.0,54989000.0,40054000.0,37636000.0,24527000.0,13947000.0,39997000.0,50516000.0,47785000.0,40092000.0,30048000.0,21375000.0,14956000.0,5325000.0,8027000.0,7711000.0,2348000.0,935000.0,-19464000.0,-32626000.0,7500000.0,6100000.0,2100000.0,8200000.0,9700000.0,6600000.0,4300000.0,-7400000.0
,depreciationAndAmortization,46760000.0,42984000.0,57596000.0,50070000.0,45046000.0,50598000.0,53598000.0,58068000.0,54836000.0,22435000.0,15908000.0,13567000.0,11967000.0,10558000.0,9713000.0,2319000.0,2251000.0,2555000.0,2518000.0,2550000.0,6086000.0,4600000.0,5500000.0,5100000.0,3300000.0,3000000.0,2100000.0,1800000.0,4500000.0
,deferredIncomeTax,-6681000.0,7290000.0,-3504000.0,-20409000.0,-7368000.0,-14020000.0,-12290000.0,-4354000.0,-6323000.0,-10233000.0,2316000.0,3111000.0,32000.0,3445000.0,3163000.0,0.0,0.0,0.0,0.0,0.0,-2247000.0,4200000.0,4000000.0,-1600000.0,-400000.0,1200000.0,1000000.0,0.0,2000000.0
,stockBasedCompensation,24044000.0,21901000.0,21507000.0,24143000.0,13277000.0,14297000.0,13356000.0,11997000.0,9116000.0,8376000.0,7544000.0,6373000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-38853000.0,-32591000.0,128717000.0,-77511000.0,29562000.0,21645000.0,27202000.0,-6468000.0,35675000.0,22316000.0,33579000.0,43214000.0,33643000.0,11846000.0,-27271000.0,8388000.0,10833000.0,-3495000.0,-1355000.0,8228000.0,-11320000.0,-1000000.0,-18000000.0,3300000.0,-11700000.0,-5200000.0,-6600000.0,1000000.0,-400000.0
,accountsReceivables,-39977000.0,-16292000.0,-17312000.0,-6976000.0,-3554000.0,-12045000.0,5769000.0,-21899000.0,-36382000.0,-24551000.0,-9657000.0,-16593000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-4677000.0,4744000.0,0.0,0.0,0.0,-250000.0,0.0,0.0,0.0,-218000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-1269000.0,296093000.0,328684000.0,199967000.0,277478000.0,247916000.0,226271000.0,199069000.0,205537000.0,169862000.0,147546000.0,113967000.0,70753000.0,37110000.0,25264000.0,52535000.0,44147000.0,33314000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,3629000.0,-5781000.0,-7907000.0,-607000.0,2083000.0,2084000.0,1567000.0,35000.0,-2300000.0,47512000.0,470000.0,0.0,2994000.0,2173000.0,1674000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1500000.0,100000.0,2300000.0,0.0,200000.0,0.0,7800000.0
,netCashProvidedByOperatingActivites,99048000.0,133232000.0,96457000.0,86464000.0,88639000.0,70716000.0,98761000.0,101181000.0,83039000.0,56729000.0,61925000.0,32842000.0,30869000.0,26598000.0,17935000.0,10454000.0,6984000.0,1745000.0,308000.0,11097000.0,-10532000.0,16000000.0,-3100000.0,8400000.0,5900000.0,8700000.0,3300000.0,9500000.0,6500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-11253000.0,-8276000.0,-11264000.0,-17318000.0,-13703000.0,-8620000.0,-22687000.0,-22127000.0,-25222000.0,-20334000.0,-27512000.0,-10636000.0,-6900000.0,-9200000.0,-3334000.0,-5040000.0,-3674000.0,-801000.0,-3429000.0,-2246000.0,-2552000.0,-6700000.0,-1300000.0,-2500000.0,-4400000.0,-1500000.0,-2600000.0,-3600000.0,-1300000.0
,acquisitionsNet,2000000.0,-186000000.0,0.0,-171000000.0,-21000000.0,0.0,0.0,0.0,-12000000.0,-351000000.0,-26000000.0,-13000000.0,-4000000.0,-16000000.0,-81000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1657000.0,0.0,0.0,-59450000.0,-72350000.0,-22500000.0,0.0,0.0,0.0,0.0,-3100000.0,0.0,-1000000.0,0.0,-7300000.0,-9600000.0,-100000.0,-100000.0
,salesMaturitiesOfInvestments,0.0,9776000.0,0.0,0.0,2496000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96950000.0,57350000.0,100000.0,1000000.0,2964000.0,3415000.0,11224000.0,0.0,3300000.0,0.0,2100000.0,1800000.0,0.0,0.0,0.0
,otherInvestingActivites,-3388000.0,-7421000.0,0.0,0.0,0.0,0.0,0.0,-500000.0,1785000.0,-4809000.0,0.0,-7500000.0,0.0,0.0,4229000.0,-630000.0,-409000.0,0.0,0.0,-1198000.0,-3772000.0,-4300000.0,-3100000.0,-5800000.0,-100000.0,-8100000.0,-600000.0,0.0,0.0
,netCashUsedForInvestingActivites,-29748000.0,-205059000.0,-30413000.0,-204364000.0,-39201000.0,-11817000.0,-26201000.0,-26283000.0,-38074000.0,-375721000.0,-53661000.0,-23160000.0,-11396000.0,-24827000.0,-42755000.0,-18670000.0,-26483000.0,199000.0,-465000.0,3519000.0,4900000.0,-14100000.0,-1100000.0,-9300000.0,-2400000.0,-15100000.0,-12800000.0,-3700000.0,-1400000.0
