date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,4770527000.0,1586000000.0,8928258000.0,543852000000.0,4085000000.0,3420000000.0,4936000000.0,3715000000.0,4453573000.0,4362000000.0,2398000.0,3162281000.0,3501664000.0,3340446000.0,2816000.0,2542000.0,2181000.0,1588000.0,457000.0,930828930.6,928455722.62,488462512.6,550214280.0
,depreciationAndAmortization,11227498000.0,10919792000000.0,8368623000.0,7853734000000.0,7654406000.0,6814951000000.0,5295589000000.0,5643310000.0,1360703000.0,0.0,0.0,2505475000.0,2657903000.0,2634384000.0,2641554000.0,2675136000.0,2736811000.0,2820912000.0,3733462000.0,3324298136.4,2948906392.05,2379725234.2,1517378380.0
,deferredIncomeTax,673905000.0,0.0,1098251000.0,0.0,985176000.0,0.0,0.0,660771000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-166892947.5,-461411580.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-138017000.0,0.0,-10350586000.0,-6000000.0,-3408540000.0,-1000000.0,0.0,-2032891000.0,2000000.0,-1675064000000.0,1673644233000.0,-1594555000.0,250773000.0,4753321000.0,-427250000.0,-1264019000.0,-316562000.0,1834874000.0,0.0,-1137954867.6,-1323834917.92,-267867003.4,176638840.0
,accountsReceivables,-1142973000.0,1682348000000.0,-1603002000.0,1481015000000.0,-1739550000.0,1230675000000.0,896336000000.0,-1160903000.0,0.0,0.0,0.0,-385055000.0,-830435000.0,-206524000.0,-826158000.0,-502541000.0,-685553000.0,-889026000.0,-571857000.0,0.0,0.0,0.0,0.0
,inventory,61783000.0,-95988000000.0,-68127000.0,-45089000000.0,230116000.0,-35692000000.0,-29062000000.0,-111905000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,287273000.0,286513000000.0,1056817000.0,121577000000.0,-434334000.0,265072000000.0,-234967000000.0,-490538000.0,0.0,0.0,0.0,80213000.0,263970000.0,0.0,89366000.0,323170000.0,57636000.0,213144000.0,-189579000.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-944812000.0,-25000000.0,-3657996000.0,-25000000.0,-247616000.0,-19000000.0,-18000000.0,433284000.0,-18000000.0,-20000000.0,1675044000000.0,1399767000.0,2994322000.0,2743549000.0,-2009772000.0,-1582522000.0,-318503000.0,-1941000.0,-1836815000.0,-375255812.4,0.0,0.0,0.0
,otherNonCashItems,1078055000.0,0.0,403375000.0,0.0,1049550000.0,0.0,0.0,593863000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1798.9,-120820.0
,netCashProvidedByOperatingActivites,19341750000.0,17721196000000.0,11941427000.0,12641060000000.0,11440825000.0,9897205000000.0,9384219000000.0,9576280000.0,0.0,0.0,0.0,4413403000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3769262427.9,2641997605.83,2686241604.1,2138514000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4653708000.0,-2126465000.0,0.0,-2102596612.47,-1991415246.08,-1716726475.0,-1673691000.0,-1339260361.28,-1315888529.79,-1568749109.04,-4478478914.1,-4217364433.97,-2859788682.7,-2593763760.0
,acquisitionsNet,0.0,-70844000000.0,0.0,-206649000000.0,0.0,-2604000000.0,0.0,0.0,-4549100000000.0,-4653708000000.0,-2126465000.0,-2324141000.0,-2102438000.0,-417415000.0,-92000000.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-279438735.9,-167351667.0,-2658040.0
,salesMaturitiesOfInvestments,116411000.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248486.1,172124589.86,0.0,0.0
,otherInvestingActivites,811808000.0,0.0,2832062000.0,0.0,-202525000.0,0.0,0.0,-145590000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55537804.5,580776686.39,0.0,-32258940.0
,netCashUsedForInvestingActivites,-6408456000.0,-7927188000.0,-5676333000.0,-8438222000.0,-6894572000.0,-14625707000.0,-7607642000.0,-5543799000.0,-3397253000.0,-2028835000.0,-1658711000.0,-2295901000.0,-2074795897.56,-2270051463.68,-1880963095.0,-1665160000.0,-1415501989.48,-1273130310.39,-1613619867.36,-4525712173.8,-3738549445.57,-3001401688.5,-2609349540.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-5297688000.0,-102205000000.0,-2893219000.0,-689493000000.0,-2171100000.0,-397070000000.0,-782860000000.0,-2336023000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11699.34,0.0,0.0
,commonStockRepurchased,-22721000.0,0.0,0.0,0.0,-164000.0,0.0,0.0,-289000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
