date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,351100000.0,656000000.0,618900000.0,579000000.0,608500000.0,454600000.0,477100000.0,267900000.0,446700000.0,532300000.0,261100000.0,121300000.0,295000000.0,167600000.0,-31700000.0,-262900000.0,-538400000.0,-451700000.0,99500000.0,-534500000.0,358658000.0,321900000.0,309900000.0,239100000.0,205200000.0,129800000.0,93400000.0
,depreciationAndAmortization,290600000.0,278500000.0,202900000.0,157100000.0,160200000.0,157000000.0,163000000.0,157400000.0,147700000.0,150900000.0,148400000.0,169900000.0,173300000.0,287700000.0,260500000.0,220200000.0,239400000.0,277900000.0,300500000.0,451300000.0,299541000.0,215900000.0,179100000.0,130800000.0,103500000.0,91200000.0,75600000.0
,deferredIncomeTax,-46400000.0,9700000.0,14100000.0,1100000.0,45700000.0,49500000.0,83500000.0,69400000.0,103600000.0,83900000.0,56000000.0,89200000.0,51900000.0,-22400000.0,-57900000.0,44600000.0,128200000.0,71500000.0,55000000.0,-191200000.0,-31546000.0,10700000.0,-12900000.0,12700000.0,4100000.0,-18500000.0,-16600000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,758300000.0,-708700000.0,273100000.0,53900000.0,-376800000.0,-238100000.0,428200000.0,-1117900000.0,782400000.0,-458400000.0,-19500000.0,121500000.0,45400000.0,19400000.0,-95100000.0,567400000.0,-651700000.0,1492700000.0,-689200000.0,1727000.0,-210927000.0,12400000.0,-155600000.0,119600000.0,6800000.0,67600000.0,92100000.0
,accountsReceivables,551400000.0,-111200000.0,-603800000.0,37600000.0,-220700000.0,-236100000.0,-20100000.0,-157100000.0,-44700000.0,-219200000.0,-547600000.0,179500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-27000000.0,546000000.0,428700000.0,311900000.0,-126100000.0,400900000.0,-177100000.0,417700000.0,-120400000.0,-62900000.0,646300000.0,-173000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-79800000.0,-649700000.0,59000000.0,-214100000.0,-268000000.0,108800000.0,346900000.0,-81300000.0,1036600000.0,254200000.0,712600000.0,732100000.0,610600000.0,565200000.0,545800000.0,640900000.0,73500000.0,725200000.0,-767500000.0,-78300000.0,-80027000.0,130900000.0,118500000.0,274100000.0,154500000.0,147700000.0,80100000.0
,otherNonCashItems,364000000.0,99400000.0,89900000.0,100500000.0,126700000.0,99700000.0,72400000.0,54900000.0,58600000.0,38600000.0,35600000.0,32700000.0,148800000.0,8900000.0,109500000.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,100000.0,16600000.0,-300000.0,-9600000.0,-8200000.0
,netCashProvidedByOperatingActivites,1847200000.0,1529200000.0,565100000.0,881800000.0,513400000.0,674000000.0,669500000.0,592900000.0,357200000.0,273500000.0,817300000.0,540800000.0,865300000.0,298100000.0,9000000.0,-20200000.0,455500000.0,502000000.0,873800000.0,148500000.0,300179000.0,562300000.0,504700000.0,277100000.0,249000000.0,164400000.0,285300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-138400000.0,-147600000.0,-127800000.0,-140700000.0,-194000000.0,-159600000.0,-183200000.0,-268000000.0,-201871000.0,-400100000.0,-258500000.0,-177000000.0,-79100000.0,-69600000.0,-55900000.0
,acquisitionsNet,-5000000.0,-1000000.0,-2310000000.0,-31000000.0,-52000000.0,-29000000.0,-68000000.0,-59000000.0,-38000000.0,-63000000.0,-62000000.0,-72000000.0,-78000000.0,-82000000.0,61000000.0,38000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,-600000.0,0.0,0.0,-700000.0,-4700000.0,-11600000.0,-195500000.0,-745800000.0,-875500000.0,-423900000.0,-1407000000.0,-115500000.0,-70300000.0,-109100000.0,-3191000.0,-9100000.0,0.0,0.0,0.0,-8500000.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,94800000.0,133500000.0,0.0,168200000.0,5600000.0,702700000.0,1045600000.0,760900000.0,1191400000.0,180700000.0,101800000.0,122100000.0,0.0,0.0,3900000.0,200000.0,1000000.0,0.0,5200000.0
,otherInvestingActivites,-43800000.0,37400000.0,-4600000.0,-9700000.0,-11200000.0,-1100000.0,2100000.0,10000000.0,9700000.0,11800000.0,800000.0,1200000.0,2100000.0,4700000.0,0.0,0.0,0.0,376700000.0,-66800000.0,-149800000.0,-190016000.0,57900000.0,-16600000.0,-8300000.0,5300000.0,-78200000.0,-55000000.0
,netCashUsedForInvestingActivites,-216200000.0,-161700000.0,-2491500000.0,-196200000.0,-263900000.0,-202800000.0,-200800000.0,-224500000.0,-210200000.0,-58800000.0,-108500000.0,29400000.0,-404300000.0,-267800000.0,11600000.0,166400000.0,-544600000.0,84500000.0,-477100000.0,-696500000.0,-944603000.0,-351300000.0,-243700000.0,-71800000.0,-72800000.0,-154600000.0,-71600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
