date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,17483000000.0,2223000000.0,-6530000000.0,-35206000000.0,1716000000.0,13549000000.0,11568000000.0,12005000000.0,5775000000.0,12194000000.0,11146000000.0,3672000000.0,11273000000.0,21874576800.0,26177473500.0,24299778300.0,19147228840.0,-10832180370.0,-19051263840.0,-21259212720.0,21170059000.0,12119249870.0,13049054360.0,12004169720.0,7104984330.0,5388738940.0,3944214150.0,2835567000.0,478639000.0,892157250.0
,depreciationAndAmortization,8674000000.0,8599000000.0,7221000000.0,8451000000.0,8886000000.0,10223000000.0,9927000000.0,10155000000.0,9546000000.0,9036000000.0,8962000000.0,3550000000.0,8114000000.0,8567218800.0,7225611000.0,5703576600.0,4826752750.0,8388290970.0,6553217580.0,7743005520.0,11012228000.0,7375453540.0,6082530000.0,5783610560.0,4656412770.0,3780931700.0,3205277400.0,2651363500.0,2190993000.0,1875703500.0
,deferredIncomeTax,6123000000.0,1652000000.0,-1897000000.0,-9805000000.0,-6200000000.0,-2835000000.0,-1235000000.0,-1323000000.0,-1140000000.0,0.0,351000000.0,-1011000000.0,1032000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-655131000.0,-149884000.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-3605000000.0,2807000000.0,7788000000.0,26081000000.0,6003000000.0,-3687000000.0,-3641000000.0,-4613000000.0,3016000000.0,-15200000000.0,2858000000.0,3493000000.0,-1985000000.0,-10114887200.0,-13966327500.0,-18477046200.0,-5585718010.0,27299682180.0,10768483530.0,33989593920.0,-20087822800.0,-5382548080.0,-6358271360.0,-3733924400.0,-2785594050.0,-6879903940.0,1994757900.0,-1272754500.0,-1150289000.0,516570750.0
,accountsReceivables,-3185000000.0,10995000000.0,-2047000000.0,1380000000.0,5933000000.0,7000000000.0,1182000000.0,-8504000000.0,-1103000000.0,-1700000000.0,4406000000.0,7668000000.0,-11434000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,384000000.0,261000000.0,-4807000000.0,3995000000.0,-613000000.0,-366000000.0,-2924000000.0,4868000000.0,2752000000.0,-3243000000.0,-7917000000.0,5207000000.0,-3927000000.0,-446816400.0,-2547403500.0,-3662045700.0,-3455289210.0,2285755380.0,8613048570.0,20096190240.0,-18435988600.0,715401960.0,-2059950160.0,-3416143600.0,1114237620.0,-7170184060.0,955047900.0,-3564046000.0,-1102213000.0,202281750.0
,accountsPayables,4303000000.0,-372000000.0,2436000000.0,2413000000.0,2775000000.0,-2676000000.0,1265000000.0,-2158000000.0,-1311000000.0,-1648000000.0,5964000000.0,-3522000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-5477000000.0,-7219000000.0,11121000000.0,17495000000.0,-1142000000.0,-8469000000.0,-2454000000.0,-628000000.0,3937000000.0,-8609000000.0,405000000.0,-5860000000.0,13376000000.0,-2188752800.0,-2069338500.0,0.0,1351490770.0,12895110540.0,-5553721530.0,0.0,949330000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,-256000000.0,1891000000.0,1220000000.0,607000000.0,3172000000.0,3245000000.0,2057000000.0,-220000000.0,646000000.0,3736000000.0,947000000.0,571000000.0,1669000000.0,-6728148400.0,-2308371000.0,0.0,6657590.0,0.0,8691270.0,0.0,0.0,723918650.0,-5733798280.0,-349558880.0,0.0,662740.0,742650.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,28933000000.0,16873000000.0,9342000000.0,9601000000.0,14010000000.0,20597000000.0,18702000000.0,17389000000.0,22031000000.0,9982000000.0,26583000000.0,24476000000.0,24000000000.0,19245483200.0,18432820500.0,16657938900.0,22629148410.0,22850365890.0,-10107947010.0,-681049200.0,-10926788300.0,12911302040.0,7396356480.0,14975420200.0,9292191510.0,2795437320.0,9440566800.0,5351903500.0,1482579000.0,3576430500.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-4493000000.0,-5118000000.0,-3975000000.0,-3877000000.0,-6129000000.0,-8338000000.0,-5322000000.0,-4503000000.0,-5429000000.0,-4994000000.0,-3686000000.0,-4006000000.0,-4133000000.0,-4325700800.0,-3817690500.0,-3360185100.0,-2469965890.0,-1804165410.0,-2746441320.0,-8298322560.0,-12379263200.0,-9078791540.0,-8969704240.0,-7269235800.0,-6286501140.0,-6363629480.0,-4901490000.0,-4345035500.0,-3843252000.0,-3607636500.0
,acquisitionsNet,0.0,-159000000.0,-148000000.0,32000000.0,-73000000.0,-261000000.0,-643000000.0,-412000000.0,-307000000.0,-483000000.0,-394000000.0,-2311000000.0,283000000.0,-3879000000.0,0.0,-128000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3016000000.0,0.0,0.0,395011600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-315063000.0,0.0,-951783000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3503299600.0,6160209000.0,6370847400.0,0.0,0.0,2711676240.0,5322661440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82719000.0,0.0
