date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY,1994-06-30_FY,1993-06-30_FY,1992-06-30_FY,1991-06-30_FY,1990-06-30_FY,1989-06-30_FY
,acquisitionsNet,0.0,-126000000.0,-612000000.0,147000000.0,162000000.0,-90000000.0,24000000.0,119000000.0,-266000000.0,-776000000.0,-78000000.0,-67000000.0,15000000.0,-430000000.0,563000000.0,-417000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-3905100000.0,-4422600000.0,-4876800000.0,-4382800000.0,-5876300000.0,-5047600000.0,-3414900000.0,-4902600000.0,-5113500000.0,-4770900000.0,-3846700000.0,-2947600000.0,-6407200000.0,-4449100000.0,-5846500000.0,-11365000000.0,-8087150000.0,-3451554000.0,-4597320000.0,-3973434000.0,-7372892000.0,-608300000.0,-618400000.0,-1395200000.0,-1014200000.0,-154700000.0,-117900000.0,-268300000.0,-141300000.0,-4300000.0,-54500000.0,0.0
,salesMaturitiesOfInvestments,7648400000.0,2909000000.0,3455000000.0,3593600000.0,5215400000.0,3841000000.0,2059500000.0,3638600000.0,3962200000.0,3305100000.0,3406900000.0,3320400000.0,5140600000.0,4878600000.0,6319100000.0,6629100000.0,6003041000.0,5515586000.0,4167028000.0,3087406000.0,4001848000.0,277000000.0,550400000.0,1362100000.0,1208300000.0,0.0,0.0,0.0,0.0,0.0,0.0,129300000.0
,otherInvestingActivites,0.0,0.0,0.0,6843600000.0,-8218200000.0,-3140600000.0,2537800000.0,-160300000.0,4838600000.0,-4834200000.0,-1637600000.0,-721700000.0,4143000000.0,784300000.0,-162000000.0,4911300000.0,1237726000.0,-1105916000.0,-182198000.0,688367000.0,3327072000.0,-51800000.0,-82200000.0,-91100000.0,-583900000.0,-146100000.0,-105600000.0,-81800000.0,-348700000.0,-89600000.0,-51000000.0,-52700000.0
,netCashUsedForInvestingActivites,3156300000.0,-2197700000.0,-2504600000.0,5730400000.0,-9087200000.0,-3743600000.0,813800000.0,-1577800000.0,3243600000.0,-7340600000.0,-2379400000.0,-644100000.0,2501500000.0,444100000.0,465300000.0,-437900000.0,-1318781000.0,177073000.0,-1080493000.0,-455834000.0,-370598000.0,-392100000.0,-687200000.0,-299500000.0,-547700000.0,-414700000.0,-321400000.0,-431400000.0,-537200000.0,-150500000.0,-93400000.0,33900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-2200000.0,-2100000.0,-7300000.0,-2000000.0,-1500000.0,-2175300000.0,-3300000.0,-17500000.0,-2000000.0,-5700000.0,-2900000.0,-21900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239700000.0,344200000.0,264100000.0,183500000.0,169208000.0,92816000.0,228113000.0,218178000.0,172589000.0,100400000.0,80500000.0,71300000.0,125600000.0,99400000.0,78000000.0,72800000.0,60600000.0,28200000.0,23300000.0,21200000.0
,commonStockRepurchased,-1006300000.0,-937700000.0,-989300000.0,-1259600000.0,-1155700000.0,-1557200000.0,-667300000.0,-647300000.0,-741300000.0,-732800000.0,-766400000.0,-580400000.0,-1504800000.0,-1900400000.0,-1299900000.0,-584400000.0,-629932000.0,-938545000.0,-875449000.0,-935064000.0,-201007000.0,-85400000.0,-40900000.0,-127700000.0,-245200000.0,-13100000.0,-129400000.0,-82500000.0,-12300000.0,-294600000.0,-166400000.0,-206600000.0
,dividendsPaid,-1470500000.0,-1293000000.0,-1063700000.0,-995200000.0,-943600000.0,-927600000.0,-883100000.0,-805500000.0,-739700000.0,-692400000.0,-673400000.0,-629400000.0,-548900000.0,-461300000.0,-393900000.0,-344900000.0,-308608000.0,-284605000.0,-276860000.0,-248453000.0,-212578000.0,-181100000.0,-152900000.0,-129800000.0,-112100000.0,-89200000.0,-76000000.0,-67200000.0,-57700000.0,-50600000.0,-46200000.0,-39900000.0
,otherFinancingActivites,-3461600000.0,1952200000.0,335100000.0,-6120600000.0,8817300000.0,6166200000.0,-3196600000.0,1386000000.0,-3720900000.0,1000000.0,200000.0,874900000.0,12500000.0,200000.0,7900000.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-900000.0,-2600000.0,66500000.0,20000000.0,-800000.0,2700000.0,4400000.0,20100000.0,16000000.0,19200000.0
,netCashUsedProvidedByFinancingActivities,-5890600000.0,-207700000.0,-1655900000.0,-8281700000.0,8790100000.0,1616700000.0,-2358200000.0,151000000.0,-4953900000.0,5339200000.0,89000000.0,468400000.0,-5270700000.0,-1884400000.0,-1348800000.0,-746500000.0,-770374000.0,-1130754000.0,-927757000.0,-987471000.0,-333146000.0,-363600000.0,-3200000.0,-143400000.0,-95500000.0,10900000.0,-129900000.0,-83200000.0,264600000.0,-348000000.0,-195500000.0,-228000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-34500000.0,-28800000.0,5800000.0,14700000.0,-11000000.0,-106300000.0,8000000.0,1200000.0,-41200000.0,41700000.0,-13600000.0,-39100000.0,41300000.0,15700000.0,9300000.0,13400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,257400000.0,254100000.0,-1639500000.0,-410700000.0,1551800000.0,-344300000.0,284500000.0,151000000.0,158700000.0,-253900000.0,-622000000.0,1347800000.0,-828600000.0,-139900000.0,925200000.0,262400000.0,-697220000.0,611408000.0,-476546000.0,47719000.0,366357000.0,98200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,7053600000.0,6796200000.0,6542100000.0,2780400000.0,3191100000.0,1639300000.0,1983600000.0,1699100000.0,1548100000.0,1389400000.0,1643300000.0,2265300000.0,917500000.0,1746100000.0,1900600000.0,975400000.0,712998000.0,1410218000.0,798810000.0,1275356000.0,1227637000.0,861300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,6796200000.0,6542100000.0,8181600000.0,3191100000.0,1639300000.0,1983600000.0,1699100000.0,1548100000.0,1389400000.0,1643300000.0,2265300000.0,917500000.0,1746100000.0,1886000000.0,975400000.0,713000000.0,1410218000.0,798810000.0,1275356000.0,1227637000.0,861280000.0,763100000.0,590600000.0,314400000.0,313600000.0,238600000.0,180800000.0,304000000.0,139100000.0,247900000.0,240500000.0,187000000.0
,operatingCashFlow,3026200000.0,2688300000.0,2515200000.0,2125900000.0,1859900000.0,1905600000.0,1821400000.0,1577200000.0,1910200000.0,1705800000.0,1682100000.0,1562600000.0,1786900000.0,1298000000.0,1812500000.0,1433400000.0,1391935000.0,1565089000.0,1531704000.0,1491024000.0,1070101000.0,853900000.0,852100000.0,719100000.0,644100000.0,478800000.0,509100000.0,391400000.0,437500000.0,389700000.0,296400000.0,247500000.0
,capitalExpenditure,-616400000.0,-566500000.0,-470800000.0,-470600000.0,-386000000.0,-335500000.0,-367700000.0,-282900000.0,-249600000.0,-277700000.0,-226700000.0,-253900000.0,-277600000.0,-322800000.0,-411000000.0,-196100000.0,-204085000.0,-133758000.0,-255420000.0,-185406000.0,-166012000.0,-285000000.0,-537000000.0,-175300000.0,-163500000.0,-117700000.0,-110700000.0,-87400000.0,-56400000.0,-70100000.0,-81700000.0,-139300000.0
,freeCashFlow,2409800000.0,2121800000.0,2044400000.0,1655300000.0,1473900000.0,1570100000.0,1453700000.0,1294300000.0,1660600000.0,1428100000.0,1455400000.0,1308700000.0,1509300000.0,975200000.0,1401500000.0,1237300000.0,1187850000.0,1431331000.0,1276284000.0,1305618000.0,904089000.0,568900000.0,315100000.0,543800000.0,480600000.0,361100000.0,398400000.0,304000000.0,381100000.0,319600000.0,214700000.0,108200000.0
