date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-200000000.0,756000000.0,978000000.0,833000000.0,-556000000.0,-273000000.0,930000000.0,-838414000.0,192285000.0,834489000.0,605208000.0,-52106000.0,220063000.0,372728000.0,739731000.0,534568000.0,312854000.0,410592000.0,26713000.0,99996000.0,152181000.0,-22500000.0,-746400000.0,-890700000.0
,depreciationAndAmortization,0.0,23000000.0,443000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387677000.0,241475000.0,201261000.0,519102000.0,542275000.0,370230000.0,210566000.0,222600000.0,214900000.0,236000000.0,337300000.0,212400000.0
,deferredIncomeTax,-52000000.0,236000000.0,274000000.0,-519000000.0,-379000000.0,-178000000.0,552000000.0,-222374000.0,85459000.0,188579000.0,248146000.0,-55712000.0,156948000.0,123819000.0,154911000.0,236586000.0,141072000.0,-75588000.0,2788000.0,-7600000.0,-10600000.0,0.0,18600000.0,-501300000.0
,stockBasedCompensation,72000000.0,100000000.0,85000000.0,79000000.0,89000000.0,90000000.0,84000000.0,70999000.0,62567000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-104000000.0,-1067000000.0,-120000000.0,-850000000.0,0.0,953000000.0,300672000.0,462763000.0,-451934000.0,39536000.0,383036000.0,253013000.0,21028000.0,121307000.0,59130000.0,-177291000.0,-7623000.0,-97138000.0,-155499000.0,54000000.0,-12000000.0,311000000.0,-371000000.0,20000000.0
,accountsReceivables,309000000.0,-227000000.0,-52000000.0,-122000000.0,-134000000.0,54000000.0,-29000000.0,-122914000.0,-28206000.0,-17925000.0,36653000.0,16293000.0,45446000.0,0.0,0.0,0.0,0.0,0.0,0.0,44000000.0,-7000000.0,-82000000.0,38000000.0,-40000000.0
,inventory,-20000000.0,-20000000.0,-70000000.0,-35000000.0,-32000000.0,8000000.0,-37000000.0,-39062000.0,33059000.0,-137401000.0,-26281000.0,-46708000.0,-82403000.0,-10901000.0,-48060000.0,-36948000.0,-14025000.0,-7734000.0,3023000.0,0.0,-1000000.0,1000000.0,-1000000.0,-10000000.0
,accountsPayables,-179000000.0,-7000000.0,321000000.0,134000000.0,58000000.0,-258000000.0,104000000.0,208692000.0,46038000.0,136296000.0,128927000.0,-65862000.0,65644000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-15000000.0,12000000.0,88000000.0,-123000000.0
,otherWorkingCapital,0.0,-305000000.0,762000000.0,882000000.0,1732000000.0,1732000000.0,779000000.0,478328000.0,15565000.0,467499000.0,427963000.0,44927000.0,-208086000.0,-229114000.0,-350421000.0,-409551000.0,-232260000.0,-224637000.0,-127499000.0,28000000.0,-26000000.0,-14000000.0,-325000000.0,46000000.0
,otherNonCashItems,318000000.0,177000000.0,704000000.0,120000000.0,139000000.0,96000000.0,153000000.0,44393000.0,89158000.0,-204572000.0,-204549000.0,189175000.0,231252000.0,48509000.0,95415000.0,0.0,0.0,10395000.0,0.0,129500000.0,117600000.0,91200000.0,618600000.0,1447000000.0
,netCashProvidedByOperatingActivites,2083000000.0,3115000000.0,3242000000.0,2090000000.0,1498000000.0,1248000000.0,2366000000.0,2145279000.0,1837577000.0,1529714000.0,1285023000.0,543059000.0,1025228000.0,775315000.0,754828000.0,1295310000.0,1104547000.0,763679000.0,332245000.0,475600000.0,430100000.0,255200000.0,314100000.0,228200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1602000000.0,-2988000000.0,-3520000000.0,-2365000000.0,-1857000000.0,-2110000000.0,-3243000000.0,-2638799000.0,-2758073000.0,-2290211000.0,-1195772000.0,-462585000.0,-1444330000.0,-2203866000.0,-1499314000.0,-1162882000.0,-652865000.0,-697998000.0,-626981000.0,-547300000.0,-297200000.0,-191500000.0,-538900000.0,-441400000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,-428000000.0,0.0,0.0,0.0,-297000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1000000.0,0.0,-669000000.0,-899000000.0,-2741000000.0,0.0,0.0,0.0,0.0,-89620000.0,-72864000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,624000000.0,1373000000.0,1465000000.0,902000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-65000000.0,-83000000.0,206000000.0,16000000.0,304000000.0,270000000.0,544000000.0,473945000.0,-201245000.0,819044000.0,313780000.0,-410985000.0,-1151410000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-1668000000.0,-2447000000.0,-2610000000.0,-1783000000.0,-3820000000.0,-1840000000.0,-2699000000.0,-2139804000.0,-3256410000.0,-1560787000.0,-954856000.0,-410985000.0,-1151410000.0,-1782992000.0,145515000.0,84734000.0,-1531521000.0,-662300000.0,-508131000.0,-422700000.0,-194500000.0,199000000.0,-517000000.0,-341200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-907000000.0,0.0,-450000000.0,-485000000.0,-455000000.0,0.0,-523000000.0,-1546771000.0,-612001000.0,-294883000.0,-475252000.0,-1175703000.0,-815272000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
