date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-2326946000.0,122985000.0,572430000.0,747181000.0,241975000.0,195290000.0,731554000.0,728652000.0,502036000.0,613371000.0,160127000.0,20654000.0,210206000.0,258148000.0,628728000.0,-90836000.0,-205586000.0,-48892000.0,-31713000.0
,depreciationAndAmortization,725502000.0,624878000.0,550596000.0,552368000.0,404730000.0,322629000.0,314119000.0,371051000.0,373199000.0,398039000.0,405558000.0,410547000.0,262848000.0,239241000.0,198883000.0,122065000.0,70980000.0,21941000.0,9246000.0
,deferredIncomeTax,562484000.0,174190000.0,-498654000.0,-310854000.0,6356000.0,6498000.0,-8086000.0,-19826000.0,-3655000.0,-10822000.0,18875000.0,-656000.0,-62822000.0,68152000.0,170321000.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,62254000.0,40372000.0,35040000.0,43971000.0,43722000.0,38475000.0,39196000.0,39537000.0,19648000.0,23881000.0,27168000.0,24336000.0,20328000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,1058806000.0,114140000.0,-734181000.0,-80572000.0,178459000.0,-73559000.0,-44114000.0,442279000.0,924442000.0,-526648000.0,-884164000.0,870055000.0,-309492000.0,412104000.0,169941000.0,133487000.0,-49895000.0,-553104000.0,11035000.0
,accountsReceivables,81646000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,27660000.0,-37907000.0,-5212000.0,-4372000.0,-36642000.0,-23613000.0,-6917000.0,-17749000.0,3644000.0,11168000.0,22169000.0,3265000.0,-49417000.0,-7565000.0,-21261000.0,-58934000.0,-2175000.0,-183000.0,-918000.0
,accountsPayables,-162475000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,1932259000.0,873453000.0,759313000.0,1493494000.0,1574066000.0,1395607000.0,1469166000.0,1513280000.0,1071001000.0,146559000.0,673207000.0,1557371000.0,687316000.0,996808000.0,584704000.0,414763000.0,281276000.0,331171000.0,884275000.0
,otherNonCashItems,0.0,34076000.0,163222000.0,128717000.0,1953000.0,-22592000.0,47115000.0,28403000.0,60679000.0,90072000.0,10270000.0,28458000.0,32584000.0,60794000.0,74251000.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,-1072425000.0,901070000.0,961489000.0,1876577000.0,970546000.0,572813000.0,1098317000.0,1676642000.0,1185718000.0,1515835000.0,1057312000.0,593956000.0,523183000.0,659172000.0,240766000.0,48475000.0,-114765000.0,-21774000.0,-10348000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,56215000.0,-1069293000.0,-1602386000.0,-949045000.0,-1240928000.0,-1925152000.0,-1345940000.0,-506786000.0,-240985000.0,-184146000.0,-283828000.0,-540929000.0,-1376771000.0,-1050586000.0,-702816000.0,-877074000.0,-1007993000.0,-414989000.0,-66255000.0
,acquisitionsNet,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-34098000.0,-229328000.0,-196750000.0,-253284000.0,-200258000.0,-222856000.0,0.0,-316533000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,359461000.0,200366000.0,144829000.0,247723000.0,200090000.0,146112000.0,216051000.0,101017000.0,0.0,0.0,0.0,0.0,0.0,499765000.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,695000.0,54213000.0,20374000.0,3872000.0,37254000.0,231756000.0,-94050000.0,-320650000.0,-60135000.0,-13034000.0,-11258000.0,31052000.0,-293734000.0,205216000.0,-43920000.0,-572365000.0,382481000.0,-795926000.0
,netCashUsedForInvestingActivites,-265759000.0,-1068598000.0,-1222810000.0,-957633000.0,-1288250000.0,-1891558000.0,-1114352000.0,-677580000.0,-344854000.0,-459100000.0,-296123000.0,-551080000.0,-1338999000.0,-1322739000.0,401809000.0,-421120000.0,-1547090000.0,-32502000.0,-854174000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-2035354000.0,-2930088000.0,-3032267000.0,-2959843000.0,-400707000.0,-3342106000.0,-199739000.0,-501400000.0,-1022847000.0,-201901000.0,-2551561000.0,-1855153000.0,-606011000.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,915240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2071798000.0,344250000.0,673305000.0,21790000.0,1404000.0,794997000.0,0.0,491844000.0
,commonStockRepurchased,-11533000.0,-66986000.0,-159544000.0,-17771000.0,-14017000.0,-7199000.0,-2062000.0,-15472000.0,-911000.0,-7629000.0,0.0,0.0,-440062000.0,-179277000.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-108777000.0,-566521000.0,-569781000.0,-320760000.0,-325217000.0,-499107000.0,-942928000.0,-1034986000.0,-955493000.0,-1033447000.0,-1192138000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,-40483000.0,-282569000.0,242857000.0,5587000.0,-224712000.0,-58682000.0,-57591000.0,-67454000.0,10994000.0,-61484000.0,-559258000.0,-13355000.0,-710344000.0,-606266000.0,-21008000.0,-72757000.0,36426000.0,116809000.0
