Date,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30
Cash and cash equivalents,3750436.0,12800000.0,12546890.0,28697323.0,13220494.0,5122895.0,0.0,0.0,422414.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,3750436.0,12800000.0,12546890.0,28697323.0,13220494.0,5122895.0,0.0,0.0,422414.0
Receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65122.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,3998434.0,13024363.0,13285008.0,29036036.0,13354021.0,5168245.0,0.0,0.0,607450.0
Property Plant & Equipment Net,15763.0,63757.0,198631.0,248753.0,104425.0,29755.0,0.0,0.0,24168.0
Goodwill and Intangible Assets,7611918.0,14828514.0,15949131.0,17073775.0,18551312.0,0.0,0.0,0.0,780407.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,7627681.0,14904514.0,16160005.0,17334771.0,18671123.0,575620.0,0.0,0.0,804575.0
Total assets,11626115.0,27928877.0,29445013.0,46370807.0,32025144.0,5743865.0,0.0,0.0,1412025.0
Payables,651781.0,4827525.0,4394068.0,1592348.0,351864.0,465686.0,0.0,0.0,338225.0
Short-term debt,73217.0,106387.0,87798.0,48063.0,43899.0,14051.0,0.0,0.0,68601.0
Total current liabilities,724998.0,4933912.0,4481866.0,3880014.0,5273122.0,479737.0,0.0,0.0,1794482.0
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,73217.0,106387.0,87798.0,48063.0,43899.0,14051.0,0.0,0.0,68601.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total liabilities,724998.0,5083912.0,4481866.0,3880014.0,5273122.0,479737.0,0.0,0.0,1794482.0
Other comprehensive income,132220977,130927953,109237551,100999173,70063045,26890902,0.0,0.0,0.0
Retained earnings (deficit),-121325507.0,-108088607.0,-84277611.0,-58511413.0,-43313548.0,-21628748.0,0.0,0.0,-21973993.0
Total shareholders equity,10901117.0,22844965.0,24963147.0,42490793.0,26752022.0,5264128.0,0.0,0.0,-382457.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,-3677219.0,-12693613.0,-12459092.0,-28649260.0,-13176595.0,-5108844.0,0.0,0.0,-353813.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119914.0
Other Liabilities,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,1387656.0
