date,,2020-12-26_FY,2019-12-28_FY,2018-12-29_FY,2017-12-30_FY,2016-12-31_FY,2015-12-26_FY,2014-12-27_FY,2013-12-28_FY,2012-12-29_FY,2011-12-31_FY,2010-12-25_FY,2009-12-26_FY,2008-12-27_FY,2007-12-29_FY,2006-12-30_FY,2005-12-31_FY,2004-12-25_FY,2003-12-27_FY,2002-12-28_FY,2001-12-29_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,992324000.0,952486000.0,694080000.0,709007000.0,517724000.0,456227000.0,364211000.0,612400000.0,542400000.0,520900000.0,584600000.0,704000000.0,732800000.0,855000000.0,514100000.0,311200000.0,205700000.0,178600000.0,142800000.0,113400000.0
,depreciationAndAmortization,78121000.0,106175000.0,96194000.0,86252000.0,86340000.0,78360000.0,77015000.0,78800000.0,90400000.0,94500000.0,94700000.0,96500000.0,78400000.0,64000000.0,44400000.0,43600000.0,34600000.0,20100000.0,16200000.0,10800000.0
,deferredIncomeTax,6931000.0,-88358000.0,38978000.0,-90000000.0,3745000.0,5897000.0,89828000.0,7900000.0,-32100000.0,-42500000.0,-500000.0,-25100000.0,50900000.0,-57800000.0,-35100000.0,8800000.0,-8000000.0,-4200000.0,-600000.0,-2000000.0
,stockBasedCompensation,80885000.0,63400000.0,56391000.0,44735000.0,41250000.0,26290000.0,24293000.0,22592000.0,29274000.0,40212000.0,40332000.0,43616000.0,38872000.0,22164000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,483217000.0,277862000.0,190032000.0,73742000.0,135192000.0,-132626000.0,-212585000.0,63200000.0,-70900000.0,-131800000.0,119600000.0,205000000.0,-25700000.0,699500000.0,225700000.0,145000000.0,25200000.0,43700000.0,88100000.0,-34300000.0
,accountsReceivables,-108859000.0,-123401000.0,5167000.0,-40088000.0,9000000.0,22473000.0,-27398000.0,38589000.0,9077000.0,169543000.0,129698000.0,-131978000.0,206101000.0,-477108000.0,-230111000.0,-61607000.0,-27400000.0,-24400000.0,-10300000.0,-15300000.0
,inventory,28726000.0,-170169000.0,-82316000.0,-38575000.0,-2455000.0,-121718000.0,-76491000.0,-17593000.0,3997000.0,-6385000.0,5753000.0,61323000.0,24461000.0,34975000.0,23245000.0,14755000.0,-58200000.0,-39300000.0,3600000.0,28800000.0
,accountsPayables,1447000.0,26192000.0,40628000.0,-17240000.0,-11496000.0,36079000.0,8981000.0,18043000.0,-38929000.0,-26329000.0,-81354000.0,38875000.0,-236287000.0,174781000.0,10187000.0,24127000.0,-13000000.0,-8300000.0,-13600000.0,3700000.0
,otherWorkingCapital,2505134000.0,2021917000.0,1744055000.0,1554023000.0,1480281000.0,1345089000.0,1477715000.0,1690300000.0,1627100000.0,1698000000.0,1829800000.0,1710200000.0,1505200000.0,1530900000.0,831400000.0,605700000.0,460700000.0,435500000.0,391800000.0,303700000.0
,otherNonCashItems,0.0,81031000.0,97231000.0,99269000.0,83644000.0,84704000.0,50024000.0,-1700000.0,81700000.0,70600000.0,106500000.0,108300000.0,60800000.0,55300000.0,32000000.0,2200000.0,27300000.0,17300000.0,2200000.0,-400000.0
,netCashProvidedByOperatingActivites,1135267000.0,698549000.0,919520000.0,660842000.0,705682000.0,280467000.0,522711000.0,630100000.0,684700000.0,822300000.0,770600000.0,1094500000.0,862200000.0,682100000.0,361900000.0,247000000.0,208900000.0,173500000.0,161900000.0,130000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1799000.0,-118031000.0,-155755000.0,-139696000.0,-90960000.0,-80592000.0,-73339000.0,-56083000.0,-38445000.0,-38366000.0,-32232000.0,-49199000.0,-119623000.0,560000.0,67000.0,37000.0,-79900000.0,-33400000.0,-12500000.0,-27700000.0
,acquisitionsNet,-148648000.0,-300289000.0,-29170000.0,-90471000.0,-77945000.0,-38687000.0,-18871000.0,-5680000.0,-7697000.0,-54190000.0,-12120000.0,0.0,-60000000.0,-128751000.0,-36000000.0,-1000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1052640000.0,-789352000.0,-403181000.0,-74523000.0,-93233000.0,-131413000.0,-1006482000.0,-909151000.0,-1448338000.0,-1194855000.0,-694038000.0,-776966000.0,-373580000.0,-1672041000.0,-453085000.0,-59106000.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,1096676000.0,833491000.0,985598000.0,779213000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,756926000.0,-122578000.0,110154000.0,140601000.0,138713000.0,133348000.0,-137019000.0,12654000.0,20000000.0,181475000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-260524000.0,-450746000.0,-307503000.0,-194383000.0,-121683000.0,-111979000.0,131332000.0,-274400000.0,-496200000.0,-488200000.0,-72900000.0,-547900000.0,-56300000.0,-175700000.0,-226400000.0,-91200000.0,-184300000.0,-48700000.0,-127500000.0,-158400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-248000.0,-11000.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3712000.0,9029000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,1236000.0,9987000.0,-65436000.0,-81916000.0,-119926000.0,-239463000.0,-59700000.0,4100000.0,0.0,-216500000.0,-12800000.0,-659900000.0,9200000.0,-34400000.0,-17000000.0,2900000.0,4300000.0,2100000.0,-8300000.0
,dividendsPaid,-450631000.0,-417264000.0,-296148000.0,-382976000.0,-481452000.0,-378117000.0,-360075000.0,-351700000.0,-253400000.0,-310800000.0,-298900000.0,-149800000.0,-150300000.0,-162500000.0,-107900000.0,-54000000.0,-54100000.0,-54000000.0,0.0,0.0
