date,,2021-01-02_FY,2019-12-28_FY,2018-12-29_FY,2017-12-30_FY,2016-12-31_FY,2016-01-02_FY,2015-01-03_FY,2013-12-28_FY,2012-12-29_FY,2011-12-31_FY,2011-01-01_FY,2010-11-27_FY,2009-11-28_FY,2008-11-29_FY,2007-11-24_FY,2006-11-25_FY,2005-11-26_FY,2004-11-27_FY,2003-11-29_FY,2002-11-30_FY,2001-11-24_FY,2000-11-25_FY,1999-11-27_FY,1998-11-28_FY,1997-11-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,24507000.0,20747000.0,22492000.0,7624000.0,12888000.0,7657000.0,13638000.0,11400000.0,-53000000.0,16851000.0,-600000.0,2600000.0,7800000.0,8700000.0,32600000.0,27400000.0,24600000.0,16300000.0,11400000.0,8436000.0,7400000.0,8800000.0,9000000.0,6400000.0,5000000.0
,depreciationAndAmortization,12840000.0,10606000.0,9942000.0,8859000.0,7875000.0,6542000.0,6438000.0,6460000.0,5840000.0,5103000.0,650000.0,5710000.0,7830000.0,9390000.0,10160000.0,10280000.0,8120000.0,5130000.0,3760000.0,2968000.0,3370000.0,2140000.0,2120000.0,950000.0,700000.0
,deferredIncomeTax,1114000.0,-1159000.0,-829000.0,1651000.0,8399000.0,-1710000.0,-1431000.0,3920000.0,-9880000.0,-8739000.0,490000.0,3290000.0,7050000.0,-4260000.0,3240000.0,2460000.0,3960000.0,1430000.0,-2270000.0,-292000.0,-1130000.0,720000.0,-790000.0,-1100000.0,100000.0
,stockBasedCompensation,3235000.0,3461000.0,4819000.0,6616000.0,6867000.0,5791000.0,5619000.0,3035000.0,4947000.0,5769000.0,0.0,6572000.0,6824000.0,6750000.0,5549000.0,4649000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,164649000.0,-25976000.0,-23657000.0,-14111000.0,22075000.0,-1920000.0,-18744000.0,-27500000.0,-5151000.0,7151000.0,1200000.0,-51400000.0,7600000.0,-6500000.0,-10400000.0,11600000.0,47100000.0,22300000.0,41291000.0,-3391000.0,-1700000.0,4800000.0,5100000.0,25200000.0,-1900000.0
,accountsReceivables,-479000.0,-12759000.0,-14427000.0,-14358000.0,-8801000.0,-3438000.0,1929000.0,9917000.0,10271000.0,-12545000.0,11500000.0,-92000.0,10270000.0,16188000.0,-14743000.0,-5489000.0,-8299000.0,-4079000.0,-5367000.0,0.0,-7800000.0,-2900000.0,-10100000.0,-1600000.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,25336000.0,16194000.0,18786000.0,23415000.0,0.0,-515000.0,8152000.0,11114000.0,-13411000.0,0.0,2400000.0,-5510000.0,-23274000.0,1990000.0,6827000.0,19376000.0,7939000.0,15683000.0,11846000.0,0.0,-2000000.0,-400000.0,-1100000.0,-1600000.0,0.0
,otherWorkingCapital,177316000.0,12667000.0,38643000.0,62300000.0,76411000.0,54336000.0,56256000.0,75000000.0,102500000.0,107651000.0,100500000.0,99300000.0,150700000.0,143100000.0,149600000.0,160000000.0,148400000.0,101300000.0,79000000.0,37709000.0,41100000.0,42800000.0,38000000.0,32900000.0,7700000.0
,otherNonCashItems,0.0,19121000.0,11417000.0,11457000.0,3260000.0,16365000.0,5475000.0,1140000.0,73230000.0,-1724000.0,1770000.0,8100000.0,9010000.0,14800000.0,2980000.0,3820000.0,7720000.0,720000.0,380000.0,0.0,740000.0,270000.0,-180000.0,-160000.0,100000.0
,netCashProvidedByOperatingActivites,54663000.0,27832000.0,36189000.0,45858000.0,48163000.0,20424000.0,30150000.0,18450000.0,-8530000.0,30031000.0,7540000.0,13620000.0,21730000.0,45390000.0,30880000.0,47430000.0,41920000.0,31840000.0,22390000.0,13419000.0,5860000.0,2890000.0,3140000.0,13700000.0,3600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-17094000.0,-16693000.0,-15447000.0,-9757000.0,-13023000.0,-17975000.0,-4192000.0,-2816000.0,-2732000.0,-8246000.0,-350000.0,-4144000.0,-2231000.0,-9150000.0,-11091000.0,-6059000.0,-13886000.0,-8720000.0,-6161000.0,-3934000.0,-3650000.0,-3440000.0,-1590000.0,-1590000.0,-2300000.0
,acquisitionsNet,0.0,0.0,0.0,-16163000.0,1000000.0,1000000.0,-1784000.0,-15591000.0,0.0,-1000000.0,-1000000.0,9999000.0,-16000000.0,0.0,-7233000.0,-19138000.0,-24322000.0,-91880000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-18068000.0,-27884000.0,-19528000.0,0.0,-12806000.0,-25492000.0,-2190000.0,-18556000.0,-61049000.0,0.0,-59992000.0,-23326000.0,0.0,0.0,0.0,-1065000.0,2986000.0,314000.0,-319000.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46618000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,18068000.0,27884000.0,19778000.0,0.0,14285000.0,25606000.0,2204000.0,34040000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-17094000.0,-16693000.0,-15447000.0,-25670000.0,-11923000.0,-16496000.0,-5862000.0,-18390000.0,12750000.0,-23521000.0,5930000.0,23530000.0,-41150000.0,-6660000.0,-20670000.0,-30010000.0,-36010000.0,-97610000.0,-5850000.0,-14770000.0,-3070000.0,-5360000.0,-19610000.0,-1590000.0,-2300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
