Date,2018-12-30,2017-12-31,2016-12-25,2015-12-27,2014-12-28,2013-12-29
Cash and cash equivalents,97560000.0,189653000.0,198349000.0,40832000.0,36675000.0,9694000.0
Short-term investments,0.0,22389000.0,12879000.0,12845000.0,60710000.0,0.0
Cash and short-term investments,97560000.0,189653000.0,198349000.0,40832000.0,36675000.0,9694000.0
Receivables,145463000.0,180679000.0,195519000.0,240813000.0,234812000.0,251636000.0
Inventories,9587000.0,10798000.0,10950000.0,13688000.0,16651000.0,14222000.0
Total current assets,270807000.0,406705000.0,423681000.0,312157000.0,352938000.0,326493000.0
Property Plant & Equipment Net,144963000.0,107040000.0,67866000.0,144539000.0,162345000.0,67928000.0
Goodwill and Intangible Assets,209375000.0,247085000.0,254630000.0,257854000.0,128941000.0,75813000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,2799000.0
Tax assets,2414000.0,29911000.0,63977000.0,81540000.0,38207000.0,76958000.0
Total non-current assets,455820000.0,458428000.0,465085000.0,520809000.0,333577000.0,187873000.0
Total assets,726627000.0,865133000.0,888766000.0,832966000.0,686515000.0,514366000.0
Payables,70555000.0,78365000.0,70148000.0,80881000.0,81567000.0,36329000.0
Short-term debt,405000.0,21857000.0,21617000.0,21826000.0,17911000.0,0.0
Total current liabilities,210527000.0,260904000.0,264887000.0,313430000.0,305988000.0,228480000.0
Long-term debt,6799000.0,331881000.0,349128000.0,367847000.0,329613000.0,0.0
Total debt,7204000.0,353738000.0,370745000.0,389673000.0,347524000.0,0.0
Deferred revenue,51114000.0,76353000.0,82778000.0,81682000.0,73004000.0,74949000.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,103032000.0,535067000.0,515998000.0,533934000.0,374358000.0,61061000.0
Total liabilities,353315000.0,795971000.0,780885000.0,847364000.0,680346000.0,289541000.0
Other comprehensive income,140508000,98703000,138255000,17883000,2370000,-310000.0
Retained earnings (deficit),232401000.0,-16390000.0,-21925000.0,-28639000.0,-6937000.0,0.0
Total shareholders equity,373312000.0,69162000.0,107881000.0,-14398000.0,6169000.0,224825000.0
Investments,0.0,22389000.0,12879000.0,12845000.0,60710000.0,2799000.0
Net Debt,-90356000.0,164085000.0,172396000.0,348841000.0,310849000.0,-9694000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,50941000.0
Other Liabilities,39756000.0,0.0,0.0,0.0,0.0,192151000.0
