date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1020000000.0,1044000000.0,695000000.0,568000000.0,420000000.0,373000000.0,362000000.0,365000000.0,-446000000.0,204000000.0,455000000.0,438000000.0,304000000.0,409000000.0,449000000.0,300000000.0,427000000.0,414000000.0
,depreciationAndAmortization,308000000.0,729000000.0,747000000.0,833000000.0,769000000.0,171000000.0,146000000.0,149000000.0,138000000.0,142000000.0,145000000.0,160000000.0,90000000.0,66000000.0,63000000.0,54000000.0,47000000.0,39000000.0
,deferredIncomeTax,99000000.0,-72000000.0,-115000000.0,-285000000.0,-244000000.0,-99000000.0,66000000.0,39000000.0,54000000.0,17000000.0,77000000.0,-21000000.0,46000000.0,66000000.0,82000000.0,47000000.0,-19000000.0,6000000.0
,stockBasedCompensation,90000000.0,74000000.0,50000000.0,67000000.0,123000000.0,64000000.0,52000000.0,42000000.0,32000000.0,41000000.0,47000000.0,39000000.0,40000000.0,33000000.0,18000000.0,0.0,11000000.0,20000000.0
,changeInWorkingCapital,2000000.0,-152000000.0,13000000.0,684000000.0,720000000.0,-919000000.0,-366000000.0,283000000.0,-287000000.0,200000000.0,521000000.0,697000000.0,-692000000.0,-5000000.0,156000000.0,2000000.0,-60000000.0,130000000.0
,accountsReceivables,29000000.0,-261000000.0,68000000.0,-64000000.0,-101000000.0,-155000000.0,-66000000.0,-116000000.0,-17000000.0,-92000000.0,0.0,618000000.0,-590000000.0,632000000.0,-248000000.0,-1171000000.0,-60000000.0,-93000000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-773000000.0,785000000.0,-953000000.0,430000000.0,1085000000.0,-32000000.0,81000000.0
,otherWorkingCapital,969000000.0,967000000.0,1119000000.0,1106000000.0,422000000.0,-298000000.0,621000000.0,987000000.0,704000000.0,991000000.0,791000000.0,270000000.0,-427000000.0,265000000.0,270000000.0,114000000.0,112000000.0,172000000.0
,otherNonCashItems,0.0,141000000.0,-62000000.0,0.0,65000000.0,-34000000.0,45000000.0,125000000.0,940000000.0,211000000.0,48000000.0,-7000000.0,-302000000.0,-17000000.0,-287000000.0,-27000000.0,47000000.0,93000000.0
,netCashProvidedByOperatingActivites,1774000000.0,1081000000.0,1288000000.0,862000000.0,920000000.0,243000000.0,477000000.0,561000000.0,525000000.0,439000000.0,489000000.0,418000000.0,211000000.0,268000000.0,147000000.0,140000000.0,490000000.0,493000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-246000000.0,-268000000.0,-300000000.0,-218000000.0,-146000000.0,-113000000.0,-112000000.0,-135000000.0,-111000000.0,-83000000.0,-96000000.0,-94000000.0,-185000000.0,-55000000.0,-32000000.0,-49000000.0,-57000000.0
,acquisitionsNet,-69000000.0,-1329000000.0,-36000000.0,-13000000.0,476000000.0,-845000000.0,-241000000.0,-30000000.0,-33000000.0,-10000000.0,-21000000.0,4000000.0,-947000000.0,-81000000.0,-73000000.0,-35000000.0,-147000000.0,-91000000.0
,purchasesOfInvestments,0.0,-150000000.0,-602000000.0,-532000000.0,-396000000.0,-82000000.0,-223000000.0,0.0,-100000000.0,0.0,-1000000.0,0.0,0.0,0.0,0.0,-42000000.0,-80000000.0,-48000000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,-135000000.0,1554000000.0,510000000.0,333000000.0,130000000.0,301000000.0,22000000.0,96000000.0,20000000.0,11000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-160000000.0,-1614000000.0,-341000000.0,-335000000.0,195000000.0,-943000000.0,-276000000.0,-120000000.0,-172000000.0,-101000000.0,-94000000.0,102000000.0,-1040000000.0,-221000000.0,67000000.0,32000000.0,-183000000.0,-135000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-327000000.0,-995000000.0,-170000000.0,-734000000.0,-1901000000.0,-166000000.0,-15000000.0,-536000000.0,-15000000.0,-911000000.0,-209000000.0,0.0,-641000000.0,-200000000.0,0.0,-450000000.0,-370000000.0,-198000000.0
,commonStockIssued,0.0,45000000.0,45000000.0,61000000.0,63000000.0,124000000.0,134000000.0,155000000.0,53000000.0,60000000.0,36000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-105000000.0,-557000000.0,-648000000.0,-333000000.0,42000000.0,-79000000.0,155000000.0,-47000000.0,60000000.0,36000000.0,18000000.0,-60000000.0,-455000000.0,-195000000.0,-323000000.0,-281000000.0,39000000.0
,dividendsPaid,-346000000.0,-329000000.0,-306000000.0,-277000000.0,-199000000.0,-277000000.0,-210000000.0,-193000000.0,-185000000.0,-180000000.0,-176000000.0,-174000000.0,-146000000.0,-143000000.0,-145000000.0,-135000000.0,-115000000.0,-63000000.0
,otherFinancingActivites,0.0,1826000000.0,130000000.0,1003000000.0,1671000000.0,1042000000.0,-19000000.0,437000000.0,-44000000.0,1253000000.0,372000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-434000000.0,397000000.0,-903000000.0,-479000000.0,-762000000.0,641000000.0,-323000000.0,-137000000.0,-291000000.0,-214000000.0,-293000000.0,-516000000.0,828000000.0,-146000000.0,-129000000.0,-315000000.0,-333000000.0,-222000000.0
