date,,2020-04-24_FY,2019-04-26_FY,2018-04-27_FY,2017-04-28_FY,2016-04-29_FY,2015-04-24_FY,2014-04-25_FY,2013-04-26_FY,2012-04-27_FY,2011-04-29_FY,2010-04-30_FY,2009-04-24_FY,2008-04-25_FY,2007-04-27_FY,2006-04-30_FY,2006-04-28_FY,2005-04-30_FY,2005-04-29_FY,2004-04-30_FY,2003-04-30_FY,2003-04-25_FY,2002-04-30_FY,2001-04-30_FY,2000-04-30_FY,1999-04-30_FY,1998-04-30_FY,1997-04-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,819000000.0,1169000000.0,116000000.0,481000000.0,229000000.0,559900000.0,637500000.0,505300000.0,605400000.0,673100000.0,400400000.0,64600000.0,309700000.0,297700000.0,266452000.0,266500000.0,225754000.0,225800000.0,152087000.0,76472000.0,76472000.0,3033000.0,74886000.0,73792000.0,35613000.0,20965000.0,250000.0
,depreciationAndAmortization,193000000.0,197000000.0,198000000.0,226000000.0,279000000.0,307200000.0,334100000.0,344600000.0,293100000.0,165600000.0,166000000.0,170500000.0,148100000.0,110800000.0,81797000.0,81800000.0,65624000.0,65700000.0,59453000.0,57411000.0,51933000.0,65290000.0,42260000.0,15708000.0,8146000.0,5548000.0,2866000.0
,deferredIncomeTax,-17000000.0,-3000000.0,270000000.0,74000000.0,-113000000.0,-2700000.0,-76000000.0,-76600000.0,-60900000.0,-26300000.0,-11300000.0,-124600000.0,-53000000.0,-19500000.0,1545000.0,1500000.0,6321000.0,6300000.0,-21452000.0,-18344000.0,-18344000.0,-4592000.0,-35467000.0,-11614000.0,-5084000.0,-1749000.0,-2794000.0
,stockBasedCompensation,153000000.0,158000000.0,161000000.0,195000000.0,260000000.0,259300000.0,273000000.0,276600000.0,257600000.0,175200000.0,159800000.0,140754000000.0,147964000.0,163033000.0,0.0,0.0,0.0,0.0,0.0,0.0,3642000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-1085000000.0,-1678000000.0,1345000000.0,-710000000.0,-1278000000.0,288000000.0,-811000000.0,1280000000.0,315000000.0,365900000.0,866100000.0,1107000000.0,-400000000.0,-63047000.0,47000.0,60300000.0,-300000.0,310987000.0,156537000.0,0.0,124908000.0,0.0,46824000.0,-2823000.0,154751000.0,195185000.0,-4503000.0
,accountsReceivables,238000000.0,-185000000.0,-272000000.0,81000000.0,-16000000.0,74800000.0,-56600000.0,23100000.0,-90400000.0,-262700000.0,-21300000.0,128692000000.0,-27741000.0,-175231000.0,0.0,-118000000.0,0.0,-103000000.0,0.0,0.0,-3264000.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-14000000.0,-9000000.0,37000000.0,-65000000.0,49000000.0,-24100000.0,17000000.0,22000000.0,-16500000.0,4400000.0,-52100000.0,9126000000.0,-15382000.0,9908000.0,-46247000.0,-25000000.0,-14996000.0,-5000000.0,-9975000.0,-16253000.0,-16253000.0,-6156000.0,-13683000.0,-12425000.0,-4934000.0,1213000.0,-5095000.0
,accountsPayables,-117000000.0,-57000000.0,262000000.0,94000000.0,-53000000.0,38600000.0,-12100000.0,25100000.0,11400000.0,38700000.0,42700000.0,-26969000000.0,0.0,36589000.0,0.0,-17000000.0,0.0,-31000000.0,0.0,0.0,-643000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,658000000.0,1743000000.0,3421000000.0,2076000000.0,2786000000.0,4064000000.0,3776000000.0,4587000000.0,3307000000.0,2992000000.0,2626100000.0,1760000000.0,653000000.0,1053000000.0,1116047000.0,1116000000.0,1055700000.0,1056000000.0,745013000.0,588476000.0,588476000.0,463568000.0,463568000.0,416744000.0,419567000.0,264816000.0,69631000.0
,otherNonCashItems,167000000.0,87000000.0,-84000000.0,178000000.0,279000000.0,238700000.0,247800000.0,334500000.0,294400000.0,243900000.0,60500000.0,248300000.0,140800000.0,77800000.0,13339000.0,19600000.0,0.0,11200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,1060000000.0,1341000000.0,1478000000.0,986000000.0,974000000.0,1268100000.0,1349600000.0,1386300000.0,1462600000.0,1346300000.0,975000000.0,889200000.0,1008900000.0,864500000.0,554282000.0,554300000.0,462118000.0,462100000.0,310887000.0,195250000.0,195250000.0,143893000.0,218353000.0,118080000.0,45947000.0,22726000.0,6269000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-124000000.0,-173000000.0,-145000000.0,-175000000.0,-160000000.0,-175300000.0,-221400000.0,-303300000.0,-407100000.0,-222700000.0,-135600000.0,-289657000000.0,-188280000.0,-165828000.0,-132915000.0,-132900000.0,-93568000.0,-94500000.0,-48601000.0,-61269000.0,-61269000.0,-284238000.0,-83685000.0,-40819000.0,-15474000.0,-7971000.0,-7124000.0
,acquisitionsNet,-73000000.0,-3000000.0,-75000000.0,-8000000.0,-842000000.0,-84600000.0,0.0,-106500000.0,-480000000.0,-136500000.0,0.0,0.0,-99000000.0,-131000000.0,-54000000.0,-54000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1424000000.0,-2111000000.0,-794000000.0,-705000000.0,-960000000.0,-1165200000.0,-1881500000.0,-590000000.0,-600000000.0,-2190000000.0,-2632600000.0,-1152505000000.0,-1053450000.0,-2630350000.0,-1029412000.0,0.0,-872662000.0,0.0,-590623000.0,-361735000.0,-361085000.0,-362911000.0,-172938000.0,-106514000.0,-18680000.0,-15050000.0,-17770000.0
,salesMaturitiesOfInvestments,1383000000.0,917000000.0,1379000000.0,1934000000.0,2571000000.0,1952000000.0,1993000000.0,2464000000.0,0.0,0.0,1772300000.0,0.0,0.0,0.0,900993000.0,0.0,605773000.0,0.0,355682000.0,271910000.0,0.0,211862000.0,151595000.0,30650000.0,23680000.0,11166000.0,13836000.0
,otherInvestingActivites,2890000000.0,2961000000.0,1019000000.0,657000000.0,2043000000.0,462700000.0,2871200000.0,771200000.0,-823300000.0,-418000000.0,8200000.0,0.0,0.0,0.0,-10953000.0,0.0,9149000.0,0.0,-9015000.0,0.0,0.0,0.0,0.0,2500000.0,-7000000.0,-2000000.0,11000.0
