Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,194316.0,127788.0,876205.0
Short-term investments,0.0,0.0,0.0
Cash and short-term investments,194316.0,127788.0,876205.0
Receivables,303630.0,486629.0,421603.0
Inventories,0.0,0.0,0.0
Total current assets,668109.0,708462.0,1601551.0
Property Plant & Equipment Net,3333638.0,542791.0,0.0
Goodwill and Intangible Assets,6299559.0,0.0,0.0
Long-term investments,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0
Total non-current assets,10406678.0,570619.0,0.0
Total assets,11074787.0,1279081.0,1601551.0
Payables,1261582.0,152166.0,51090.0
Short-term debt,4856003.0,190752.0,0.0
Total current liabilities,13831173.0,473824.0,51090.0
Long-term debt,401329.0,508646.0,500000.0
Total debt,5257332.0,699398.0,500000.0
Deferred revenue,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0
Deposit Liabilities,454380.0,130906.0,0.0
Total non-current liabilities,1175774.0,633827.0,500000.0
Total liabilities,15006947.0,1107651.0,551090.0
Other comprehensive income,0.0,0.0,0.0
Retained earnings (deficit),-3544820.0,-491076.0,-433896.0
Total shareholders equity,-2306320.0,747424.0,767104.0
Investments,0.0,0.0,0.0
Net Debt,5063016.0,571610.0,-376205.0
Other Assets,170163.0,94045.0,303743.0
Other Liabilities,7713588.0,130906.0,0.0
