Date,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30
Cash and cash equivalents,1018708.0,57560.0,152374.0,26770327.0,31901057.0,28686771.0,48401410.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,1018708.0,57560.0,152374.0,26770327.0,31901057.0,28686771.0,48401410.0
Receivables,14007127.0,81327991.0,116228901.0,120374988.0,77745875.0,61460604.0,40293613.0
Inventories,5067731.0,5282737.0,5880881.0,9751596.0,14062567.0,13803489.0,9586598.0
Total current assets,47081383.0,49251209.0,53881994.0,68827875.0,82821801.0,63088136.0,45363293.0
Property, Plant & Equipment Net,44346646.0,46608189.0,51064565.0,65260454.0,76439788.0,57293878.0,42489304.0
Goodwill and Intangible Assets,2032346.0,2032547.0,2125665.0,2833833.0,5724636.0,5262766.0,2424878.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,702391.0,610473.0,691764.0,733588.0,657377.0,531492.0,449111.0
Total non-current assets,0.0,0.0,0.0,0.0,0.0,0.0,27182551.0
Total assets,67174949.0,135919497.0,176144150.0,225724786.0,206531300.0,167039000.0,143644914.0
Payables,21468563.0,13131216.0,21194399.0,45279369.0,38708242.0,27336609.0,43370265.0
Short-term debt,67336545.0,66414123.0,68313619.0,73986211.0,108752800.0,87983727.0,35754719.0
Total current liabilities,89982235.0,120307847.0,132642058.0,167316820.0,151071926.0,118724373.0,81463352.0
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,27182551.0
Total debt,67336545.0,66414123.0,68313619.0,73986211.0,108752800.0,87983727.0,62937270.0
Deferred revenue,0.0,4423090.0,6225058.0,2233691.0,1776624.0,2428443.0,1436529.0
Tax Liabilities,864164.0,820670.0,859135.0,2911020.0,1834260.0,975594.0,901839.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,0.0,0.0,0.0,0.0,0.0,0.0,27182551.0
Total liabilities,89982235.0,120307847.0,132642058.0,167316820.0,151071926.0,118724373.0,108645903.0
Other comprehensive income,3282702.0,-4139390.0,-2257504.0,10005803.0,6039662.0,5723223.0,4113343.0
Retained earnings (deficit),-83279164.0,-35389829.0,-6962585.0,-206982.0,34370050.0,30518696.0,19531362.0
Total shareholders equity,-22807286.0,15611650.0,43502092.0,58407966.0,55459374.0,48314627.0,34999011.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,,,,,,,
Other Assets,,,,,,,
Other Liabilities,1177127.0,40762508.0,43134040.0,48051240.0,3610884.0,3404037.0,2338368.0
