date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,purchasesOfInvestments,-157400000.0,-272700000.0,-523400000.0,-583500000.0,-563800000.0,-428800000.0,-321900000.0,-132700000.0,-311400000.0,0.0,0.0,0.0,0.0,0.0,-41000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,226000000.0,478000000.0,595900000.0,562700000.0,435100000.0,315400000.0,202000000.0,226200000.0,308000000.0,0.0,4600000.0,8900000.0,12000000.0,0.0,53200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-7100000.0,0.0,0.0,0.0,-4500000.0,0.0,0.0,0.0,0.0,-1439000.0,-1767000.0,-9307000.0,-15014000.0,-17714000.0,-20358000.0,-8620000.0,-2148000.0,-4700000.0,-8800000.0,-500000.0,-2800000.0
,netCashUsedForInvestingActivites,11800000.0,33900000.0,-12700000.0,-158100000.0,-300200000.0,-186100000.0,-206000000.0,-8200000.0,-86800000.0,-474600000.0,-57700000.0,-117000000.0,-54100000.0,-71400000.0,-396700000.0,-69900000.0,-50700000.0,-49700000.0,-65853000.0,-153306000.0,-41955000.0,-279166000.0,-163426000.0,-120818000.0,-56629000.0,-129359000.0,-84753000.0,-56851000.0,-51600000.0,-66800000.0,-73100000.0,-52300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,-189000000.0,0.0,0.0,-33600000.0,0.0,-51500000.0,-218800000.0,0.0,0.0,-95900000.0,-40100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16400000.0,-5400000.0,-20600000.0,-3100000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11400000.0,8300000.0,12900000.0,3000000.0,0.0,133234000.0,1407000.0,816000.0,1149000.0,224000.0,3757000.0,539000.0,49000.0,1902000.0,3167000.0,6700000.0,800000.0,400000.0,100000.0
,commonStockRepurchased,-56700000.0,-287700000.0,-202600000.0,-139100000.0,-135200000.0,-128100000.0,-103800000.0,-73700000.0,-22000000.0,-23500000.0,0.0,0.0,0.0,-36600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2773000.0,-33241000.0,-176550000.0,0.0,0.0,-138000.0,-1380000.0,-700000.0,-300000.0,-2400000.0,-2600000.0
,dividendsPaid,-158700000.0,-149200000.0,-130100000.0,-96900000.0,-84200000.0,-67800000.0,-54400000.0,-42600000.0,-33200000.0,-27700000.0,-24700000.0,-21400000.0,-22300000.0,-21500000.0,-20100000.0,-19000000.0,-18200000.0,-16800000.0,-14278000.0,-12319000.0,-11720000.0,-11172000.0,-11051000.0,-12677000.0,-13807000.0,-12129000.0,-10423000.0,-12200000.0,-8500000.0,-9800000.0,-9900000.0,-10000000.0
