Date,2019-06-30,2018-06-30,2017-06-30,2016-08-12,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30
Cash and cash equivalents,35279000.0,44227000.0,25697000.0,0.0,77426000.0,103584000.0,62508000.0,50065000.0,62203000.0,0.0,162727000.0,133988000.0
Short-term investments,0.0,0.0,0.0,0.0,7893000.0,6910000.0,13857000.0,0.0,0.0,0.0,9604000.0,0.0
Cash and short-term investments,35279000.0,44227000.0,25697000.0,0.0,85319000.0,110494000.0,76365000.0,50065000.0,62203000.0,0.0,172331000.0,133988000.0
Receivables,60646000.0,55621000.0,48630000.0,0.0,32327000.0,32145000.0,23515000.0,22026000.0,20125000.0,0.0,9389000.0,5672000.0
Inventories,66310000.0,60602000.0,46563000.0,0.0,18125000.0,18356000.0,12138000.0,7620000.0,7168000.0,0.0,6223000.0,4384000.0
Total current assets,240300000.0,239296000.0,246001000.0,0.0,200768000.0,217643000.0,157941000.0,100231000.0,115598000.0,0.0,203002000.0,212686000.0
Property Plant & Equipment Net,490755000.0,483664000.0,511947000.0,0.0,493163000.0,467511000.0,352221000.0,280022000.0,261228000.0,0.0,249961000.0,193622000.0
Goodwill and Intangible Assets,981581000.0,751044000.0,790887000.0,0.0,718187000.0,551692000.0,427401000.0,171230000.0,180700000.0,0.0,6426000.0,6754000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,59906000.0,67087000.0,48004000.0,0.0,26093000.0,17172000.0,8762000.0,581000.0,327000.0,0.0,7277000.0,7035000.0
Total non-current assets,1628076000.0,1412921000.0,1433868000.0,0.0,1263101000.0,1090599000.0,831044000.0,501336000.0,476831000.0,0.0,274887000.0,17202000.0
Total assets,1868376000.0,1652217000.0,1679869000.0,0.0,1463869000.0,1308242000.0,988985000.0,601567000.0,592429000.0,0.0,477889000.0,369549000.0
Payables,185096000.0,152436000.0,127386000.0,0.0,86682000.0,65875000.0,52770000.0,22597000.0,25931000.0,0.0,16664000.0,11347000.0
Short-term debt,81277000.0,59259000.0,28926000.0,0.0,21717000.0,22602000.0,37575000.0,8750000.0,229000000.0,0.0,5222000.0,8349000.0
Total current liabilities,520749000.0,481024000.0,449483000.0,0.0,335863000.0,307223000.0,241501000.0,155026000.0,141979000.0,0.0,91633000.0,66813000.0
Long-term debt,942290000.0,767585000.0,847730000.0,0.0,767026000.0,499941000.0,410484000.0,230000000.0,229000000.0,0.0,0.0,10465000.0
Total debt,1023567000.0,826844000.0,876656000.0,0.0,788743000.0,522543000.0,448059000.0,238750000.0,458000000.0,0.0,5222000.0,18814000.0
Deferred revenue,31780000.0,27697000.0,30372000.0,0.0,25842000.0,23407000.0,26913000.0,18668000.0,15978000.0,0.0,4138000.0,3393000.0
Tax Liabilities,40102000.0,33557000.0,34469000.0,0.0,69430000.0,25495000.0,23190000.0,12463000.0,12402000.0,0.0,3151000.0,1637000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1040537000.0,888352000.0,1003156000.0,0.0,896629000.0,600021000.0,485750000.0,256980000.0,261163000.0,0.0,10142000.0,17202000.0
Total liabilities,1736564000.0,1558555000.0,1604657000.0,0.0,1232492000.0,1059335000.0,756528000.0,412006000.0,403142000.0,0.0,101775000.0,84015000.0
Other comprehensive income,0.0,0.0,0.0,0.0,-108015000.0,0.0,0.0,0.0,0.0,0.0,-10625000.0,3722000.0
Retained earnings (deficit),537422000.0,452756000.0,414771000.0,0.0,486482000.0,435052000.0,342840000.0,299144000.0,292628000.0,0.0,166525000.0,98784000.0
Total shareholders equity,131812000.0,93662000.0,75212000.0,0.0,165725000.0,248907000.0,232457000.0,189561000.0,189287000.0,0.0,376114000.0,285534000.0
Investments,0.0,0.0,0.0,0.0,7893000.0,6910000.0,13857000.0,0.0,0.0,0.0,9604000.0,0.0
Net Debt,988288000.0,782617000.0,850959000.0,0.0,703424000.0,418959000.0,385551000.0,188685000.0,395797000.0,0.0,-167109000.0,-115174000.0
Other Assets,0.0,0.0,0.0,0.0,64997000.0,0.0,0.0,0.0,0.0,0.0,15059000.0,12819000.0
Other Liabilities,175278000.0,189179000.0,152018000.0,0.0,227464000.0,152091000.0,29277000.0,0.0,0.0,0.0,69747000.0,47117000.0
