Date,2004-09,2003-09,2002-09,2001-09,2000-09
Cash and cash equivalents,52000000.0,78000000.0,73000000.0,39000000.0,28000000.0
Short-term investments,,,,,
Cash and short-term investments,,,,,
Receivables,112000000.0,118000000.0,127000000.0,201000000.0,153000000.0
Inventories,83000000.0,75000000.0,78000000.0,106000000.0,108000000.0
Total current assets,264000000.0,295000000.0,329000000.0,428000000.0,888000000.0
Property, Plant & Equipment Net,78000000.0,82000000.0,88000000.0,111000000.0,120000000.0
Goodwill and Intangible Assets,182000000,209000000,235000000,310000000,649000000
Long-term investments,3000000.0,5000000.0,6000000.0,6000000.0,000000.0
Tax assets,000000.0,000000.0,000000.0,000000.0,69000000.0
Total non-current assets,170000000.0,205000000.0,258000000.0,458000000.0,435000000.0
Total assets,558000000.0,590000000.0,632000000.0,774000000.0,1314000000.0
Payables,000000.0,000000.0,000000.0,000000.0,79000000.0
Short-term debt,7000000.0,49000000.0,33000000.0,2000000.0,92000000.0
Total current liabilities,191000000.0,224000000.0,217000000.0,228000000.0,293000000.0
Long-term debt,132000000.0,160000000.0,214000000.0,399000000.0,371000000.0
Total debt,132000000.0,160000000.0,214000000.0,399000000.0,371000000.0
Deferred revenue,,,,,
Tax Liabilities,,,,,
Deposit Liabilities,,,,,
Total non-current liabilities,170000000.0,205000000.0,258000000.0,458000000.0,435000000.0
Total liabilities,361000000.0,429000000.0,476000000.0,686000000.0,727000000.0
Other comprehensive income,-2000000.0,0000000.0,000000.0,1000000.0,1000000.0
Retained earnings (deficit),-236000000.0,-273000000.0,-278000000.0,-277000000.0,221000000.0
Total shareholders equity,197000000.0,162000000.0,157000000.0,88000000.0,587000000.0
Investments,3000000.0,5000000.0,6000000.0,6000000.0,000000.0
Net Debt,87000000,131000000,174000000,362000000,435000000
Other Assets,0,0,0,0,138000000
Other Liabilities,222000000,220000000,228000000,284000000,63000000
