Date,2018-12-31,2018-09-30,2017-12-31,2017-09-30,2016-12-31,2016-09-30,2015-12-31,2015-09-30,2014-12-31,2014-09-30,2013-12-31,2013-09-30,2012-12-31,2012-09-30,2011-12-31,2011-09-30,2010-12-31
Cash and cash equivalents,17080000.0,3254700.0,22556063.0,5449000.0,1532148.0,318200.0,747841.0,432100.0,862697.0,1240600.0,3776500.0,1273600.0,598020.0,7700.0,741256.0,93400.0,607084.0
Short-term investments,49343000.0,0.0,99836397.0,0.0,11097066.0,0.0,0.0,0.0,79236.0,0.0,162564.0,0.0,0.0,0.0,0.0,0.0,1674386.0
Cash and short-term investments,66423000.0,3254700.0,122392460.0,5449000.0,12629214.0,318200.0,747841.0,432100.0,941933.0,1240600.0,3939064.0,1273600.0,598020.0,7700.0,741256.0,93400.0,2281470.0
Receivables,1351000.0,63300.0,26814.0,6500.0,14221.0,5100.0,101639.0,11800.0,42734.0,9300.0,35237.0,26600.0,80279.0,12400.0,17996.0,54400.0,21746.0
Inventories,4705000.0,0.0,625299.0,0.0,166209.0,0.0,219163.0,0.0,250413.0,0.0,239009.0,0.0,203389.0,0.0,195114.0,0.0,130573.0
Total current assets,73460000.0,3510600.0,123495869.0,5694200.0,12724040.0,1209900.0,1143271.0,548200.0,1058255.0,1308100.0,4156456.0,1363900.0,749324.0,81700.0,589568.0,322900.0,2096860.0
Property Plant & Equipment Net,152000.0,110800.0,105302.0,120700.0,53730.0,9500.0,58227.0,1700.0,72391.0,8700.0,26120.0,16800.0,38769.0,20000.0,60018.0,32700.0,94179.0
Goodwill and Intangible Assets,54000.0,1503300.0,67200.0,60200.0,0.0,87100.0,0.0,0.0,892857.0,0.0,1107143.0,0.0,1321429.0,0.0,0.0,0.0,134880.0
Long-term investments,538000.0,195900.0,65520.0,195900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,0.0,1405153.0,0.0,18000.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,1096000.0,1641200.0,349603.0,401900.0,268538.0,110200.0,333727.0,18900.0,1606037.0,28000.0,1957253.0,38300.0,2134916.0,43600.0,1892743.0,47100.0,595467.0
Total assets,74556000.0,5151800.0,123845472.0,6096100.0,12992578.0,1320100.0,1476998.0,567100.0,2664292.0,1336100.0,6113709.0,1402200.0,2884240.0,125300.0,2482311.0,370000.0,2692327.0
Payables,9122000.0,346900.0,5695310.0,736900.0,3201154.0,426600.0,4580494.0,852000.0,2995866.0,868900.0,2677892.0,2493200.0,2954724.0,260000.0,1151160.0,0.0,190107.0
Short-term debt,23204000.0,1300.0,17332406.0,31500.0,15698286.0,56300.0,13721400.0,2400.0,6299136.0,3500.0,8053889.0,7200.0,8566736.0,5200.0,2226010.0,6100.0,706889.0
