date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1496000000.0,1670000000.0,1925000000.0,1949000000.0,1182000000.0,753000000.0,1298000000.0,98000000.0,817000000.0,961000000.0,953000000.0,994000000.0,1087000000.0,1163000000.0,1149000000.0,1182000000.0,939000000.0,630000000.0,822000000.0,503000000.0,-97000000.0,-397600000.0,-770700000.0,267000000.0,32900000.0,30300000.0
,depreciationAndAmortization,1671000000.0,1574000000.0,1477000000.0,1376000000.0,1301000000.0,1245000000.0,1292000000.0,1333000000.0,1297000000.0,1229000000.0,1194000000.0,1166000000.0,1238000000.0,1259000000.0,1334000000.0,1361000000.0,1336000000.0,1265000000.0,1222000000.0,1371000000.0,1429000000.0,1614200000.0,1498700000.0,303200000.0,153200000.0,56400000.0
,deferredIncomeTax,165000000.0,100000000.0,25000000.0,-251000000.0,73000000.0,30000000.0,-118000000.0,-149000000.0,67000000.0,198000000.0,154000000.0,-94000000.0,150000000.0,70000000.0,-23000000.0,-61000000.0,156000000.0,363000000.0,319000000.0,131000000.0,65000000.0,317800000.0,-450200000.0,72800000.0,2900000.0,-15600000.0
,stockBasedCompensation,94000000.0,86000000.0,89000000.0,101000000.0,90000000.0,72000000.0,65000000.0,58000000.0,29000000.0,45000000.0,36000000.0,30000000.0,48000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-3078000000.0,3528000000.0,175000000.0,-220000000.0,-253000000.0,-321000000.0,671000000.0,98000000.0,76000000.0,-686000000.0,-112000000.0,810000000.0,-583000000.0,-32000000.0,-280000000.0,580000000.0,358000000.0,-271000000.0,124000000.0,-117000000.0,789000000.0,-856700000.0,-499000000.0,66700000.0,5100000.0,-105800000.0
,accountsReceivables,-179000000.0,-53000000.0,-16000000.0,-271000000.0,-78000000.0,-178000000.0,-268000000.0,44000000.0,-131000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-37000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-13000000.0,3065000000.0,-463000000.0,-638000000.0,-418000000.0,-165000000.0,156000000.0,-515000000.0,-613000000.0,-689000000.0,-3000000.0,109000000.0,-701000000.0,-118000000.0,-86000000.0,194000000.0,-386000000.0,-744000000.0,-473000000.0,-597000000.0,-480000000.0,-1269000000.0,-412300000.0,86700000.0,20000000.0,14900000.0
,otherNonCashItems,0.0,98000000.0,95000000.0,95000000.0,91000000.0,90000000.0,102000000.0,77000000.0,90000000.0,23000000.0,41000000.0,48000000.0,91000000.0,17000000.0,-2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,15500000.0,-70800000.0,0.0,60000000.0,-100000.0
,netCashProvidedByOperatingActivites,3403000000.0,3874000000.0,3570000000.0,3180000000.0,2960000000.0,2498000000.0,2331000000.0,2455000000.0,2295000000.0,2469000000.0,2275000000.0,2362000000.0,2575000000.0,2439000000.0,2540000000.0,2391000000.0,2218000000.0,1926000000.0,2153000000.0,2355000000.0,2125000000.0,1689600000.0,1502000000.0,452800000.0,205200000.0,-35500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1632000000.0,-1818000000.0,-1694000000.0,-1509000000.0,-1339000000.0,-1233000000.0,-1151000000.0,-1271000000.0,-1510000000.0,-1324000000.0,-1104000000.0,-1179000000.0,-1221000000.0,-1211000000.0,-1329000000.0,-1180000000.0,-1258000000.0,-1200000000.0,-1287000000.0,-1328000000.0,-1313000000.0,-2616000000.0,-3597700000.0,-2255300000.0,-348400000.0,-84600000.0
,acquisitionsNet,-4085000000.0,-472000000.0,-252000000.0,-99000000.0,-565000000.0,-409000000.0,2218000000.0,-586000000.0,-206000000.0,-831000000.0,-363000000.0,-253000000.0,-168000000.0,188000000.0,208000000.0,52000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-155000000.0,-173000000.0,0.0,0.0,-1220000000.0,-3001000000.0,-1079000000.0,0.0,0.0,0.0,0.0,0.0,-40700000.0,0.0,0.0,0.0,-12600000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34000000.0,0.0,0.0,1404000000.0,3123000000.0,784000000.0,0.0,0.0,0.0,0.0,54000000.0,9800000.0,57500000.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,-86000000.0,-223000000.0,231000000.0,-4000000.0,54000000.0,-39000000.0,-10000000.0,-37000000.0,125000000.0,34000000.0,182000000.0,206000000.0,78000000.0,211000000.0,361000000.0,429000000.0,379000000.0,312000000.0,154000000.0,10000000.0,-20500000.0,-1560000000.0,-21000000.0,-306300000.0,-11200000.0
,netCashUsedForInvestingActivites,-4847000000.0,-2376000000.0,-2169000000.0,-1379000000.0,-1932000000.0,-1608000000.0,995000000.0,-1900000000.0,-1830000000.0,-2185000000.0,-1606000000.0,-1250000000.0,-1183000000.0,-761000000.0,-788000000.0,-1062000000.0,-863000000.0,-1084000000.0,-962000000.0,-1232000000.0,1072000000.0,-2016900000.0,-4555100000.0,-2031500000.0,-577500000.0,-101300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
