date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,409900000.0,531100000.0,190100000.0,120900000.0,16800000.0,85700000.0,114500000.0,217700000.0,103400000.0,83700000.0,184600000.0,164700000.0,-29600000.0,217800000.0,283100000.0,255500000.0,240200000.0,123600000.0,-8200000.0,380900000.0,91000000.0,201000000.0,510800000.0,117900000.0,132500000.0
,depreciationAndAmortization,55000000.0,62500000.0,171900000.0,18200000.0,19500000.0,28900000.0,23200000.0,25700000.0,23300000.0,10900000.0,332300000.0,344300000.0,353500000.0,27100000.0,7200000.0,11600000.0,12600000.0,11400000.0,8300000.0,1100000.0,12100000.0,163100000.0,149300000.0,167400000.0,170100000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6300000.0,21300000.0,-153400000.0,34800000.0,-34400000.0,91400000.0,-66900000.0,-113100000.0,0.0,10200000.0,17600000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,6987400000.0,-652600000.0,-1917500000.0,-184600000.0,-190600000.0,-302500000.0,7400000.0,238000000.0,23000000.0,376000000.0,460000000.0,514000000.0,-62000000.0,-15000000.0,5000000.0,-288000000.0,-27000000.0,-696000000.0,-564000000.0,-678000000.0,-183000000.0,-129000000.0,-665000000.0,24000000.0,-106300000.0
,accountsReceivables,-60600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69100000.0,97500000.0,3700000.0,80500000.0,56400000.0,-185000000.0,-37500000.0,-59700000.0,18400000.0,54700000.0,35000000.0,27400000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121900000.0,-87800000.0,102600000.0,140400000.0,313400000.0,6500000.0,68800000.0,170300000.0,500000.0,-23100000.0,-40000000.0,-6000000.0
,otherWorkingCapital,-1251000000.0,-8238400000.0,-7585800000.0,-5668300000.0,-5483700000.0,-5293100000.0,-4990600000.0,-4998000000.0,-5236000000.0,-5259000000.0,-5635000000.0,-6095000000.0,-6609000000.0,-6547000000.0,-6532000000.0,-6537000000.0,-6249000000.0,-6222000000.0,-5526000000.0,-4962000000.0,-4284000000.0,-4101000000.0,-3972000000.0,-3307000000.0,-3331000000.0
,otherNonCashItems,-64700000.0,-18800000.0,8600000.0,-2100000.0,700000.0,41300000.0,16400000.0,36100000.0,31400000.0,-16100000.0,-284600000.0,-254800000.0,-114800000.0,322300000.0,308000000.0,390400000.0,359900000.0,77100000.0,1116000000.0,418100000.0,140000000.0,9600000.0,129200000.0,17300000.0,-64500000.0
,netCashProvidedByOperatingActivites,448000000.0,534300000.0,539200000.0,240600000.0,240500000.0,215000000.0,133600000.0,122100000.0,65700000.0,-25000000.0,58500000.0,163500000.0,69200000.0,252100000.0,306400000.0,376700000.0,298200000.0,585600000.0,395900000.0,191800000.0,78500000.0,12000000.0,137300000.0,153600000.0,170600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24200000.0,-39200000.0,-98900000.0,-29800000.0,-20900000.0,-14000000.0,-3100000.0,-5900000.0,-4300000.0,-11400000.0,-12100000.0,0.0
,acquisitionsNet,0.0,0.0,-561000000.0,-28000000.0,-37000000.0,-90000000.0,-13000000.0,-17000000.0,-31000000.0,-26000000.0,-28000000.0,-207000000.0,-123000000.0,-149000000.0,-66000000.0,-29000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-2046700000.0,-1592000000.0,-2893700000.0,-1064300000.0,-985100000.0,-929500000.0,-921000000.0,-967000000.0,-1102700000.0,-894700000.0,-764300000.0,-895100000.0,-1393700000.0,-751600000.0,-1331700000.0,-1579900000.0,-2080300000.0,-2618200000.0,-2037000000.0,-2007100000.0,-1663300000.0,-965400000.0,-917100000.0,-807800000.0,-613600000.0
,salesMaturitiesOfInvestments,1452000000.0,1270400000.0,3047900000.0,951800000.0,763400000.0,971100000.0,825900000.0,888300000.0,1001900000.0,1111400000.0,781300000.0,1060900000.0,1433600000.0,858300000.0,1395000000.0,1278900000.0,1940400000.0,2659500000.0,2025000000.0,1646300000.0,1618700000.0,1309900000.0,1217500000.0,779000000.0,640300000.0
,otherInvestingActivites,-86600000.0,-154900000.0,4600000.0,-2800000.0,-10500000.0,-10100000.0,-39400000.0,-13200000.0,-32900000.0,-39300000.0,-51000000.0,-43500000.0,394400000.0,-262400000.0,-110200000.0,-19500000.0,-21600000.0,-621100000.0,-259200000.0,-4500000.0,-9400000.0,-24600000.0,-19000000.0,-25200000.0,-17500000.0
,netCashUsedForInvestingActivites,-757000000.0,-633400000.0,-497600000.0,-105400000.0,-238100000.0,-28600000.0,-104300000.0,4800000.0,-106200000.0,564600000.0,319300000.0,287600000.0,356200000.0,-222900000.0,-86100000.0,-419400000.0,-208400000.0,-608700000.0,-359100000.0,-368400000.0,-26800000.0,212200000.0,170800000.0,-66100000.0,9200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
