date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-04-30_FY,2014-04-30_FY,2013-04-30_FY,2012-04-30_FY,2011-04-30_FY,2010-04-30_FY,2009-04-30_FY,2008-04-30_FY,2007-04-30_FY,2006-04-30_FY,2005-04-30_FY,2004-04-30_FY,2003-04-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,787705000.0,560080000.0,273943000.0,132426000.0,42107000.0,16455285.634684,-10110349.485675,-3602980.413859,42058170.107821,21258244.630198,-12211621.468195,-8780881.182728,-3315438.723425,-7568194.095874,-5777682.326622,-22323755.351197,-16482638.544734,-3443376.965908
,depreciationAndAmortization,0.0,168921000.0,133718000.0,148655000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3447972.259508,1866446.012367,896064.484156,547968.154733
,deferredIncomeTax,365004000.0,0.0,0.0,0.0,31156000.0,4756281.135386,-4083569.883444,748068.067277,1078205.572427,-965612.104539,0.0,0.0,0.0,0.0,-738181.655481,-796828.920247,0.0,0.0
,stockBasedCompensation,-21450000.0,0.0,0.0,0.0,1710000.0,3458055.072729,1176513.540402,2884558.373026,4381101.848644,437428.843509,1604147.038612,2132439.586213,0.0,0.0,327015.659955,0.0,0.0,0.0
,changeInWorkingCapital,22065000.0,-73955000.0,29370000.0,-35773000.0,36519000.0,-617925.665954,-1652960.451255,2264956.420341,-9569329.229766,1842328.85409,4451750.341105,-1468151.777862,622756.826404,-1596244.470525,-1805730.64877,-445383.70065,2233531.323791,989720.063077
,accountsReceivables,-2423000.0,0.0,0.0,-7125000.0,1372000.0,-1132725.110403,8703827.091757,-7359131.964346,-4459572.386523,-1446048.037245,3167916.222649,-1742817.774427,0.0,0.0,-1744355.257271,0.0,0.0,0.0
,inventory,-50028000.0,0.0,0.0,-532000.0,9589000.0,643707.22133,-1285128.83234,-849852.758069,-3835884.475063,-2623700.137552,-484245.436166,-2867443.146124,231309.678379,175586.891758,-106536.912752,-2100278.262248,-688178.147684,-406990.050098
,accountsPayables,0.0,0.0,0.0,0.0,27844000.0,715230.245923,-8030229.735033,11286242.267328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,707206000.0,332227000.0,0.0,0.0,0.0,0.0,-490147.637212,-838717.56721,0.0,-223585.535161,0.0,160137.469647,99765.279408,27740.49217,0.0,0.0,0.0
,otherNonCashItems,94601000.0,264344000.0,111759000.0,26610000.0,10370000.0,13538643.224857,16752311.497704,2344012.490859,121272.649451,93140.408422,1171910.884482,126104.619508,1006295.951236,247417.892931,247548.098434,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,1315791000.0,919390000.0,548790000.0,296822000.0,180928000.0,64997796.092847,24879290.988582,24348281.518667,52177812.20064,30917347.370649,-950211.634415,-4303607.655903,2137143.267754,-6365024.826216,-4299058.612975,-20492410.813382,-12787170.218348,-1467295.803737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-582727000.0,-456423000.0,-275204000.0,-131840000.0,-73694000.0,-39447443.051871,-102751891.640273,-109344427.535229,-72674928.153598,-60025966.564385,-34040575.048053,-11145232.650668,-7562047.177759,-6438851.132978,-13052168.232662,-7435976.692564,-3526711.949392,-4916549.90999
,acquisitionsNet,0.0,0.0,0.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-27244000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6513646.187095,-7014933.199313,-4636078.596561,-255399.115284,0.0,-8351831.298557,-4572914.176603,0.0
,salesMaturitiesOfInvestments,249334000.0,0.0,0.0,0.0,0.0,2494.98923,163379.30468,4917287.586221,20485905.876118,5253201.77759,0.0,0.0,0.0,0.0,0.0,7927699.381639,0.0,0.0
,otherInvestingActivites,-3051000.0,0.0,0.0,0.0,-22490000.0,0.0,47231222.789131,-64233.057296,-12939485.967022,0.0,-217152.844865,-47710.348871,-12945433.966004,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-189772000.0,-466873000.0,-357440000.0,-201497000.0,-20117000.0,-39444948.062641,-55357289.546463,-104491373.006305,-65128508.244502,-54772764.786795,-40771374.080013,-18207876.198852,-24947836.166312,-6694250.248262,-13052168.232662,-7860108.609482,-8099626.125995,-4916549.90999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-108859000.0,0.0,0.0,0.0,-8374000.0,-11980106.619206,-6412865.89206,-4032847.7973,-387257.199927,-80731.139562,-99580.714876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,33709799.486032,0.0,0.0,3264170.556224,20323015.55391,69226319.353843,10955263.224023,12231734.872888,28283456.712106,0.0,25730992.547963,27486790.513949,6964873.218996
,commonStockRepurchased,-732436000.0,-40153000.0,-28102000.0,-43141000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-115942000.0,-29470000.0,-16329000.0,-3281000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-30259000.0,0.0,0.0,0.0,16648000.0,-3742483.844945,5932768.047024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17443.726538
,netCashUsedProvidedByFinancingActivities,-987440000.0,-85218000.0,-63322000.0,-111404000.0,7731000.0,9561630.392295,-4984437.893046,131302251.121608,12038603.428245,20242284.414348,69126738.638967,10955263.224023,12231734.872888,28283456.712106,18048656.823266,25904410.971936,26757991.283561,6380508.379966
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
